author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Die dede pompeius die vader dijn
Onbekend,Onbekend Hoofdstuk,2,Ane crachten der jonfrouwen mijn
Onbekend,Onbekend Hoofdstuk,3,Jvlius die met machte
Onbekend,Onbekend Hoofdstuk,4,Pompeius v vader vercrachte
Onbekend,Onbekend Hoofdstuk,5,Dat hi heuet swaer ontgouden
Onbekend,Onbekend Hoofdstuk,6,Want hiere om leget in der mouden
Onbekend,Onbekend Hoofdstuk,7,Dies vraget hi oft gi begert
Onbekend,Onbekend Hoofdstuk,8,Nv te comene te hem wert
Onbekend,Onbekend Hoofdstuk,9,Ende wert sijn man en[de] maket soene
Onbekend,Onbekend Hoofdstuk,10,V sal ontfaen die here coene
Onbekend,Onbekend Hoofdstuk,11,Ende laten v lijf ende lant
Onbekend,Onbekend Hoofdstuk,12,Ende doen v engenen pant
Onbekend,Onbekend Hoofdstuk,13,Maer al lieue doen en[de] ere.
Onbekend,Onbekend Hoofdstuk,14,Dit ontbiet v mijn here
Onbekend,Onbekend Hoofdstuk,15,Es dat sake dat gi niet
Onbekend,Onbekend Hoofdstuk,16,En wilt horen na dit gebiet
Onbekend,Onbekend Hoofdstuk,17,Soe verstaet en[de] hort na mi
Onbekend,Onbekend Hoofdstuk,18,Wat v ontbiet die keiser vri
Onbekend,Onbekend Hoofdstuk,19,Dats dat hi bedeeruen sal
Onbekend,Onbekend Hoofdstuk,20,V ende vwe geslechte al
Onbekend,Onbekend Hoofdstuk,21,Ja waer dat hiere enegen vint
Onbekend,Onbekend Hoofdstuk,22,Eest man eest wijf eest kint
Onbekend,Onbekend Hoofdstuk,23,Wet oec dat die keiser fier
Onbekend,Onbekend Hoofdstuk,24,Es in surien al hier
Onbekend,Onbekend Hoofdstuk,25,Ende comt herwert altenen
Onbekend,Onbekend Hoofdstuk,26,Sine begerte en[de] sijn menen
Onbekend,Onbekend Hoofdstuk,27,Was hoe hi v nv doe verdriet
Onbekend,Onbekend Hoofdstuk,28,Op dat ghi en comt te heme niet
Onbekend,Onbekend Hoofdstuk,29,Dies heb[.....] op goeden raet
Onbekend,Onbekend Hoofdstuk,30,Want dat wet wel en[de] verstaet
Onbekend,Onbekend Hoofdstuk,31,Dat groet es die mogenthede sijn
Onbekend,Onbekend Hoofdstuk,32,[.....]em[...] op den an[......]
Onbekend,Onbekend Hoofdstuk,33,Diene te rome in die stede
Onbekend,Onbekend Hoofdstuk,34,Iammerlike vermorden dede
Onbekend,Onbekend Hoofdstuk,35,Dies segt hem welc hi meer gert
Onbekend,Onbekend Hoofdstuk,36,Soe dat ic come te hem wert
Onbekend,Onbekend Hoofdstuk,37,Soe dat hi vorwert comen wille
Onbekend,Onbekend Hoofdstuk,38,Want in wille niet liegen stille
Onbekend,Onbekend Hoofdstuk,39,Ic wille minen vader wreken
Onbekend,Onbekend Hoofdstuk,40,Die iammerlike was doresteken
Onbekend,Onbekend Hoofdstuk,41,[D]ese antworde hebben ontfaen
Onbekend,Onbekend Hoofdstuk,42,Die boden ende sijn gekeert saen
Onbekend,Onbekend Hoofdstuk,43,Weder omme doe vter stat
Onbekend,Onbekend Hoofdstuk,44,Ende een ridder quam na dat
Onbekend,Onbekend Hoofdstuk,45,Te pompeium ende seide
Onbekend,Onbekend Hoofdstuk,46,Here twi lieti alle beide
Onbekend,Onbekend Hoofdstuk,47,Die grauen varen die tote v
Onbekend,Onbekend Hoofdstuk,48,Jvlius hadde gesint nv
Onbekend,Onbekend Hoofdstuk,49,Deen was die valsce arpas
Onbekend,Onbekend Hoofdstuk,50,Die mordenare geloeft mi das
Onbekend,Onbekend Hoofdstuk,51,Die vwen here den vader rike
Onbekend,Onbekend Hoofdstuk,52,Vermorde alsoe iammerlike
Onbekend,Onbekend Hoofdstuk,53,In sijn hws te rome int stat
