author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,ALEXANDER.
Onbekend,Onbekend Hoofdstuk,2,Na dien dattie edele man
Onbekend,Onbekend Hoofdstuk,3,"Alexander Dedefur wan,"
Onbekend,Onbekend Hoofdstuk,4,"Die stat, die vast was ende groet,"
Onbekend,Onbekend Hoofdstuk,5,Ende hi Messise sloech te doet;
Onbekend,Onbekend Hoofdstuk,5,"Den hertoge van soe hogen prise,"
Onbekend,Onbekend Hoofdstuk,7,"Ende hi met heme vorde Darise,"
Onbekend,Onbekend Hoofdstuk,8,"Ende dat gehuwet was Floridas,"
Onbekend,Onbekend Hoofdstuk,9,"Daer die brulucht groet af was,"
Onbekend,Onbekend Hoofdstuk,10,Voer hi te Tarsen met bliden sinne
Onbekend,Onbekend Hoofdstuk,10,Sien die scone coninginne
Onbekend,Onbekend Hoofdstuk,12,"Candacen, die hi met trouwen"
Onbekend,Onbekend Hoofdstuk,13,Minde boven allen vrouwen.
Onbekend,Onbekend Hoofdstuk,14,In sinen wege dat hi vant
Onbekend,Onbekend Hoofdstuk,15,"Staende ene stat op een eilant,"
Onbekend,Onbekend Hoofdstuk,15,"Daer ene riviere al omme liep,"
Onbekend,Onbekend Hoofdstuk,17,Die harde groet was ende diep:
Onbekend,Onbekend Hoofdstuk,18,"- Bat en was en gene geseten, -"
Onbekend,Onbekend Hoofdstuk,19,Arine soe was soe geheten.
Onbekend,Onbekend Hoofdstuk,20,"Fanuel hi wasser af here,"
Onbekend,Onbekend Hoofdstuk,20,Die Alexandersse dede groet ere;
Onbekend,Onbekend Hoofdstuk,22,"Want hi sine stat van hem ontfinc,"
Onbekend,Onbekend Hoofdstuk,23,"Daer toesach menich jongelinc,"
Onbekend,Onbekend Hoofdstuk,24,"Ende wart sijn man van sinen lande,"
Onbekend,Onbekend Hoofdstuk,25,Dat hi houdende was in hande.
Onbekend,Onbekend Hoofdstuk,25,Drie dage bleef die coninc daer
Onbekend,Onbekend Hoofdstuk,27,"Al stille liggende, dat was waer."
Onbekend,Onbekend Hoofdstuk,28,Sderts dages soe was opgestaen
Onbekend,Onbekend Hoofdstuk,29,Die coninc allene ende quam gegaen
Onbekend,Onbekend Hoofdstuk,30,"Buten sinen paeuwelgone,"
Onbekend,Onbekend Hoofdstuk,30,"Alse hi bi uren was gewone,"
Onbekend,Onbekend Hoofdstuk,32,Ende ginc so verre dat hi quam
Onbekend,Onbekend Hoofdstuk,33,"An enen berch, daer hi vernam"
Onbekend,Onbekend Hoofdstuk,34,"Comen gaende enen ouden man,"
Onbekend,Onbekend Hoofdstuk,35,Die droech swerte cleder an
Onbekend,Onbekend Hoofdstuk,35,Na den sede van Caldee.
Onbekend,Onbekend Hoofdstuk,37,"Sijn haer was wit alse die snee,"
Onbekend,Onbekend Hoofdstuk,38,Oec sceen hi out van vele jaren;
Onbekend,Onbekend Hoofdstuk,39,"Mar starc ende groet sceen hi tewaren,"
Onbekend,Onbekend Hoofdstuk,40,Ende brachte enen staf gedragen
Onbekend,Onbekend Hoofdstuk,40,Met ysere onder wel beslagen.
Onbekend,Onbekend Hoofdstuk,42,"Die coninc vragede hem, waer hi woude."
Onbekend,Onbekend Hoofdstuk,43,"""Ic wille,"" seit hi, ""in genen woude"
Onbekend,Onbekend Hoofdstuk,44,"Gaen, daer Marcus temple staet,"
Onbekend,Onbekend Hoofdstuk,45,"Daer menich mensche bedevart gaet,"
Onbekend,Onbekend Hoofdstuk,45,Beide wullin ende sonder scoen:
Onbekend,Onbekend Hoofdstuk,47,Daer gaic mine sacrificie doen
Onbekend,Onbekend Hoofdstuk,48,"Vore minen bruder, die bleef doet"
Onbekend,Onbekend Hoofdstuk,49,"Te Gadres in die bataelge groet,"
Onbekend,Onbekend Hoofdstuk,50,"Doe Alexanders sine liede daer sende,"
