author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,[...............]
Onbekend,Onbekend Hoofdstuk,2,"Soe vele men machs wel avestaen,"
Onbekend,Onbekend Hoofdstuk,3,Noch in woerden noch in daden.
Onbekend,Onbekend Hoofdstuk,4,"Ic kenne wel ende bens beraden,"
Onbekend,Onbekend Hoofdstuk,5,Dat ic u mine minne gaf.
Onbekend,Onbekend Hoofdstuk,5,"Noch hebdi die ghichte daer af,"
Onbekend,Onbekend Hoofdstuk,7,In gheerse u te nemene niet:
Onbekend,Onbekend Hoofdstuk,8,Nu doeter met dat gi gebiedt.
Onbekend,Onbekend Hoofdstuk,9,"Die uwe gaefdi mi oec, here,"
Onbekend,Onbekend Hoofdstuk,10,"Die mi was ontfanclijc sere,"
Onbekend,Onbekend Hoofdstuk,10,Ende die ic u en hebbe weder
Onbekend,Onbekend Hoofdstuk,12,Ghegheven; om hoghe no om neder
Onbekend,Onbekend Hoofdstuk,13,En ghericse oec te wisselne niet.
Onbekend,Onbekend Hoofdstuk,14,"Here, dat hier oec es geschiet,"
Onbekend,Onbekend Hoofdstuk,15,"Dat heeft beide, groet ende smal,"
Onbekend,Onbekend Hoofdstuk,15,Bi uwen rade geweest al:
Onbekend,Onbekend Hoofdstuk,17,"Bi uwen rade, wet dat te voren,"
Onbekend,Onbekend Hoofdstuk,18,"Haddi mi welna verloren."""
Onbekend,Onbekend Hoofdstuk,19,"Her Cassamus seide: ""Joncfrouwe,"
Onbekend,Onbekend Hoofdstuk,20,En settu in ghenen rouwe;
Onbekend,Onbekend Hoofdstuk,20,"Al scernic ende spele nu,"
Onbekend,Onbekend Hoofdstuk,22,Ic beghere al dat u
Onbekend,Onbekend Hoofdstuk,23,[...............]
Onbekend,Onbekend Hoofdstuk,24,Ne wisten hier af niet den fijn.
Onbekend,Onbekend Hoofdstuk,25,Die te minnen
Onbekend,Onbekend Hoofdstuk,26,Sijn lief gewinnen
Onbekend,Onbekend Hoofdstuk,25,"Mach met trouwen,"
Onbekend,Onbekend Hoofdstuk,28,"Hijs quite ende vri,"
Onbekend,Onbekend Hoofdstuk,29,"Dat dunket mi,"
Onbekend,Onbekend Hoofdstuk,30,Van vele rouwen.
Onbekend,Onbekend Hoofdstuk,31,"Het was wel middach an den tijt,"
Onbekend,Onbekend Hoofdstuk,30,"Men maecte die taflen sonder respijt,"
Onbekend,Onbekend Hoofdstuk,33,Ende ghinc dwaen alsmen geboet:
Onbekend,Onbekend Hoofdstuk,34,Daer was niemen dies verdroet
Onbekend,Onbekend Hoofdstuk,35,Van allen die waren in die zale.
Onbekend,Onbekend Hoofdstuk,36,Doe ghinghen sitten altemale
Onbekend,Onbekend Hoofdstuk,35,Die ridders entie maegden mede.
Onbekend,Onbekend Hoofdstuk,38,"Phesonie, die altoes dede"
Onbekend,Onbekend Hoofdstuk,39,"Hare hoefscheit ende haer ere,"
Onbekend,Onbekend Hoofdstuk,40,Nam Caulus ten stouten here
Onbekend,Onbekend Hoofdstuk,41,"In deen side, ende daer na saen"
Onbekend,Onbekend Hoofdstuk,40,Dede si in dander side ingaen
Onbekend,Onbekend Hoofdstuk,43,"Lyoene, den edelen ridder vri."
Onbekend,Onbekend Hoofdstuk,44,Die andre maegden daden al si
Onbekend,Onbekend Hoofdstuk,45,[...............]
Onbekend,Onbekend Hoofdstuk,46,Dat volmaect was al dat spel.
Onbekend,Onbekend Hoofdstuk,47,Men diende daer so wel te danke
Onbekend,Onbekend Hoofdstuk,45,"Beide van ate ende van dranke,"
Onbekend,Onbekend Hoofdstuk,49,"Dat ics u niet vertellen mochte,"
Onbekend,Onbekend Hoofdstuk,50,Ende hoe men die gherechten brochte.
Onbekend,Onbekend Hoofdstuk,51,"Maectic mine tale te lanc,"
Onbekend,Onbekend Hoofdstuk,52,Ic verlore licht minen danc.
Onbekend,Onbekend Hoofdstuk,50,Wat holpt? daer waer genoech
Onbekend,Onbekend Hoofdstuk,54,Ende alles dies erde ghedroech
Onbekend,Onbekend Hoofdstuk,55,"Ende meneghe hoefschelike tale,"
Onbekend,Onbekend Hoofdstuk,56,Daer die moersele op smaecten wale.
Onbekend,Onbekend Hoofdstuk,57,Na den etene dedemen saen
Onbekend,Onbekend Hoofdstuk,55,"Die taflen henen, omdat men dwaen"
Onbekend,Onbekend Hoofdstuk,59,"Soude, als men daer dede"
Onbekend,Onbekend Hoofdstuk,60,Met alte groter hoveschede.
Onbekend,Onbekend Hoofdstuk,61,Daer na quamen die minestrele
Onbekend,Onbekend Hoofdstuk,62,Ende speelden nuwe stampien vele.
Onbekend,Onbekend Hoofdstuk,60,Men gaf cruut ende scincte drinken.
Onbekend,Onbekend Hoofdstuk,64,Ic en mochte niet al ghedinken
Onbekend,Onbekend Hoofdstuk,65,Der hoefscheit die men daer plach.
Onbekend,Onbekend Hoofdstuk,66,"Ay God, haddic alselken dach!"
Onbekend,Onbekend Hoofdstuk,67,"Men deder menech goeleec winken,"
