author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Ic sal selue geloues mi
Onbekend,Onbekend Hoofdstuk,2,Minen vader chavengy
Onbekend,Onbekend Hoofdstuk,3,Varen halen in kerstinheide
Onbekend,Onbekend Hoofdstuk,4,Bewaert ons pyramonde de steide
Onbekend,Onbekend Hoofdstuk,5,Teerst wi weid[er] keren
Onbekend,Onbekend Hoofdstuk,6,Sullen wi onse siege meren
Onbekend,Onbekend Hoofdstuk,7,Voor de steide van monbrant
Onbekend,Onbekend Hoofdstuk,8,Die printsen seiden te hant
Onbekend,Onbekend Hoofdstuk,9,[.........de.....]
Onbekend,Onbekend Hoofdstuk,10,Ne w[aer]t [.....g] [m]et g[...]
Onbekend,Onbekend Hoofdstuk,11,Herminette de scone
Onbekend,Onbekend Hoofdstuk,12,Ic sal spannen de cro[ne]
Onbekend,Onbekend Hoofdstuk,13,Van den lande van E[rmenyen]
Onbekend,Onbekend Hoofdstuk,14,Bi al mire mamett[eryen]
Onbekend,Onbekend Hoofdstuk,15,V vermeiten zere te gaet
Onbekend,Onbekend Hoofdstuk,16,Dat sie ic wel an v g[elaet]
Onbekend,Onbekend Hoofdstuk,17,[W]ant ghi zw[a]ert [ru.....]
Onbekend,Onbekend Hoofdstuk,18,[......t]vp[.....]
Onbekend,Onbekend Hoofdstuk,19,[.....]t den rudder preus
Onbekend,Onbekend Hoofdstuk,20,[......]eden hermite ydeus
Onbekend,Onbekend Hoofdstuk,21,[.....]egh emen .i. paert
Onbekend,Onbekend Hoofdstuk,22,[.....r] vp metter vaert
Onbekend,Onbekend Hoofdstuk,23,[......]er was ooc geladen
Onbekend,Onbekend Hoofdstuk,24,[.....]eren si de groene paden
Onbekend,Onbekend Hoofdstuk,25,[.....]eikende te zamen
Onbekend,Onbekend Hoofdstuk,26,[Als] dat v[er]stont die coninc
Onbekend,Onbekend Hoofdstuk,27,Wart hi blide vander dinc
Onbekend,Onbekend Hoofdstuk,28,Ende viel den vader up den voet
Onbekend,Onbekend Hoofdstuk,29,Ende custene metter spoet
Onbekend,Onbekend Hoofdstuk,30,Vriendelike datti seide
Onbekend,Onbekend Hoofdstuk,31,Vader here lijf ende leide
Onbekend,Onbekend Hoofdstuk,32,Dat staet al in uwer ghenaden
Onbekend,Onbekend Hoofdstuk,33,Jc bem emmertoe beraden
Onbekend,Onbekend Hoofdstuk,34,[.........]ene doe[.....]
Onbekend,Onbekend Hoofdstuk,35,Saensi[...........]
Onbekend,Onbekend Hoofdstuk,36,So verre v[.........]
Onbekend,Onbekend Hoofdstuk,37,Datsi ca[........]
Onbekend,Onbekend Hoofdstuk,38,Jn de ter[........]
Onbekend,Onbekend Hoofdstuk,39,Dat int[........]
Onbekend,Onbekend Hoofdstuk,40,.J. hermit[........]
Onbekend,Onbekend Hoofdstuk,41,[H ..d.........]
Onbekend,Onbekend Hoofdstuk,42,[........]en kere
Onbekend,Onbekend Hoofdstuk,43,[........]steden
Onbekend,Onbekend Hoofdstuk,44,[........]e mi verleden
Onbekend,Onbekend Hoofdstuk,45,[........]et de g[oe]de
Onbekend,Onbekend Hoofdstuk,46,[........]et moede
Onbekend,Onbekend Hoofdstuk,47,[........]int wel
Onbekend,Onbekend Hoofdstuk,48,[...............]
Onbekend,Onbekend Hoofdstuk,49,[.]oe [........m]en dus was vergeuen
Onbekend,Onbekend Hoofdstuk,50,Ende hoe hi selue adde versleigen
Onbekend,Onbekend Hoofdstuk,51,Gahidore omme die dinc
Onbekend,Onbekend Hoofdstuk,52,Ende vort hoe hi maecte coninc
Onbekend,Onbekend Hoofdstuk,53,Meliore sinen broeder
Onbekend,Onbekend Hoofdstuk,54,Noch maecti hem vroeder
Onbekend,Onbekend Hoofdstuk,55,Van herminette van ermenyen
Onbekend,Onbekend Hoofdstuk,56,Ende hoe sine baronnyen
Onbekend,Onbekend Hoofdstuk,57,To[...........]
Onbekend,Onbekend Hoofdstuk,58,O[m...........]
Onbekend,Onbekend Hoofdstuk,59,Di[...........]
Onbekend,Onbekend Hoofdstuk,60,Sa[...........]
Onbekend,Onbekend Hoofdstuk,61,Ca[...........]
Onbekend,Onbekend Hoofdstuk,62,Di[...........]
Onbekend,Onbekend Hoofdstuk,63,Di[...........]
Onbekend,Onbekend Hoofdstuk,64,D[o............]
Onbekend,Onbekend Hoofdstuk,65,[D]
