author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Hi hadde die moetheyt al verloren
Onbekend,Onbekend Hoofdstuk,2,Diene zeere dwanc te uoren
Onbekend,Onbekend Hoofdstuk,3,Om haren wille dien hi begart
Onbekend,Onbekend Hoofdstuk,4,Met beeden nam hi tswart
Onbekend,Onbekend Hoofdstuk,5,Ende ginc slaen slach in slach
Onbekend,Onbekend Hoofdstuk,6,Op dien hi vor hem sach
Onbekend,Onbekend Hoofdstuk,7,Al haddi drievout wapen an
Onbekend,Onbekend Hoofdstuk,8,Hen besloet hem niet nochtan
Onbekend,Onbekend Hoofdstuk,9,Hine hadde dar tlijf verloren
Onbekend,Onbekend Hoofdstuk,10,Die so sondich was dar voren
Onbekend,Onbekend Hoofdstuk,11,Hi ontfinc so menege wonde
Onbekend,Onbekend Hoofdstuk,12,Dat hem crankede sine gesonde
Onbekend,Onbekend Hoofdstuk,13,Het was scire met hem gedaen
Onbekend,Onbekend Hoofdstuk,14,Die herte besweec hem saen
Onbekend,Onbekend Hoofdstuk,15,l5 Hi viel neder al met alle
Onbekend,Onbekend Hoofdstuk,16,Die erde donrede vanden valle
Onbekend,Onbekend Hoofdstuk,17,So swaer was hi ende soe groet
Onbekend,Onbekend Hoofdstuk,18,Dus bleef hi verslegen doet
Onbekend,Onbekend Hoofdstuk,19,Dus can die minne werken
Onbekend,Onbekend Hoofdstuk,20,Ende elken man gesterken
Onbekend,Onbekend Hoofdstuk,21,Die herde leget an
Onbekend,Onbekend Hoofdstuk,22,Wat sal nv doen die edel man
Onbekend,Onbekend Hoofdstuk,23,Sijn ors was gefalgiert
Onbekend,Onbekend Hoofdstuk,24,Ende sinen helm gefanchiert
Onbekend,Onbekend Hoofdstuk,25,So dat hijs nemmermeer begerde
Onbekend,Onbekend Hoofdstuk,26,Hi lach te stucken op die erde
Onbekend,Onbekend Hoofdstuk,27,Nv ne heeft hi scilt no spere
Onbekend,Onbekend Hoofdstuk,28,Dar oc haddi eene dere
Onbekend,Onbekend Hoofdstuk,29,Bouen an sijn vorhoeft
Onbekend,Onbekend Hoofdstuk,30,Was hem die huut in tween gecloeft
Onbekend,Onbekend Hoofdstuk,31,Nalecs tote den beene
Onbekend,Onbekend Hoofdstuk,32,Hine hadde wonde anders ne geene
Onbekend,Onbekend Hoofdstuk,33,Danc hebbe cepalus
Onbekend,Onbekend Hoofdstuk,34,Die hem te siere zuster huus
Onbekend,Onbekend Hoofdstuk,35,Den goeden halbersch gaf
Onbekend,Onbekend Hoofdstuk,36,Hen besloet hem niet een caf
Onbekend,Onbekend Hoofdstuk,37,Diere met swerden op sloech
Onbekend,Onbekend Hoofdstuk,38,Hen deerde hem niet diene droech
Onbekend,Onbekend Hoofdstuk,39,Nv ne weet die ridder wat bestaen
Onbekend,Onbekend Hoofdstuk,40,No war trecken no war gaen
Onbekend,Onbekend Hoofdstuk,41,Hine hadde wapenen [........]
Onbekend,Onbekend Hoofdstuk,42,Sonder swart ende [........]
Onbekend,Onbekend Hoofdstuk,43,Hi moeste dane [..........]
Onbekend,Onbekend Hoofdstuk,44,Est hem quaet [.........]
Onbekend,Onbekend Hoofdstuk,45,Dien langen da[ch........]
Onbekend,Onbekend Hoofdstuk,46,Ende clagede sij[n.......]
Onbekend,Onbekend Hoofdstuk,47,Die hi daer ha[dde.........]
Onbekend,Onbekend Hoofdstuk,48,Ende hi dane mo[chte.......]
Onbekend,Onbekend Hoofdstuk,49,Daer toe was d[.........]
Onbekend,Onbekend Hoofdstuk,50,Neder gelopen do[........]
Onbekend,Onbekend Hoofdstuk,51,Nochtan deerde [.........]
Onbekend,Onbekend Hoofdstuk,52,Ende dat sire herden [........]
Onbekend,Onbekend Hoofdstuk,53,Jc mach v segge[n ..........]
Onbekend,Onbekend Hoofdstuk,54,Die ridder en hadd[e .......]
Onbekend,Onbekend Hoofdstuk,55,Maer hine wilde s[eggen niet]
Onbekend,Onbekend Hoofdstuk,56,Waen hi was ende ho[e hi hiet]
Onbekend,Onbekend Hoofdstuk,57,Deere sijnre moeder af [......]
Onbekend,Onbekend Hoofdstuk,58,Die eens conincs doc[hter ....]
