author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,DOe men screef ons [heren] Iaer
Onbekend,Onbekend Hoofdstuk,2,Dertien hondert wet voerwaer
Onbekend,Onbekend Hoofdstuk,3,[...] xviij [.....] in toe
Onbekend,Onbekend Hoofdstuk,4,[Dis]torie [......] oe
Onbekend,Onbekend Hoofdstuk,5,[...]chte [...] in walscher wort
Onbekend,Onbekend Hoofdstuk,6,[...]m [....]e wilde brengen vort
Onbekend,Onbekend Hoofdstuk,7,[Flo]rimont den stouten here
Onbekend,Onbekend Hoofdstuk,8,[Ay]mes dichte wilen ere
Onbekend,Onbekend Hoofdstuk,9,[Ute gri]ecscher tongen in walscher tale
Onbekend,Onbekend Hoofdstuk,10,[...............]
Onbekend,Onbekend Hoofdstuk,11,[...............]
Onbekend,Onbekend Hoofdstuk,12,[...] aymes screef vor ware
Onbekend,Onbekend Hoofdstuk,13,[...] ix dat hijt dichte
Onbekend,Onbekend Hoofdstuk,14,[...]schen in worden lichte
Onbekend,Onbekend Hoofdstuk,15,[...]yse lese distorie
Onbekend,Onbekend Hoofdstuk,16,[...] sterct mine memorie
Onbekend,Onbekend Hoofdstuk,17,[...]e hystorie ontbinde
Onbekend,Onbekend Hoofdstuk,18,[...]e in walsche vinde
Onbekend,Onbekend Hoofdstuk,19,[...]sche so bringe vort
Onbekend,Onbekend Hoofdstuk,20,[... g]erne si gehort
Onbekend,Onbekend Hoofdstuk,21,[...] gene niene wanconnen
Onbekend,Onbekend Hoofdstuk,22,[...] ende dichten [conn]en
Onbekend,Onbekend Hoofdstuk,23,[...]i selden onder[...]inde
Onbekend,Onbekend Hoofdstuk,24,[...]chte rime vinde
Onbekend,Onbekend Hoofdstuk,25,[...] here ende sterct minen sen
Onbekend,Onbekend Hoofdstuk,26,[...............]
Onbekend,Onbekend Hoofdstuk,27,[...............]
Onbekend,Onbekend Hoofdstuk,28,[............] minnen niede
Onbekend,Onbekend Hoofdstuk,29,[...]ken ende horen
Onbekend,Onbekend Hoofdstuk,30,[Wat ayme]s hier brinct te voren
Onbekend,Onbekend Hoofdstuk,31,[...] chere vele in leren
Onbekend,Onbekend Hoofdstuk,32,[...] de sijn herte keren
Onbekend,Onbekend Hoofdstuk,33,[... gem]aect in lonoys
Onbekend,Onbekend Hoofdstuk,34,[...]rie in fransoys
Onbekend,Onbekend Hoofdstuk,35,[... iu]lianen wille
Onbekend,Onbekend Hoofdstuk,36,[...] en daer hi lach stille
Onbekend,Onbekend Hoofdstuk,37,[Philip]pe van macedoene
Onbekend,Onbekend Hoofdstuk,38,[Gebor]en was van babilone
Onbekend,Onbekend Hoofdstuk,39,[...h]oghe sone van duras
Onbekend,Onbekend Hoofdstuk,40,[...]as van matacas
Onbekend,Onbekend Hoofdstuk,41,[...] in walsch florimont
Onbekend,Onbekend Hoofdstuk,42,[In grie]hscen eleneos dat si u cont
Onbekend,Onbekend Hoofdstuk,43,[...............]
Onbekend,Onbekend Hoofdstuk,44,[...............]
Onbekend,Onbekend Hoofdstuk,45,[...] was te c[hatylloen]
Onbekend,Onbekend Hoofdstuk,46,[...] hadde sine woninge doen
Onbekend,Onbekend Hoofdstuk,47,[...] quam in sine memorie
Onbekend,Onbekend Hoofdstuk,48,[Ti]en tiden ene historie
Onbekend,Onbekend Hoofdstuk,49,Die hi te philipople sach
