author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,mi(?) enen ghepense hoe ic moghe
Onbekend,Onbekend Hoofdstuk,2,jet ghemaken dat mi doghe
Onbekend,Onbekend Hoofdstuk,3,te dezen voerseiden pointen waert
Onbekend,Onbekend Hoofdstuk,4,nu willic dichten onghespaert
Onbekend,Onbekend Hoofdstuk,5,ene auentue ende leggen voren
Onbekend,Onbekend Hoofdstuk,6,van den riddre uutuercoren
Onbekend,Onbekend Hoofdstuk,7,dat ic int latijn vant bescreuen
Onbekend,Onbekend Hoofdstuk,8,ende es van ouden tiden bleuen
Onbekend,Onbekend Hoofdstuk,9,die reden verstaet ende doget mint
Onbekend,Onbekend Hoofdstuk,10,jc zegghe v dat hi daer in vint
Onbekend,Onbekend Hoofdstuk,11,ridderscap ende oec trouwe
Onbekend,Onbekend Hoofdstuk,12,die hi vant an ene vrouwe
Onbekend,Onbekend Hoofdstuk,13,ende auenture suaer ende goede
Onbekend,Onbekend Hoofdstuk,14,rijcheit ende oec armoede.
Onbekend,Onbekend Hoofdstuk,15,ende na bliscap rouwe groot
Onbekend,Onbekend Hoofdstuk,16,ende na onwille verwinnen noot.
Onbekend,Onbekend Hoofdstuk,17,ende oec ons heren wraken
Onbekend,Onbekend Hoofdstuk,18,dit dinken mi welscone zaken
Onbekend,Onbekend Hoofdstuk,19,des hebic nu hier dit begonnen
Onbekend,Onbekend Hoofdstuk,20,wil mi god der eren ionnen
Onbekend,Onbekend Hoofdstuk,21,daer elc man mach exemple bi
Onbekend,Onbekend Hoofdstuk,22,nemen wie dat hi si.
Onbekend,Onbekend Hoofdstuk,23,Nu biddic gode doer sine goede
Onbekend,Onbekend Hoofdstuk,24,ende onser vrouwen doer haer omoede
Onbekend,Onbekend Hoofdstuk,25,dat si mi gheue helpe ende raet
Onbekend,Onbekend Hoofdstuk,26,te wolbringene deze daet
Onbekend,Onbekend Hoofdstuk,27,so dat ons allen moete vromen
Onbekend,Onbekend Hoofdstuk,28,ende te groten baten comen
Onbekend,Onbekend Hoofdstuk,29,ende daer an doeghet moete leren
Onbekend,Onbekend Hoofdstuk,30,sijn si vrouwen ofte heren
Onbekend,Onbekend Hoofdstuk,31,daer deze boec zal sijn gelezen
Onbekend,Onbekend Hoofdstuk,32,oec en moeter nemmer wezen
Onbekend,Onbekend Hoofdstuk,33,bede quaet clap ende nijt
Onbekend,Onbekend Hoofdstuk,34,dat si ne gheen verwijt
Onbekend,Onbekend Hoofdstuk,35,mi hier doen in enigen stonden
Onbekend,Onbekend Hoofdstuk,36,daer si bi comen in sonden
Onbekend,Onbekend Hoofdstuk,37,dat beuele ic alle tenen gader
Onbekend,Onbekend Hoofdstuk,38,gode onzen hier den zoeten vader
Onbekend,Onbekend Hoofdstuk,39,dat hi dat voerwachten moete
Onbekend,Onbekend Hoofdstuk,40,ende maria die maget zoete
Onbekend,Onbekend Hoofdstuk,41,dat hem dit moet zijn bequame
Onbekend,Onbekend Hoofdstuk,42,nu beghinc ic en goets name
Onbekend,Onbekend Hoofdstuk,43,Bi ouden tiden hier te voren
Onbekend,Onbekend Hoofdstuk,44,eer god menschlic wert geboren
Onbekend,Onbekend Hoofdstuk,45,van sire moeder der maget marien
Onbekend,Onbekend Hoofdstuk,46,ende wilde onse wet daer mede vernien
Onbekend,Onbekend Hoofdstuk,47,hadde hi gezet die oude wet
Onbekend,Onbekend Hoofdstuk,48,an den ghenen diese bet
Onbekend,Onbekend Hoofdstuk,49,hilden alse ic versta daer an
Onbekend,Onbekend Hoofdstuk,50,danse menich kerstijn man
Onbekend,Onbekend Hoofdstuk,51,nv hout oec moechdi merken
Onbekend,Onbekend Hoofdstuk,52,dat so god oec woude sterken
Onbekend,Onbekend Hoofdstuk,53,die gene die hem getrouwe waren
Onbekend,Onbekend Hoofdstuk,54,want hi hem zeluen woude openbaren
Onbekend,Onbekend Hoofdstuk,55,dicke wile te menigher stede
Onbekend,Onbekend Hoofdstuk,56,te troesten ende te helpen mede
Onbekend,Onbekend Hoofdstuk,57,die ghene die hem hilden trouwe
Onbekend,Onbekend Hoofdstuk,58,brochte hi gerne vte allen rouwe
Onbekend,Onbekend Hoofdstuk,59,die den sinen oec iet mesdaden
Onbekend,Onbekend Hoofdstuk,60,waest in doene waest in raden
Onbekend,Onbekend Hoofdstuk,61,die tormente hi met plaghen
Onbekend,Onbekend Hoofdstuk,62,daert die sine met ogen zagen.
Onbekend,Onbekend Hoofdstuk,63,dat scien dauid ende salomone
Onbekend,Onbekend Hoofdstuk,64,die beyde waren van hogen done
Onbekend,Onbekend Hoofdstuk,65,Jonathas ende absalone
Onbekend,Onbekend Hoofdstuk,66,die vromich waren ende coene
Onbekend,Onbekend Hoofdstuk,67,onse heer was hem altoes bi
Onbekend,Onbekend Hoofdstuk,68,waer si vochten so dat si
Onbekend,Onbekend Hoofdstuk,69,den zege hadden in elke stede
Onbekend,Onbekend Hoofdstuk,70,maer als haer ienich iet mesdede
Onbekend,Onbekend Hoofdstuk,71,wrac onse hier dat openbaer
Onbekend,Onbekend Hoofdstuk,72,dat mens worden mochte gewaer
Onbekend,Onbekend Hoofdstuk,73,des gelijcs so was here iudas
Onbekend,Onbekend Hoofdstuk,74,die machabeus geheten was
Onbekend,Onbekend Hoofdstuk,75,hi was deerste die ontfinc
Onbekend,Onbekend Hoofdstuk,76,ridders name ende hinc
Onbekend,Onbekend Hoofdstuk,77,scilt om hals dat quam bi dien
Onbekend,Onbekend Hoofdstuk,78,god hadde hem laten sien
Onbekend,Onbekend Hoofdstuk,79,een goudine cruce in sinen drome
Onbekend,Onbekend Hoofdstuk,80,ende geboet hem als ic gome.
Onbekend,Onbekend Hoofdstuk,81,ende seide hem als ic can bekinnen
Onbekend,Onbekend Hoofdstuk,82,In desen zo soutu verwinnen
