author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Ende twee taerlinck ouer waer
Onbekend,Onbekend Hoofdstuk,2,Op die tafel saghe daer
Onbekend,Onbekend Hoofdstuk,3,Dat waer dat beste sermoen
Onbekend,Onbekend Hoofdstuk,4,Datmen voer mi mochte doen
Onbekend,Onbekend Hoofdstuk,5,Mer wildi preken edel man
Onbekend,Onbekend Hoofdstuk,6,Soe doet een broeders cappe an
Onbekend,Onbekend Hoofdstuk,7,Ende gaet in die kercke staen
Onbekend,Onbekend Hoofdstuk,8,Ende preect het is wel gedaen
Onbekend,Onbekend Hoofdstuk,9,Mer mi en dorfdi preken niet
Onbekend,Onbekend Hoofdstuk,10,Edel coninc wats gheschiet
Onbekend,Onbekend Hoofdstuk,11,Heer coninc ghi weet wel bloot
Onbekend,Onbekend Hoofdstuk,12,Marien suuerhede is so machtic[h]
Onbekend,Onbekend Hoofdstuk,13,Sij is vrou ende also waerachtich
Onbekend,Onbekend Hoofdstuk,14,Ic souts mi schamen also seer
Onbekend,Onbekend Hoofdstuk,15,Gaet tot haer vry edel heer
Onbekend,Onbekend Hoofdstuk,16,Schone ioncfrouwe en segt dat ni[et]
Onbekend,Onbekend Hoofdstuk,17,Gaet met my oft ghijt ghebiet
Onbekend,Onbekend Hoofdstuk,18,Edel vrou ende vry
Onbekend,Onbekend Hoofdstuk,19,Ende si sal v alsoe wel troestenh als [mijn]
Onbekend,Onbekend Hoofdstuk,20,Marien doghen is so groot ende r[ein]
Onbekend,Onbekend Hoofdstuk,21,[D]en sondaren is sij ghemeyn
Onbekend,Onbekend Hoofdstuk,22,[D]oen namse die edel heere ter stede
Onbekend,Onbekend Hoofdstuk,23,[E]nde sij ghinghen onder hem beiden
Onbekend,Onbekend Hoofdstuk,24,[V]riendelic ende dat es waer
Onbekend,Onbekend Hoofdstuk,25,[V]oer marien die was claer
Onbekend,Onbekend Hoofdstuk,26,[S]ij vielen neder op haer knien
Onbekend,Onbekend Hoofdstuk,27,[H]aer handen leiden sij te gader mettien
Onbekend,Onbekend Hoofdstuk,28,[E]nde sij begonsten te weenen seer
Onbekend,Onbekend Hoofdstuk,29,[D]it was die claghe aen onsen heer
Onbekend,Onbekend Hoofdstuk,30,[S]ij riep maria maget reyne
Onbekend,Onbekend Hoofdstuk,31,[G]hi sijt die gene die alleyne
Onbekend,Onbekend Hoofdstuk,32,[M]i mach brengen van minen rouwe
Onbekend,Onbekend Hoofdstuk,33,[S]yt mijns genadich edel vrouwe.
Onbekend,Onbekend Hoofdstuk,34,[M]aria begonst te ontfermen
Onbekend,Onbekend Hoofdstuk,35,[E]nde hoorde den coninc karmen
Onbekend,Onbekend Hoofdstuk,36,[E]nde sij quam aldaer ter stede
Onbekend,Onbekend Hoofdstuk,37,[M]et eender groter claerhede.
Onbekend,Onbekend Hoofdstuk,38,[M]etter engelen schare
Onbekend,Onbekend Hoofdstuk,39,[Ende] sij seide al openbare
Onbekend,Onbekend Hoofdstuk,40,[We]llecome seyt sij sone mijn
Onbekend,Onbekend Hoofdstuk,41,Salich moeder sal ic dij sijn
Onbekend,Onbekend Hoofdstuk,42,Des hebstu gods vrient gheweest.
Onbekend,Onbekend Hoofdstuk,43,Du moges mercken alsmen leest
Onbekend,Onbekend Hoofdstuk,44,Doer dinen wille sijn vergheuen
Onbekend,Onbekend Hoofdstuk,45,Rosefier al haer leuen
Onbekend,Onbekend Hoofdstuk,46,Haer sonden sult ghi verstaen
Onbekend,Onbekend Hoofdstuk,47,Daer sij mede was beuaen
Onbekend,Onbekend Hoofdstuk,48,Doer dinen wille wel lieue lint
Onbekend,Onbekend Hoofdstuk,49,Met herten heb ic di ghemint
Onbekend,Onbekend Hoofdstuk,50,Vele heb ic dit doer v ghedaen
Onbekend,Onbekend Hoofdstuk,51,Voer die poorte ghync hi staen
Onbekend,Onbekend Hoofdstuk,52,Ende hebse gheloken ende ontdaen
Onbekend,Onbekend Hoofdstuk,53,Doe sette hise voer hem op sijn paert
Onbekend,Onbekend Hoofdstuk,54,Ende voerdese te cloester waert
Onbekend,Onbekend Hoofdstuk,55,Ende als hi voer dat cloester quam
Onbekend,Onbekend Hoofdstuk,56,Ghemoete hi eenen hofman
Onbekend,Onbekend Hoofdstuk,57,Hi sprac kenstu een ioncfrou yet
Onbekend,Onbekend Hoofdstuk,58,Die rosefier bi name hiet
Onbekend,Onbekend Hoofdstuk,59,Die ionathas van oriente
Onbekend,Onbekend Hoofdstuk,60,Hier brocht in dit conu[ente]
Onbekend,Onbekend Hoofdstuk,61,Ende soudese hebben teenen wiue
Onbekend,Onbekend Hoofdstuk,62,Hi antwoerde sonder bliuen
Onbekend,Onbekend Hoofdstuk,63,En kende icse niet so waer ic fel
Onbekend,Onbekend Hoofdstuk,64,Die waerheit seg ic v wel
Onbekend,Onbekend Hoofdstuk,65,Tlot is op haer gheuallen
Onbekend,Onbekend Hoofdstuk,66,Sij is die abdisse van v allen
Onbekend,Onbekend Hoofdstuk,67,Tot eenen hogen staet is si vercoren
Onbekend,Onbekend Hoofdstuk,68,Die waerheit moechdi horen
Onbekend,Onbekend Hoofdstuk,69,Abdisscap sal sij ontfaen
Onbekend,Onbekend Hoofdstuk,70,Dat heeft die menighe verstaen
Onbekend,Onbekend Hoofdstuk,71,Haer soetelief is daer ontboden
Onbekend,Onbekend Hoofdstuk,72,Ende sal tot groter eeren comen
Onbekend,Onbekend Hoofdstuk,73,Ende sijn wijf gheloues mien
Onbekend,Onbekend Hoofdstuk,74,Die waerheit sal ick v lien
Onbekend,Onbekend Hoofdstuk,75,Ghi moecht wel in allen desen
Onbekend,Onbekend Hoofdstuk,76,Hoortse singhen of lesen.
Onbekend,Onbekend Hoofdstuk,77,Ghelijck oft maria waer
Onbekend,Onbekend Hoofdstuk,78,Singt si bouen hem allen claer
Onbekend,Onbekend Hoofdstuk,79,Oec heeft si gheweest voerwaer
Onbekend,Onbekend Hoofdstuk,80,Poertersse ouer seuen iaer
Onbekend,Onbekend Hoofdstuk,81,Helpt mi ende staet mi by
Onbekend,Onbekend Hoofdstuk,82,Moeder ende maghet vry
Onbekend,Onbekend Hoofdstuk,83,Ende helpt mi bidden uwen kinde
Onbekend,Onbekend Hoofdstuk,84,Dat hi mi gracie sende
Onbekend,Onbekend Hoofdstuk,85,Dat haer huer sonden berouwen
Onbekend,Onbekend Hoofdstuk,86,Doen riep lude die ioncfrouwe
Onbekend,Onbekend Hoofdstuk,87,Volmaect lief en bidt niet meer
Onbekend,Onbekend Hoofdstuk,88,Mijn herte sal mij breken ontwee
Onbekend,Onbekend Hoofdstuk,89,Van groten rouwe van minen sonden
Onbekend,Onbekend Hoofdstuk,90,Biddi meer ic sterue ter stonden
Onbekend,Onbekend Hoofdstuk,91,Ic wil in mijn cloester varen
Onbekend,Onbekend Hoofdstuk,92,Ende ic moet sonder sparen
Onbekend,Onbekend Hoofdstuk,93,Eten na mijnre sonden noot
Onbekend,Onbekend Hoofdstuk,94,Al mijn leuen borne ende broot.
