author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"Die mane die sceen herde scone,"
Onbekend,Onbekend Hoofdstuk,2,"Ende die sterren aenden trone,"
Onbekend,Onbekend Hoofdstuk,3,Beide op berch ende op dale.
Onbekend,Onbekend Hoofdstuk,4,"Doe ghinc sitten die scone smale,"
Onbekend,Onbekend Hoofdstuk,5,Ende die coninc bi haer side.
Onbekend,Onbekend Hoofdstuk,6,Hoort wat si seide ten selven tide:
Onbekend,Onbekend Hoofdstuk,7,"""Her coninc, u moet gedencken das"
Onbekend,Onbekend Hoofdstuk,8,"Dat ons heere oetmoedich was,"
Onbekend,Onbekend Hoofdstuk,9,Ende quam van hogher sale
Onbekend,Onbekend Hoofdstuk,10,"Hier beneden in desen dale,"
Onbekend,Onbekend Hoofdstuk,11,"Ende doghede pijn dat was waer,"
Onbekend,Onbekend Hoofdstuk,12,Langher dan .xxxij. jaer.
Onbekend,Onbekend Hoofdstuk,13,Daer na koes hi die bitter doot
Onbekend,Onbekend Hoofdstuk,14,Om ons te verlossen wter noot
Onbekend,Onbekend Hoofdstuk,15,Ende alle zijn leden waren cranck
Onbekend,Onbekend Hoofdstuk,16,Aen den cruce gherect so lanck.
Onbekend,Onbekend Hoofdstuk,17,Die spere ghinc in zijn side.
Onbekend,Onbekend Hoofdstuk,18,"Her coninc, hoe mogen wi ons verbliden?"
Onbekend,Onbekend Hoofdstuk,19,Om wat so moghen wi sorghen
Onbekend,Onbekend Hoofdstuk,20,Wi en moghen setten gheen borghen
Onbekend,Onbekend Hoofdstuk,21,"Ghelijc als die coopman doet,"
Onbekend,Onbekend Hoofdstuk,22,Als hi coept eenich goet:
Onbekend,Onbekend Hoofdstuk,23,Dan mach hi sonder letten
Onbekend,Onbekend Hoofdstuk,24,"huis ende borghe dar vor setten,"
Onbekend,Onbekend Hoofdstuk,25,Ende voeren goet te sinen wille.
Onbekend,Onbekend Hoofdstuk,26,"huesch coninc ende milde,"
Onbekend,Onbekend Hoofdstuk,27,"So en mogen wi niet voer dye doot,"
Onbekend,Onbekend Hoofdstuk,28,"ende, her coninc, clein ende groot,"
Onbekend,Onbekend Hoofdstuk,29,"Als hij coemt moeten wy zijn gereet,"
Onbekend,Onbekend Hoofdstuk,30,ist ons lief oft leet.
Onbekend,Onbekend Hoofdstuk,31,Peist om den heere die daer stoet
Onbekend,Onbekend Hoofdstuk,32,"aen den cruce, ende storte zijn bloet."
Onbekend,Onbekend Hoofdstuk,33,"Hi en droech pellen noch samijt,"
Onbekend,Onbekend Hoofdstuk,34,"Jhesus cristus, al sine tijt,"
Onbekend,Onbekend Hoofdstuk,35,"maer twe rocken droech hi an,"
Onbekend,Onbekend Hoofdstuk,36,Also langhe als hi lijf ghewan.
Onbekend,Onbekend Hoofdstuk,37,"hi en droech noit gulden crone,"
Onbekend,Onbekend Hoofdstuk,38,Maer een doren was hi ghewone.
Onbekend,Onbekend Hoofdstuk,39,van elke crone hi ontfinc
Onbekend,Onbekend Hoofdstuk,40,"Lxxij. wonden, onsen coninc."
Onbekend,Onbekend Hoofdstuk,41,Peist om alle oetmoedichede
Onbekend,Onbekend Hoofdstuk,42,dat god dede in elker stede.
Onbekend,Onbekend Hoofdstuk,43,ende leit die passie ons heeren
Onbekend,Onbekend Hoofdstuk,44,"In u herte, het is u eere."
Onbekend,Onbekend Hoofdstuk,45,Ghi sult hebben te lone
Onbekend,Onbekend Hoofdstuk,46,met hem die hemelsche crone.
Onbekend,Onbekend Hoofdstuk,47,Dat en seg ic sonder reden niet.
Onbekend,Onbekend Hoofdstuk,48,"Edel coninc, wats ghesciet,"
Onbekend,Onbekend Hoofdstuk,49,"ghi moecht doen oetmoedichede,"
Onbekend,Onbekend Hoofdstuk,50,"Edel coninc, hier ter stede,"
Onbekend,Onbekend Hoofdstuk,51,"Dat u kint jonathas,"
Onbekend,Onbekend Hoofdstuk,52,"daer ic u te voren af las,"
Onbekend,Onbekend Hoofdstuk,53,Mach nemen sonder bliven
Onbekend,Onbekend Hoofdstuk,54,Rosefir tot eenen wive.
Onbekend,Onbekend Hoofdstuk,55,"al heeft si der haven niet so vele,"
Onbekend,Onbekend Hoofdstuk,56,"Ic segt in nerst, niet in spele,"
Onbekend,Onbekend Hoofdstuk,57,"Wi sullen haer wel so vele gheven,"
Onbekend,Onbekend Hoofdstuk,58,Wi sullen wel mit eeren leven.
Onbekend,Onbekend Hoofdstuk,59,"Si is huesch ende goedertieren,"
Onbekend,Onbekend Hoofdstuk,60,"Ic prise haer scone manieren,"
Onbekend,Onbekend Hoofdstuk,61,[v]eel meer namelijc
Onbekend,Onbekend Hoofdstuk,62,dan clarijn van vrankerijc.
Onbekend,Onbekend Hoofdstuk,63,"Ghy moetse hem gheven tenen wive,"
Onbekend,Onbekend Hoofdstuk,64,"heer, ten mach niet achter bliven."
Onbekend,Onbekend Hoofdstuk,65,"Edel coninc, gheves u consent."
Onbekend,Onbekend Hoofdstuk,66,"Des biddic, here, met gewelt,"
