author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"God, die makere es alre dinc,"
Onbekend,Onbekend Hoofdstuk,2,"Dat nie was of lijf ontfinc,"
Onbekend,Onbekend Hoofdstuk,3,Die moet mi helpen in derre noet.
Onbekend,Onbekend Hoofdstuk,4,"Maria, moedermaget goet,"
Onbekend,Onbekend Hoofdstuk,5,Staet mi bi in allen dingen
Onbekend,Onbekend Hoofdstuk,6,So dat ic te poente volbringen
Onbekend,Onbekend Hoofdstuk,7,Moete dit boec na sijn recht.
Onbekend,Onbekend Hoofdstuk,8,Hier voren hebbic u verplecht
Onbekend,Onbekend Hoofdstuk,9,Van vele scoenre avonturen;
Onbekend,Onbekend Hoofdstuk,10,Mar wildi vort mit lesen duren
Onbekend,Onbekend Hoofdstuk,11,Ghi sult hier horen scone die ieesten
Onbekend,Onbekend Hoofdstuk,12,"Bede van rouwen ende van feesten,"
Onbekend,Onbekend Hoofdstuk,13,"Van ridderscape groete daet,"
Onbekend,Onbekend Hoofdstuk,14,"Van selsieneheden menich baraet,"
Onbekend,Onbekend Hoofdstuk,15,Die dese partie hevet in:
Onbekend,Onbekend Hoofdstuk,16,Nu hort hier int begin.
Onbekend,Onbekend Hoofdstuk,17,Niet lange nadat doet was
Onbekend,Onbekend Hoofdstuk,18,"Meliagant, als ic voren las,"
Onbekend,Onbekend Hoofdstuk,19,"Des conincs Bandemagus sone,"
Onbekend,Onbekend Hoofdstuk,20,"Daer groet seer was om, na tgone"
Onbekend,Onbekend Hoofdstuk,21,Voer Artur met geselscapen groet
Onbekend,Onbekend Hoofdstuk,22,"Jaegen in een foreest van Kameloet,"
Onbekend,Onbekend Hoofdstuk,23,.Viij. dage na Sinxenen. Daer oec waren
Onbekend,Onbekend Hoofdstuk,24,".Xij. gecroende coninge tuwaren,"
Onbekend,Onbekend Hoofdstuk,25,Die algader uptie ure
Onbekend,Onbekend Hoofdstuk,26,Lant hilden vanden coninc Arture.
Onbekend,Onbekend Hoofdstuk,27,"Hen quamen vele dingen toe,"
Onbekend,Onbekend Hoofdstuk,28,Dat niet te wonderne en was doe
Onbekend,Onbekend Hoofdstuk,29,Bider redenen dat noch doe niet
Onbekend,Onbekend Hoofdstuk,30,"Des conincs Arturs hof ne sciet,"
Onbekend,Onbekend Hoofdstuk,31,Dat hi helt in Cornuwaelgen;
Onbekend,Onbekend Hoofdstuk,32,Geen edel man sonder faelgen
Onbekend,Onbekend Hoofdstuk,33,Ne was noch doe vandaer gesceden.
Onbekend,Onbekend Hoofdstuk,34,Die coninginne quam na gereden
Onbekend,Onbekend Hoofdstuk,35,"Met vrouwen ende met ioncfrouwen,"
Onbekend,Onbekend Hoofdstuk,36,Diermen daer vele mochte scouwen;
Onbekend,Onbekend Hoofdstuk,37,Maer sine hadden doe al dare
Onbekend,Onbekend Hoofdstuk,38,Maer .iiij. ridders met hare.
Onbekend,Onbekend Hoofdstuk,39,Keye ende Sagramor dese twee
Onbekend,Onbekend Hoofdstuk,40,"Waeren met hare, ende noch mee"
Onbekend,Onbekend Hoofdstuk,41,"Dodineel die welde, dats drie:"
Onbekend,Onbekend Hoofdstuk,42,"Die vierde, alsict gescreven sie,"
Onbekend,Onbekend Hoofdstuk,43,"Was Lancelot van Lac, die gone"
Onbekend,Onbekend Hoofdstuk,44,"Was conincs Bans van Benewijc sone,"
Onbekend,Onbekend Hoofdstuk,45,Die vrome ridder was ende waert.
Onbekend,Onbekend Hoofdstuk,46,"Daer was die sciltknecht in die vaert,"
Onbekend,Onbekend Hoofdstuk,47,"Die enen bracke vorde daer bi,"
Onbekend,Onbekend Hoofdstuk,48,"Ende was der coninginne, die si"
Onbekend,Onbekend Hoofdstuk,49,Altoes met hare voren dede
Onbekend,Onbekend Hoofdstuk,50,"Waer si voer, telker stede,"
Onbekend,Onbekend Hoofdstuk,51,"Dore der vrouwen van Lac minne,"
Onbekend,Onbekend Hoofdstuk,52,Diese gaf der coninginne.
Onbekend,Onbekend Hoofdstuk,53,Die coninginne entie vrouwen
Onbekend,Onbekend Hoofdstuk,54,"Voren na die iachte scouwen,"
Onbekend,Onbekend Hoofdstuk,55,So dat si omtrent primetijt quamen
Onbekend,Onbekend Hoofdstuk,56,"Gereden, dat si vernamen"
Onbekend,Onbekend Hoofdstuk,57,Enen ridder comen te hen wart
Onbekend,Onbekend Hoofdstuk,58,"Wel gewapent op een part,"
Onbekend,Onbekend Hoofdstuk,59,"Scilt om hals, spere in die hant,"
Onbekend,Onbekend Hoofdstuk,60,Helm op thoeft. Ende als hi vant
Onbekend,Onbekend Hoofdstuk,61,Die coninginne weendi sere.
Onbekend,Onbekend Hoofdstuk,62,"Die coninginne groette den here,"
Onbekend,Onbekend Hoofdstuk,63,"Ende hi hare dat was clene,"
Onbekend,Onbekend Hoofdstuk,64,Want hi niet ne mochte van wene
Onbekend,Onbekend Hoofdstuk,65,Hare antworden openbaerlike;
Onbekend,Onbekend Hoofdstuk,66,Nochtan groette hise hovesscelike.
Onbekend,Onbekend Hoofdstuk,67,Ende die coninginne reet vort
Onbekend,Onbekend Hoofdstuk,68,Sonder meer te sprekene wort:
Onbekend,Onbekend Hoofdstuk,69,Ende doe si dus was verre voren
Onbekend,Onbekend Hoofdstuk,70,"Sloech hi na vaste met sporen,"
Onbekend,Onbekend Hoofdstuk,71,Ende reet der coninginne bet nare
Onbekend,Onbekend Hoofdstuk,72,Ende sprac al wenende te hare:
Onbekend,Onbekend Hoofdstuk,73,"""Vrouwe, neemt hier minen pant van al"
Onbekend,Onbekend Hoofdstuk,74,Dat ic hebbe mesdaen of mesdoen sal
Onbekend,Onbekend Hoofdstuk,75,"Mijns ondanx."" Ende sonder beide"
Onbekend,Onbekend Hoofdstuk,76,Nam hise biden breidel ende seide:
Onbekend,Onbekend Hoofdstuk,77,"""Vrouwe, ic va u, ende sonder waen"
Onbekend,Onbekend Hoofdstuk,78,"Ne mogedi mi niet lichte ontgaen."""
Onbekend,Onbekend Hoofdstuk,79,Ende hi weende emmer toe.
Onbekend,Onbekend Hoofdstuk,80,"""Ridder, laet staen,"" seidsi doe."
Onbekend,Onbekend Hoofdstuk,81,"""Ine [mach], vrouwe,"" antworde hi."
Onbekend,Onbekend Hoofdstuk,82,Doe seide Keye die daer was bi:
Onbekend,Onbekend Hoofdstuk,83,"""Laet mire vrouwe varen, here,"
Onbekend,Onbekend Hoofdstuk,84,"Of gi sult ontgelden sere."""
Onbekend,Onbekend Hoofdstuk,85,"Hi sprac: ""Here Keye, ine laets niet,"
Onbekend,Onbekend Hoofdstuk,86,"En si datmi el ieman verbiet."""
Onbekend,Onbekend Hoofdstuk,87,Keye trac tswert ende sprac daer nare:
Onbekend,Onbekend Hoofdstuk,88,"""Ridder, doet uwe hant van hare"
Onbekend,Onbekend Hoofdstuk,89,"Ocht neen ic salse u af slaen."""
Onbekend,Onbekend Hoofdstuk,90,Die ridder sprac tote Keyen saen:
Onbekend,Onbekend Hoofdstuk,91,"""Wine sullen onder ons beiden,"
Onbekend,Onbekend Hoofdstuk,92,"Here Keye, niet moegen sceiden"
Onbekend,Onbekend Hoofdstuk,93,"Gine moet ioesteren hier iegen mi."""
Onbekend,Onbekend Hoofdstuk,94,"""Daer mickic clene op,"" seide hi,"
Onbekend,Onbekend Hoofdstuk,95,"""Gine sult die irste niet wesen,"
Onbekend,Onbekend Hoofdstuk,96,"Ic hebbe geioesteert vor desen."""
Onbekend,Onbekend Hoofdstuk,97,Si begonsten doe met sporen nopen
Onbekend,Onbekend Hoofdstuk,98,"Die orse, ende onderlinge loepen"
Onbekend,Onbekend Hoofdstuk,99,"Met groter vart, ende onderstaken"
Onbekend,Onbekend Hoofdstuk,100,"Hem so, dattie scilde braken."
Onbekend,Onbekend Hoofdstuk,101,"Keye brac sijn spere doe,"
Onbekend,Onbekend Hoofdstuk,102,"Maer die ridder staken soe,"
Onbekend,Onbekend Hoofdstuk,103,Dat hine droech ter erde
Onbekend,Onbekend Hoofdstuk,104,Achterwart van sinen parde.
Onbekend,Onbekend Hoofdstuk,105,Alse Sagrimor dat hadde versien
Onbekend,Onbekend Hoofdstuk,106,"Hi reet opten riddre mettien,"
Onbekend,Onbekend Hoofdstuk,107,Ende die ridder weder te hem wert;
Onbekend,Onbekend Hoofdstuk,108,"Ende quamen met so [groter] vart,"
Onbekend,Onbekend Hoofdstuk,109,Dat si hem so onderstaken
Onbekend,Onbekend Hoofdstuk,110,"Dattie vaste scilde braken,"
Onbekend,Onbekend Hoofdstuk,111,So dat des ridders scilt spleet
Onbekend,Onbekend Hoofdstuk,112,Ende die halsberch scoerde gereet;
Onbekend,Onbekend Hoofdstuk,113,"Maer hine wart niet gewont,"
Onbekend,Onbekend Hoofdstuk,114,Ende Sagrimor was tier stont
Onbekend,Onbekend Hoofdstuk,115,Gesteken so dat hi ter erde
Onbekend,Onbekend Hoofdstuk,116,"Vallen moeste vanden perde,"
Onbekend,Onbekend Hoofdstuk,117,Ende die ridder over hem reet
Onbekend,Onbekend Hoofdstuk,118,Metten perde. Also als hi leet
Onbekend,Onbekend Hoofdstuk,119,Hets wonder dat hem niet ne brac
Onbekend,Onbekend Hoofdstuk,120,Therte dat in sinen buec stac.
Onbekend,Onbekend Hoofdstuk,121,Des was die coninginne gram
Onbekend,Onbekend Hoofdstuk,122,"Als si hare ridders dus vernam,"
Onbekend,Onbekend Hoofdstuk,123,Datse bi sire manlijchede
Onbekend,Onbekend Hoofdstuk,124,Een ridder allene onder dede.
Onbekend,Onbekend Hoofdstuk,125,Doe wert erre Dodineel
Onbekend,Onbekend Hoofdstuk,126,Om sire gesellen achterdeel.
Onbekend,Onbekend Hoofdstuk,127,"H[i se]ide: ""Dese ridder, sonder waen,"
Onbekend,Onbekend Hoofdstuk,128,"Hevet sine ioeste wel gedaen,"
Onbekend,Onbekend Hoofdstuk,129,Ic moet oec emmer iegen dien
Onbekend,Onbekend Hoofdstuk,130,"Joesteren, watter af mach geschien."""
Onbekend,Onbekend Hoofdstuk,131,Hi hadde liever datmen af stake
Onbekend,Onbekend Hoofdstuk,132,Dan hi liete te doene wrake
Onbekend,Onbekend Hoofdstuk,133,Dan sinen gesellen na sine macht.
Onbekend,Onbekend Hoofdstuk,134,"Si porreden beide met groter cracht,"
Onbekend,Onbekend Hoofdstuk,135,"Ende onderreden hen tien tide,"
Onbekend,Onbekend Hoofdstuk,136,Ende onderstaken hen met nide
Onbekend,Onbekend Hoofdstuk,137,So dat hare scilden braken
Onbekend,Onbekend Hoofdstuk,138,"Vanden steken, die si staken,"
Onbekend,Onbekend Hoofdstuk,139,Ende haer halsberge niet geduren
Onbekend,Onbekend Hoofdstuk,140,Ne mochten sine moesten scuren.
Onbekend,Onbekend Hoofdstuk,141,Die ridder bleef in sijn gereide
Onbekend,Onbekend Hoofdstuk,142,Maer Doedineel viel upter heide
Onbekend,Onbekend Hoofdstuk,143,"Vanden perde biden gemoete,"
Onbekend,Onbekend Hoofdstuk,144,Daerne die ridder stac onsoete.
Onbekend,Onbekend Hoofdstuk,145,Om dit was die coninginne
Onbekend,Onbekend Hoofdstuk,146,Harde drove in haeren sinne.
Onbekend,Onbekend Hoofdstuk,147,Vrouwen ende ioncfrouwen dreven mesbaer.
Onbekend,Onbekend Hoofdstuk,148,Si hadden doe om Lanceloete vaer;
Onbekend,Onbekend Hoofdstuk,149,"Die coningin sprac: Ic bidde u,"
Onbekend,Onbekend Hoofdstuk,150,"Here riddre, dat gi wech vaert nu,"
Onbekend,Onbekend Hoofdstuk,151,Steecti den vierden af ic sal
Onbekend,Onbekend Hoofdstuk,152,"Daer af droeven mijn leven al."""
Onbekend,Onbekend Hoofdstuk,153,"Hi seide: ""Vrouwe, wats gesciet,"
Onbekend,Onbekend Hoofdstuk,154,Ine mach henen keren niet
Onbekend,Onbekend Hoofdstuk,155,"Vore dat ic afgesteken si,"
Onbekend,Onbekend Hoofdstuk,156,"Of ic moet u leiden met mi."""
Onbekend,Onbekend Hoofdstuk,157,"Si sprac: ""Ontfoerdi mi, sonder waen,"
Onbekend,Onbekend Hoofdstuk,158,Ic sal mi van rouwen verslaen;
Onbekend,Onbekend Hoofdstuk,159,Ine begere te levene niet
Onbekend,Onbekend Hoofdstuk,160,"Dan voert meer, wats gesciet,"
Onbekend,Onbekend Hoofdstuk,161,"Langer in en gere maniere,"
Onbekend,Onbekend Hoofdstuk,162,"Werden si afgesteken alle viere."""
Onbekend,Onbekend Hoofdstuk,163,Die ridder haelde ute metter vart
Onbekend,Onbekend Hoofdstuk,164,Om te comene te Lanceloete wart:
Onbekend,Onbekend Hoofdstuk,165,Lancelot dede oec des gelike.
Onbekend,Onbekend Hoofdstuk,166,Doe quam daer gereden verdelike
Onbekend,Onbekend Hoofdstuk,167,"Ene quene, die Lanceloete nam"
Onbekend,Onbekend Hoofdstuk,168,Bi den breidele daer hi quam.
Onbekend,Onbekend Hoofdstuk,169,"""Hout al stille,"" sprac die vrouwe,"
Onbekend,Onbekend Hoofdstuk,170,"""Ende quyt u van ure trouwe."""
Onbekend,Onbekend Hoofdstuk,171,"""Wat trouwen?"" antworde hi,"
Onbekend,Onbekend Hoofdstuk,172,"""Hebbedi mine trouwe?"" ""Jayic,"" sprac si,"
Onbekend,Onbekend Hoofdstuk,173,"""Gi sekert mi, sijt wel bedocht,"
Onbekend,Onbekend Hoofdstuk,174,"Daer gi den roeden ridder socht,"
Onbekend,Onbekend Hoofdstuk,175,"Waer dat icken u wijsde dat gi,"
Onbekend,Onbekend Hoofdstuk,176,"Ende ics vermaende, soud gaen met mi."
Onbekend,Onbekend Hoofdstuk,177,Ic vermane u daer af nu:
Onbekend,Onbekend Hoofdstuk,178,"Coemt met mi ende quitet u."""
Onbekend,Onbekend Hoofdstuk,179,Lancelot antworde dus der quenen:
Onbekend,Onbekend Hoofdstuk,180,"""Vrouwe, vordi mi dus henen"
Onbekend,Onbekend Hoofdstuk,181,Ic ware onteert ende keytive
Onbekend,Onbekend Hoofdstuk,182,"Tallen dage van minen live,"
Onbekend,Onbekend Hoofdstuk,183,"Na dattie riddre ontbeit na mi."""
Onbekend,Onbekend Hoofdstuk,184,"""Ja,"" sprac die quenen, ""ende ochte hi"
Onbekend,Onbekend Hoofdstuk,185,U verwint ende vaet ic ne sal dan
Onbekend,Onbekend Hoofdstuk,186,"Gene macht op u hebben vort an."""
Onbekend,Onbekend Hoofdstuk,187,"Lancelot sprac: ""Ic ne sal hier van desen,"
Onbekend,Onbekend Hoofdstuk,188,"Des hoepic, niet verwonnen wesen."
Onbekend,Onbekend Hoofdstuk,189,"Nu biddic u om Gode, vrouwe,"
Onbekend,Onbekend Hoofdstuk,190,"Ende omme mi van desen rouwe,"
Onbekend,Onbekend Hoofdstuk,191,"Ende mi van scanden te levreerne,"
Onbekend,Onbekend Hoofdstuk,192,Ghevet mi nv orlof te ioesterne
Onbekend,Onbekend Hoofdstuk,193,"Jegen den riddre ende respijt,"
Onbekend,Onbekend Hoofdstuk,194,"Ende gi so lange ontbijt."""
Onbekend,Onbekend Hoofdstuk,195,"Si sprac dat daer geen verst en ware,"
Onbekend,Onbekend Hoofdstuk,196,Maer dat [hi] te hans volgede hare.
Onbekend,Onbekend Hoofdstuk,197,Sone daede el niet dore mi?
Onbekend,Onbekend Hoofdstuk,198,Sprac hi. Si seide: neensi.
Onbekend,Onbekend Hoofdstuk,199,"Doe seide hi: ""Vaert voren dan,"
Onbekend,Onbekend Hoofdstuk,200,Ende ic sal u volgen an;
Onbekend,Onbekend Hoofdstuk,201,"Maer sijt alle seker van desen,"
Onbekend,Onbekend Hoofdstuk,202,Eer gi sult gereden wesen
Onbekend,Onbekend Hoofdstuk,203,Ene bogescote gi sult mi
Onbekend,Onbekend Hoofdstuk,204,"Doet vinden."" Doe sprac si: ""Twi?"""
Onbekend,Onbekend Hoofdstuk,205,Bi sin selven sprac Lansloet:
Onbekend,Onbekend Hoofdstuk,206,"""Ic hadde liever te sine doet"
Onbekend,Onbekend Hoofdstuk,207,Dan ic sulke scande soude ontfaen
Onbekend,Onbekend Hoofdstuk,208,"Alse gi mi wilt doen verstaen."""
Onbekend,Onbekend Hoofdstuk,209,"""Ic sal u laeten,"" sprac si, ""ioesteren"
Onbekend,Onbekend Hoofdstuk,210,"Jegen den ridder, wildi mi sweren"
Onbekend,Onbekend Hoofdstuk,211,Dat gi mi sult volgen also saen
Onbekend,Onbekend Hoofdstuk,212,"Alse die ioeste sal sijn gedaen."""
Onbekend,Onbekend Hoofdstuk,213,"""Jaic, vrouwe,"" antworde hi,"
Onbekend,Onbekend Hoofdstuk,214,"""Op dat ic met mi selven si."""
Onbekend,Onbekend Hoofdstuk,215,"""Ic ne wils anders niet,"" sprac si doe."
Onbekend,Onbekend Hoofdstuk,216,Si was soe out wel daer toe
Onbekend,Onbekend Hoofdstuk,217,"Van .LXX. iaeren, des geloeft,"
Onbekend,Onbekend Hoofdstuk,218,Nochtan droech si enen cierkel op thoeft.
Onbekend,Onbekend Hoofdstuk,219,Dus begonsten si hen gereiden
Onbekend,Onbekend Hoofdstuk,220,Om ioesteren onder hen beiden.
Onbekend,Onbekend Hoofdstuk,221,Si staeken onderlinge sulke steken
Onbekend,Onbekend Hoofdstuk,222,"Dattie scilde moesten breken,"
Onbekend,Onbekend Hoofdstuk,223,Ende die halsberge scuerden doe:
Onbekend,Onbekend Hoofdstuk,224,Die glavyen gingen int vleesch toe.
Onbekend,Onbekend Hoofdstuk,225,Die ridder stac Lanceloete tien tiden
Onbekend,Onbekend Hoofdstuk,226,"Metter glavie doer die siden,"
Onbekend,Onbekend Hoofdstuk,227,"Maer die glavie also liep,"
Onbekend,Onbekend Hoofdstuk,228,Dattie wonde niet ne was diep;
Onbekend,Onbekend Hoofdstuk,229,Ende die glavie brac also
Onbekend,Onbekend Hoofdstuk,230,"Datter een stuc in die zide bleef doe,"
Onbekend,Onbekend Hoofdstuk,231,So datter lettel af gebrac
Onbekend,Onbekend Hoofdstuk,232,Dat hine ter erden niet ne stac.
Onbekend,Onbekend Hoofdstuk,233,Lanceloet die hem gevoelde gewont
Onbekend,Onbekend Hoofdstuk,234,"Stac den ridder soe tier stont,"
Onbekend,Onbekend Hoofdstuk,235,Dat hine doerstac tien tiden
Onbekend,Onbekend Hoofdstuk,236,"Dat tyser bleec ter ander siden,"
Onbekend,Onbekend Hoofdstuk,237,Ende hi viel ter erden doe.
