author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"Die vader seide: ""Laetse varen,"""
Onbekend,Onbekend Hoofdstuk,2,dattie sone dede sonder sparen;
Onbekend,Onbekend Hoofdstuk,3,"maer hi seide doe alsoe houde,"
Onbekend,Onbekend Hoofdstuk,4,dat hi iegen hem vechten soude.
Onbekend,Onbekend Hoofdstuk,5,"Die vader seide: ""Gine sult niet!"""
Onbekend,Onbekend Hoofdstuk,6,"ende als hijt dor hem nine liet,"
Onbekend,Onbekend Hoofdstuk,7,traken di vader weder achter waerd
Onbekend,Onbekend Hoofdstuk,8,"twewerf oft drie, al ongespaet;"
Onbekend,Onbekend Hoofdstuk,9,nochtan wildi embertoe
Onbekend,Onbekend Hoofdstuk,10,"Lancelote op lopen, ende doe"
Onbekend,Onbekend Hoofdstuk,11,"dedine vaen ende binden daer,"
Onbekend,Onbekend Hoofdstuk,12,ende seide tote hem daer naer:
Onbekend,Onbekend Hoofdstuk,13,"""Du als nu moten houden stille"
Onbekend,Onbekend Hoofdstuk,14,ende dijns ondancs doen minen wille;
Onbekend,Onbekend Hoofdstuk,15,"du sals hem laten die ioncfrouwe nu,"
Onbekend,Onbekend Hoofdstuk,16,"ende wi selen hem volgen, ic ende du,"
Onbekend,Onbekend Hoofdstuk,17,"heden ende oec morgen mede,"
Onbekend,Onbekend Hoofdstuk,18,hi mach sijn van sulker vromechede.
Onbekend,Onbekend Hoofdstuk,19,"Du suls vanden stride swigen bi dien,"
Onbekend,Onbekend Hoofdstuk,20,"ende du moges selc dinc an hem sien,"
Onbekend,Onbekend Hoofdstuk,21,du suls dan al te tide
Onbekend,Onbekend Hoofdstuk,22,"iegen hem mogen comen te stride."""
Onbekend,Onbekend Hoofdstuk,23,Die gode man dede hem daer of
Onbekend,Onbekend Hoofdstuk,24,sijns ondancs doen sijn belof.
Onbekend,Onbekend Hoofdstuk,25,Ende hi ende sijn sone daertoe
Onbekend,Onbekend Hoofdstuk,26,volgeden Lancelote beide alsoe
Onbekend,Onbekend Hoofdstuk,27,"ende der ioncfrouwe, die Lanceloet dede"
Onbekend,Onbekend Hoofdstuk,28,"savons herbergen tere stede,"
Onbekend,Onbekend Hoofdstuk,29,"daer si beide waren wel ontfaen,"
Onbekend,Onbekend Hoofdstuk,30,in een religioen. Ende also saen
Onbekend,Onbekend Hoofdstuk,31,"alsi liede gebet waren,"
Onbekend,Onbekend Hoofdstuk,32,quam die riddere daer gevaren
Onbekend,Onbekend Hoofdstuk,33,"met sinen geselscepe, die daer was"
Onbekend,Onbekend Hoofdstuk,34,"eerlike ontfaen, sijt seker das;"
Onbekend,Onbekend Hoofdstuk,35,want sine vorders iest begonsten
Onbekend,Onbekend Hoofdstuk,36,die stede stichten met groter onsten.
Onbekend,Onbekend Hoofdstuk,37,Des ander dages Lanceloet horde
Onbekend,Onbekend Hoofdstuk,38,"messe, die den dage toe horde,"
Onbekend,Onbekend Hoofdstuk,39,"van den Heilegen Geeste, ende daer naer"
Onbekend,Onbekend Hoofdstuk,40,sprac een begeven man an hem daer
Onbekend,Onbekend Hoofdstuk,41,"ende seide: ""Here, mi donct, dat gi"
Onbekend,Onbekend Hoofdstuk,42,"in dit lant sijt comen bedi,"
Onbekend,Onbekend Hoofdstuk,43,"dat gi die gene, di met gewouden"
Onbekend,Onbekend Hoofdstuk,44,"in dit lant liegen gehouden,"
Onbekend,Onbekend Hoofdstuk,45,"gerne te livereret."" Doe sedi:"
Onbekend,Onbekend Hoofdstuk,46,"""Wilder onse Here toe hulpen mi,"
Onbekend,Onbekend Hoofdstuk,47,"ic souder gerne pine doen toe."""
Onbekend,Onbekend Hoofdstuk,48,"""Ic segt bedi,"" seide di gode man doe,"
Onbekend,Onbekend Hoofdstuk,49,"""hier is ene prove nu binnen,"
Onbekend,Onbekend Hoofdstuk,50,daer men wale ane mach kinnen
Onbekend,Onbekend Hoofdstuk,51,"wie vanden aventuren al,"
Onbekend,Onbekend Hoofdstuk,52,"dire in sijn, die ere hebben sal."""
Onbekend,Onbekend Hoofdstuk,53,"""Ic souder nu gerne proven an,"""
