author,chapter,line,text
Heinriic,BOEK I,1,"Oemoedich god, gheweldich here,"
Heinriic,BOEK I,2,Die oit waert ende emmermere
Heinriic,BOEK I,3,"Siin selt in volmaectheden,"
Heinriic,BOEK I,4,"Een god in der drievuldicheden,"
Heinriic,BOEK I,5,"Jeghenwordich in elke stad,"
Heinriic,BOEK I,6,"Volcomelec wie twivelt dat,"
Heinriic,BOEK I,7,"Starc ende ghedochsam, almechtich,"
Heinriic,BOEK I,8,Ontfarmich god gherechtich!
Heinriic,BOEK I,9,Want David seghet sekerlike:
Heinriic,BOEK I,10,"""Ons heren soe es erterike"
Heinriic,BOEK I,11,"Ende al datter binnen si,"
Heinriic,BOEK I,12,"Want niemen en maket dan hi."""
Heinriic,BOEK I,13,Alsoe waerlike alst was waer
Heinriic,BOEK I,14,Ende ict gheloeve oppenbaer
Heinriic,BOEK I,15,"Sonder twivel ghehelike,"
Heinriic,BOEK I,16,Moeti mi here van hemelrike
Heinriic,BOEK I,17,"Gheonnen, dat ic volmaken moghe"
Heinriic,BOEK I,18,Miin ghedichte daer ic na poghe
Heinriic,BOEK I,19,"Met al miere herten nacht ende dach,"
Heinriic,BOEK I,20,Want sonder u niet siin en mach
Heinriic,BOEK I,21,Dat ic tenen goeden ende bringhe;
Heinriic,BOEK I,22,Dies onne mi oec sonderlinghe
Heinriic,BOEK I,23,"Die reine maget, die suver pure,"
Heinriic,BOEK I,24,Die moeder die jeghen nature
Heinriic,BOEK I,25,Ende verre boven menschen gedochte
Heinriic,BOEK I,26,Haren eneghen sone brochte
Heinriic,BOEK I,27,"Sonder smette, [wi]es twivelt iet;"
Heinriic,BOEK I,28,Want dat reine en smettet reyne niet.
Heinriic,BOEK I,29,Nu beghinnic in hare eren
Heinriic,BOEK I,30,Ende in des heren alder heren.
Heinriic,BOEK I,31,Tenen tiden woende een hertoge
Heinriic,BOEK I,32,Die van gheslachte was hoghe
Heinriic,BOEK I,33,[In] Lemborch ende was Otte ghenant;
Heinriic,BOEK I,34,[Hi] was here over al tlant
Heinriic,BOEK I,35,"Van Limborch, machtich ende coene,"
Heinriic,BOEK I,36,Soe dat men van sinen doene
Heinriic,BOEK I,37,Sprac over al die werelt wiit;
Heinriic,BOEK I,38,[Ver]moghen was hi in elken striit;
Heinriic,BOEK I,39,[Een tornierder] was hi soe goet.
Heinriic,BOEK I,40,Dat niet jeghen hem en stoet;
Heinriic,BOEK I,41,"Sine coenheit, sine vromicheit,"
Heinriic,BOEK I,42,"Sine doghet, sine crachticheit"
Heinriic,BOEK I,43,Maectene bekint over al
Heinriic,BOEK I,44,"Ende daer soe liefghetal,"
Heinriic,BOEK I,45,Dat menne priisde vele meer
Heinriic,BOEK I,46,Dan eneghen ridder noit eer;
Heinriic,BOEK I,47,Dies mochti gode te rechte loven
Heinriic,BOEK I,48,Diene dus sere brachte boven
Heinriic,BOEK I,49,Ende diene altoes hilt in de ere.
Heinriic,BOEK I,50,"Twee kinder haddi ende nemmere,"
Heinriic,BOEK I,51,Die beide noch cleine siin;
Heinriic,BOEK I,52,Dat een was een joncheerkiin
Heinriic,BOEK I,53,"Out wel van sestien jaren,"
Heinriic,BOEK I,54,Dat gherne plach met spor[ewaren]
Heinriic,BOEK I,55,Savons te vaerne in rivieren;
Heinriic,BOEK I,56,"Dander was hovesch ende goedertieren,"
Heinriic,BOEK I,57,"Scamel ende niet te bout,"
Heinriic,BOEK I,58,Een jonfroukiin .XIII. jaer out.
Heinriic,BOEK I,59,"Die jonchere was Heinriic ghenant,"
Heinriic,BOEK I,60,Dat scoenste kint dat in al tlant
Heinriic,BOEK I,61,Entie vroemste van sinen tide
Heinriic,BOEK I,62,Die men vant verre of [wide];
Heinriic,BOEK I,63,"Soe grasilec was[t te siene an],"
Heinriic,BOEK I,64,Dat no wiif en was [no man]
Heinriic,BOEK I,65,"Si en saghent soe utermaten gherne,"
Heinriic,BOEK I,66,Dat si liever hadden tontberne
Heinriic,BOEK I,67,Etens dan dat kint te siene;
Heinriic,BOEK I,68,En waren int lant niet [tiene]
Heinriic,BOEK I,69,Die nie siin gheliic saghen.
Heinriic,BOEK I,70,Die jonfrouwe mochte wale behagen
Heinriic,BOEK I,71,Alder werelt van scoenheden;
Heinriic,BOEK I,72,Natuere en hadde an hem beden
Heinriic,BOEK I,73,"Twent vergheten na minen wane,"
Heinriic,BOEK I,74,Want alle doghet was (wies?) hem ane;
Heinriic,BOEK I,75,Margriete hiet si na die moeder;
Heinriic,BOEK I,76,Bat gheraecter kint no vroeder
Heinriic,BOEK I,77,"En hadde men niet vonden onder den trone,"
Heinriic,BOEK I,78,Oec en sach nie man soe scone.
Heinriic,BOEK I,79,In enen meye dat saet ende gras
Heinriic,BOEK I,80,"Scone stont ende groene was,"
Heinriic,BOEK I,81,"Was vroech die hertoghe opghestaen,"
Heinriic,BOEK I,82,"Ende dede sine jagheren comen saen,"
Heinriic,BOEK I,83,Ende woude int wout varen jaghen;
Heinriic,BOEK I,84,Alse dat sine jagheren saghen.
Heinriic,BOEK I,85,Ghereiden si hem [ter vaert];
Heinriic,BOEK I,86,"Die hertoghe seide: ""waerwaert"
Heinriic,BOEK I,87,"Willen wi ierstwarf loepen?"""
Heinriic,BOEK I,88,"""Here hier vore, wi hopen"
Heinriic,BOEK I,89,"Dat wiere selen ane varen."""
Heinriic,BOEK I,90,"""Soe woudic dat waren"
Heinriic,BOEK I,91,"Alle beide mine kindre hier,"
Heinriic,BOEK I,92,Ende hier mochten een dier
Heinriic,BOEK I,93,"Vellen vore haren oeghen sien."""
Heinriic,BOEK I,94,"Enen knape riep hi mettien,"
Heinriic,BOEK I,95,Dat hi om hem beiden rede;
Heinriic,BOEK I,96,Die ghene haestem ende dede
Heinriic,BOEK I,97,Dat hem siin here doen hiet;
Heinriic,BOEK I,98,"Hi keerde weder ende en lette niet,"
Heinriic,BOEK I,99,Ende brachtse met hem alle beide.
Heinriic,BOEK I,100,"Doese die hertoghe sach, hi seide:"
Heinriic,BOEK I,101,"""Lieve kinder, siit willecome!"
Heinriic,BOEK I,102,"Heinriic laet zien, sidi iet vrome,"
Heinriic,BOEK I,103,"Seldi den honden ghevolgen moghen?"""
Heinriic,BOEK I,104,"Heinriic hi was in hoghen,"
Heinriic,BOEK I,105,"Ende seide, [jae] ofs hem god onde."
Heinriic,BOEK I,106,Mettien ontcoppelde hi die honde
Heinriic,BOEK I,107,Ende lietse loepen ten woude wert in;
Heinriic,BOEK I,108,"Die herten vloen in haer bekin,"
Heinriic,BOEK I,109,"Die kindre volgeden sere mede,"
Heinriic,BOEK I,110,Die herten vloen na haren zede
Heinriic,BOEK I,111,"Ten woude wert, soe si meest mochten,"
Heinriic,BOEK I,112,Ende die ghene diese sochten
Heinriic,BOEK I,113,"Volgeden na hier ende daer,"
Heinriic,BOEK I,114,Soe verre dat si wisten waer
Heinriic,BOEK I,115,Deen den andren hadden verloren;
Heinriic,BOEK I,116,Die jonfrouwe die te voren
Heinriic,BOEK I,117,"Selden des speels hadde gheploghen,"
Heinriic,BOEK I,118,"En was een twint niet in hoghen,"
Heinriic,BOEK I,119,Want si dolende voer allene
Heinriic,BOEK I,120,"In groten rouwe ende in wene,"
Heinriic,BOEK I,121,Ende en wiste werwert riden;
Heinriic,BOEK I,122,Haer selven en conste si niet verbliden.
Heinriic,BOEK I,123,Want si sach wel te voren
Heinriic,BOEK I,124,Datsi bleef int wout verloren
