author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Ons maect cont die aventure
Onbekend,Onbekend Hoofdstuk,2,"Van enen riddere nu ter ure,"
Onbekend,Onbekend Hoofdstuk,3,Die Moriaen was geheten.
Onbekend,Onbekend Hoofdstuk,42550,Som die boeke doen ons weten
Onbekend,Onbekend Hoofdstuk,5,"Dat hi Perchevals sone was,"
Onbekend,Onbekend Hoofdstuk,6,"Ende som boke secgen oec das,"
Onbekend,Onbekend Hoofdstuk,7,"Dat hi was Acglavaels soene,"
Onbekend,Onbekend Hoofdstuk,8,"Perchevaels broder was die goene,"
Onbekend,Onbekend Hoofdstuk,42555,Ende so was hi Perchevaels broder kint;
Onbekend,Onbekend Hoofdstuk,10,Want men wel ter waerheit vint
Onbekend,Onbekend Hoofdstuk,11,Dat Perchevael ende mede Galaet
Onbekend,Onbekend Hoofdstuk,12,"Beide bleven, dat wel verstaet,"
Onbekend,Onbekend Hoofdstuk,13,Maget doet biden grale.
Onbekend,Onbekend Hoofdstuk,42560,"Om dit secgic van Perchevale,"
Onbekend,Onbekend Hoofdstuk,15,Dat sijn sone nine mach wesen;
Onbekend,Onbekend Hoofdstuk,16,Maer ic hebbe in boken gelesen
Onbekend,Onbekend Hoofdstuk,17,Dat Moriaen was sijns broder sone.
Onbekend,Onbekend Hoofdstuk,18,Ende an ene morinne was die gone
Onbekend,Onbekend Hoofdstuk,42565,Gewonnen; ende oec ten selven tide
Onbekend,Onbekend Hoofdstuk,20,Dat Acglavael sochte wide ende side
Onbekend,Onbekend Hoofdstuk,21,"Lancelote, die verloren was,"
Onbekend,Onbekend Hoofdstuk,22,Alsmen hier te voren las.
Onbekend,Onbekend Hoofdstuk,23,"Ic wane die gene di Lancelote maecte,"
Onbekend,Onbekend Hoofdstuk,42570,"Dat hem in sijn dichten vaecte,"
Onbekend,Onbekend Hoofdstuk,25,Dat hi vergat ende achterliet
Onbekend,Onbekend Hoofdstuk,26,Van Moriane dat scone bediet.
Onbekend,Onbekend Hoofdstuk,27,Mi wondert wies si hen onderwinden
Onbekend,Onbekend Hoofdstuk,28,"Die dichten wilt ende rimen vinden,"
Onbekend,Onbekend Hoofdstuk,42575,Sine volbrachten daer af die tale.
Onbekend,Onbekend Hoofdstuk,30,Die coninc Artur sat tenen male
Onbekend,Onbekend Hoofdstuk,31,In Bertangen ende hilt hof
Onbekend,Onbekend Hoofdstuk,32,Om te merre sinen lof;
Onbekend,Onbekend Hoofdstuk,33,Ende daer die hoge liede saten
Onbekend,Onbekend Hoofdstuk,42580,Over die tafle ende aten
Onbekend,Onbekend Hoofdstuk,35,Quam een riddere in gereden.
Onbekend,Onbekend Hoofdstuk,36,Het was in Arturs tiden seden
Onbekend,Onbekend Hoofdstuk,37,Datmen gene porte sloet
Onbekend,Onbekend Hoofdstuk,38,Noch weder cleine no groet;
Onbekend,Onbekend Hoofdstuk,42585,Waer so die coninc hilt hof
Onbekend,Onbekend Hoofdstuk,40,Wie so wilde ginc in ende of.
Onbekend,Onbekend Hoofdstuk,41,Dus quam die riddere in gevaren
Onbekend,Onbekend Hoofdstuk,42,Daer die hoge liede waren.
Onbekend,Onbekend Hoofdstuk,43,"Al woude hi beetten hine mochte,"
Onbekend,Onbekend Hoofdstuk,42590,Hi was gewont so onsochte.
Onbekend,Onbekend Hoofdstuk,45,Het stont den riddere herde onsiene;
Onbekend,Onbekend Hoofdstuk,46,Hi hadde wonden meer dan tiene:
Onbekend,Onbekend Hoofdstuk,47,Vander minstere en soude wesen
Onbekend,Onbekend Hoofdstuk,48,Te rechte en geen man genesen.
Onbekend,Onbekend Hoofdstuk,42595,Dus quam die riddere beraden
Onbekend,Onbekend Hoofdstuk,50,"Sine wapine ende sine gewaden,"
Onbekend,Onbekend Hoofdstuk,51,"Ende sijn ors scone ende groet,"
Onbekend,Onbekend Hoofdstuk,52,Dat was al beverwet roet
Onbekend,Onbekend Hoofdstuk,53,Algader met sijns selfs blode.
Onbekend,Onbekend Hoofdstuk,42600,"Den riddere was wee te mode,"
