author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"Daventure gewaget nu das,"
Onbekend,Onbekend Hoofdstuk,2,Dat menech man blide was
Onbekend,Onbekend Hoofdstuk,3,"Dor dat Perchevael te hove es comen,"
Onbekend,Onbekend Hoofdstuk,4,Ende om dat si mede hebben vernomen
Onbekend,Onbekend Hoofdstuk,36955,"Dat hi gewonnen heeft sijn lant,"
Onbekend,Onbekend Hoofdstuk,6,Ende sijn broder mede altehant
Onbekend,Onbekend Hoofdstuk,7,Acglavael dlant heeft beseten.
Onbekend,Onbekend Hoofdstuk,8,"Dor dese sake, alse wijt weten,"
Onbekend,Onbekend Hoofdstuk,9,Dede die coninc houden hof
Onbekend,Onbekend Hoofdstuk,36960,"Om te merren sinen lof,"
Onbekend,Onbekend Hoofdstuk,11,Ende ontboet als te voren
Onbekend,Onbekend Hoofdstuk,12,Die ter tafelronden behoren.
Onbekend,Onbekend Hoofdstuk,13,Ende alsi in dese feeste saten
Onbekend,Onbekend Hoofdstuk,14,"Quam daer ene joncfrouwe, di utermate"
Onbekend,Onbekend Hoofdstuk,36965,Lelijc was in allen maniren:
Onbekend,Onbekend Hoofdstuk,16,Men mochse niet wel visiren
Onbekend,Onbekend Hoofdstuk,17,Van gedane hoe swerd si was:
Onbekend,Onbekend Hoofdstuk,18,Si hadde di tande gelijc den das:
Onbekend,Onbekend Hoofdstuk,19,Si hadde granen omden mont
Onbekend,Onbekend Hoofdstuk,36970,"Ende enen snavel gelijc den hont,"
Onbekend,Onbekend Hoofdstuk,21,"Ende ogen hol, der simmen gelike:"
Onbekend,Onbekend Hoofdstuk,22,Die wintbrauwen lanc ende eyselike:
Onbekend,Onbekend Hoofdstuk,23,Dat ansichte breet ende vuel
Onbekend,Onbekend Hoofdstuk,24,Si quam gereden op enen muel
Onbekend,Onbekend Hoofdstuk,36975,Inder zalen ter selver stat
Onbekend,Onbekend Hoofdstuk,26,"Daer die coninc Artur at,"
Onbekend,Onbekend Hoofdstuk,27,"Ende si groette den coninc vorwaer,"
Onbekend,Onbekend Hoofdstuk,28,Ende al die met hem waren daer.
