author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"Die coninc doe sijn hoeft opstac,"
Onbekend,Onbekend Hoofdstuk,2,"Ende sac up Keien, ende sprac:"
Onbekend,Onbekend Hoofdstuk,3,"""Here drossate, here drossate,"
Onbekend,Onbekend Hoofdstuk,4,"""Ure felre tongen grote ommate"
Onbekend,Onbekend Hoofdstuk,5,"""Hevet ons den Walois verdreven,"
Onbekend,Onbekend Hoofdstuk,6,"""Die mach licht hier ware bleven"
Onbekend,Onbekend Hoofdstuk,7,"""Tes hi wiste van den wapenen bet."""
Onbekend,Onbekend Hoofdstuk,8,Doe sprac die hovesche Jonet:
Onbekend,Onbekend Hoofdstuk,9,"""Here coninc, bi mire trouwen,"
Onbekend,Onbekend Hoofdstuk,10,"""Dieselve man ombiet der joncfrouwen,"
Onbekend,Onbekend Hoofdstuk,11,"""Dien hi heren Keien slaen sach,"
Onbekend,Onbekend Hoofdstuk,12,"""Dat hi noch der joncvrouwen slach"
Onbekend,Onbekend Hoofdstuk,13,"""Up haren Keien wreken sal"
Onbekend,Onbekend Hoofdstuk,14,"""Of aventuren sijn geval."""
Onbekend,Onbekend Hoofdstuk,15,"Alse dit die sot sie began horen,"
Onbekend,Onbekend Hoofdstuk,16,"Die int fier was geworpen te voren,"
Onbekend,Onbekend Hoofdstuk,17,Liep hi vore den coninc staen
Onbekend,Onbekend Hoofdstuk,18,"Ende sprac: ""Ic segt u, sonder waen,"
Onbekend,Onbekend Hoofdstuk,19,"""Here coninc, u naken aventuren"
Onbekend,Onbekend Hoofdstuk,20,"""Van herde fellen ende van suren."
Onbekend,Onbekend Hoofdstuk,21,"""Nu laet den Walois nu henen riden;"
Onbekend,Onbekend Hoofdstuk,22,"""Ghi selt eer iet lanc gebiden,"
Onbekend,Onbekend Hoofdstuk,23,"""Dat hi die joncfrou so sal wreken"
Onbekend,Onbekend Hoofdstuk,24,"""Dat hi Keien sal doen breken"
Onbekend,Onbekend Hoofdstuk,25,"""Ontwee sinen rechten arm,"
Onbekend,Onbekend Hoofdstuk,26,"""Sodat hine sal, dats luttel harm,"
Onbekend,Onbekend Hoofdstuk,27,"""Een half jaer dragen sal an sinen hals."
Onbekend,Onbekend Hoofdstuk,28,"""Des torens ende des ongevals"
Onbekend,Onbekend Hoofdstuk,29,"""Es Keie seker alse die doet,"
Onbekend,Onbekend Hoofdstuk,30,"""Al ware sijn spot noch alsoe groet""."
Onbekend,Onbekend Hoofdstuk,31,Dit horde Keie ende balch hem sere;
Onbekend,Onbekend Hoofdstuk,32,"Hadde hi gedorren van sinen here,"
Onbekend,Onbekend Hoofdstuk,33,[T]erde hi hadde den sot verslegen;
Onbekend,Onbekend Hoofdstuk,34,[Mae]r het moeste sijn verdregen
Onbekend,Onbekend Hoofdstuk,35,[Omm]edat hi den coninc ansach.
Onbekend,Onbekend Hoofdstuk,36,[D]ie coninc clagede al dien dach
Onbekend,Onbekend Hoofdstuk,37,[E]nde sprac wel verbolgelike:
Onbekend,Onbekend Hoofdstuk,38,"""Here Keie, sidi nu wel rike?"
Onbekend,Onbekend Hoofdstuk,39,"""Nu hebdi den knape verdreven;"
Onbekend,Onbekend Hoofdstuk,40,"""Moeste hi sijn te hove bleven,"
Onbekend,Onbekend Hoofdstuk,41,"""Dies hi van wapenen hadde geconnen,"
Onbekend,Onbekend Hoofdstuk,42,"""Hen es ridder onder der sonnen,"
Onbekend,Onbekend Hoofdstuk,43,"""Hi ne ware wel worden sijn genoet."
Onbekend,Onbekend Hoofdstuk,44,"""Nu es hi als .i. quekenhoet"
Onbekend,Onbekend Hoofdstuk,45,"""Ongeleert ende omberaden;"
Onbekend,Onbekend Hoofdstuk,46,"""Comt iemen diene wille scade"
Onbekend,Onbekend Hoofdstuk,47,"""Anegeven woude in sijn gemoet,"
Onbekend,Onbekend Hoofdstuk,48,"""Die knape sal hebben groten spoet"
Onbekend,Onbekend Hoofdstuk,49,"""Te verliesene wapene ende paert;"
Onbekend,Onbekend Hoofdstuk,50,"""Hi ne can noch niet trecken sijn suaert,"
Onbekend,Onbekend Hoofdstuk,51,"""Noch hi ne can hem doen ter were"
Onbekend,Onbekend Hoofdstuk,52,"""No met scilde no met spere;"
Onbekend,Onbekend Hoofdstuk,53,"""Daeromme sal hijs cume ontgaen,"
Onbekend,Onbekend Hoofdstuk,54,"""Hi ne sal sciere hebben voldaen"
Onbekend,Onbekend Hoofdstuk,55,"""Te verlornen spele sine gebode;"
Onbekend,Onbekend Hoofdstuk,56,"""Dat es mi herde leet, bi Gode!"""
Onbekend,Onbekend Hoofdstuk,57,Dus liet die coninc sine clage;
Onbekend,Onbekend Hoofdstuk,58,"Al hadde hi geclaget .vij. dage,"
Onbekend,Onbekend Hoofdstuk,59,Hen hadde hem gevromet niet.
Onbekend,Onbekend Hoofdstuk,60,"Die knape, diene clagen liet"
Onbekend,Onbekend Hoofdstuk,61,"Alsevele alse hem dochte goet,"
Onbekend,Onbekend Hoofdstuk,62,Hadde te ridene goeden spoet
Onbekend,Onbekend Hoofdstuk,63,D[or]e dat [w]ilde foreest allene;
Onbekend,Onbekend Hoofdstuk,64,"S[in]e sorge was herde clene,"
Onbekend,Onbekend Hoofdstuk,65,H[...] hi quame uten woude
Onbekend,Onbekend Hoofdstuk,66,H[...] alset wesen soude
Onbekend,Onbekend Hoofdstuk,67,"G[ecom]en ane .i. slecht lant,"
Onbekend,Onbekend Hoofdstuk,68,"D[aer] hi ene riviere vant,"
Onbekend,Onbekend Hoofdstuk,69,Die hem dochte suert ende diep
Onbekend,Onbekend Hoofdstuk,70,D[ie rivie]re so herde liep
Onbekend,Onbekend Hoofdstuk,71,Dat [cume (?)] .i. vogel vloech
Onbekend,Onbekend Hoofdstuk,72,[...]roke steel ende hoech
Onbekend,Onbekend Hoofdstuk,73,S[...] ane die ander side
Onbekend,Onbekend Hoofdstuk,74,D[...] over upgaen sach te stride
Onbekend,Onbekend Hoofdstuk,75,[........] hebben casteele
Onbekend,Onbekend Hoofdstuk,76,[........] ende die sartele
Onbekend,Onbekend Hoofdstuk,77,[........]de te lange driven
Onbekend,Onbekend Hoofdstuk,78,[........] den casteele bescriven
Onbekend,Onbekend Hoofdstuk,79,[.......la]nge samitte (?) tale
Onbekend,Onbekend Hoofdstuk,80,[...............]
Onbekend,Onbekend Hoofdstuk,81,Ende was rikelijc ende diere.
Onbekend,Onbekend Hoofdstuk,82,Die knape reet neven die riviere
Onbekend,Onbekend Hoofdstuk,83,"Alsoverre, dat hi vernam"
Onbekend,Onbekend Hoofdstuk,84,Dat hi tenen ombekere quam;
Onbekend,Onbekend Hoofdstuk,85,"Daer drayde hi upter luchter h[ant],"
Onbekend,Onbekend Hoofdstuk,86,"Ende quam daer hi ene brugge v[an]t,"
Onbekend,Onbekend Hoofdstuk,87,"Die over die riviere vulginc,"
Onbekend,Onbekend Hoofdstuk,88,"Aldaer een tor over ginc,"
Onbekend,Onbekend Hoofdstuk,89,Scone ende te maten ho.
Onbekend,Onbekend Hoofdstuk,90,Onder den tor was gemaket [so]
Onbekend,Onbekend Hoofdstuk,91,"Die steen, die slecht was als [g]la[s],"
Onbekend,Onbekend Hoofdstuk,92,Dat hi bi meesterien wel w[as]
Onbekend,Onbekend Hoofdstuk,93,"Bi nachte .i. porte, bi daghe .i. [vlon]der,"
Onbekend,Onbekend Hoofdstuk,94,Ende die riviere vloet daer[onder].
Onbekend,Onbekend Hoofdstuk,95,Dus keert die knape met snelre vaert
Onbekend,Onbekend Hoofdstuk,96,"Te gerre scoender bruggen waert,"
Onbekend,Onbekend Hoofdstuk,97,Ende sach daerover comen geg[aen]
Onbekend,Onbekend Hoofdstuk,98,"Enen man dorewel gedaen,"
Onbekend,Onbekend Hoofdstuk,99,Rikelijc gecleet van ermerie;
