author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Ende stont up met snellen kere
Onbekend,Onbekend Hoofdstuk,2,Als .i. vrome prence vri
Onbekend,Onbekend Hoofdstuk,3,Stille seide hi dicken ay mi
Onbekend,Onbekend Hoofdstuk,4,[D]atti consenteirde den camp
Onbekend,Onbekend Hoofdstuk,5,Nv moeti horen sonder wanc
Onbekend,Onbekend Hoofdstuk,6,Van geraerde den rudder vromen
Onbekend,Onbekend Hoofdstuk,7,Die harde wel heift vernomen
Onbekend,Onbekend Hoofdstuk,8,Dat solimant was ter wapinen goet
Onbekend,Onbekend Hoofdstuk,9,Dies hief hi metter spoet
Onbekend,Onbekend Hoofdstuk,10,Met vluchen arme dat swaert
Onbekend,Onbekend Hoofdstuk,11,Solimande slouch hi ter vaert
Onbekend,Onbekend Hoofdstuk,12,Recht up sinen hellem bouen
Onbekend,Onbekend Hoofdstuk,13,Datti van perssen es te clouen
Onbekend,Onbekend Hoofdstuk,14,Ende tswaert sanc den hellem dure
Onbekend,Onbekend Hoofdstuk,15,Die nuese corti hem ter hure
Onbekend,Onbekend Hoofdstuk,16,Oec was so ouer groot die slach
Onbekend,Onbekend Hoofdstuk,17,Dattie payien uptie erde lach
Onbekend,Onbekend Hoofdstuk,18,In onmacht ende al in dwelme
Onbekend,Onbekend Hoofdstuk,19,Geraerd roofden vanden helme
Onbekend,Onbekend Hoofdstuk,20,Ende makedem dat houet bl[oot]
Onbekend,Onbekend Hoofdstuk,21,Ic bidde v oec dat ghi laet
Onbekend,Onbekend Hoofdstuk,22,Desen strijt ende weist kerstijn
Onbekend,Onbekend Hoofdstuk,23,Onse maech so es seghin
Onbekend,Onbekend Hoofdstuk,24,Naer datti onser nichten heeft
Onbekend,Onbekend Hoofdstuk,25,Hies .i. die beste die leift
Onbekend,Onbekend Hoofdstuk,26,Als [da]t putagor horde
Onbekend,Onbekend Hoofdstuk,27,Verwoedde hi naer metten worde
Onbekend,Onbekend Hoofdstuk,28,Hi seide hoeren suene triuvant
Onbekend,Onbekend Hoofdstuk,29,Lachter geue v te[ruogant]
Onbekend,Onbekend Hoofdstuk,30,Hebdi onse wet [verlaten]
Onbekend,Onbekend Hoofdstuk,31,Het sal v herde lettel baten
Onbekend,Onbekend Hoofdstuk,32,Bi mamette die mi geboot
Onbekend,Onbekend Hoofdstuk,33,Ghi cuert uan mire hant [die doot]
Onbekend,Onbekend Hoofdstuk,34,Adde tlijf uerlo[re]n seghi[n]
Onbekend,Onbekend Hoofdstuk,35,Solimant seide broeder mij[n]
Onbekend,Onbekend Hoofdstuk,36,Het es v alte grote scande
Onbekend,Onbekend Hoofdstuk,37,Seghin die es ydelrehan[de]
Onbekend,Onbekend Hoofdstuk,38,Het es alte sere mesdaen
Onbekend,Onbekend Hoofdstuk,39,Dat ghine sonder were w[ilt slaen]
Onbekend,Onbekend Hoofdstuk,40,Putagor sprac du sech[s .....]
