author,chapter,line,text
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,1,"Die aventure doet ons cont,"
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,2,Dat in deser selver stont
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,3,"Een coninc was, ende hiet Briant,"
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,23130,Ende was coninc int rode eylant;
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,5,Ende hi voer jagen op enen tijt
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,6,"In enen wout, was herde wijt."
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,7,"Een ever doe vor hem daer leet,"
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,8,Daer hi sinen liden na ontreet
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,23135,"Soe verre in genen groten woude,"
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,10,"Dat hi quam, alst wesen soude,"
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,11,Daer hi vant sittende op enen boem
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,12,"Ene scone maget, dier hi nam goem,"
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,13,Want si was so overscone;
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,23140,"Ende op haer hoeft stont ene crone,"
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,15,Dat was een die beste hoetbant
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,16,Diemen in die werelt vant.
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,17,Doen Briade derre joncfrouwen
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,18,Soe overscone vant int scouwen
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,23145,Werd hi ontsteken van harre minne
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,20,"Ende sprac: ""Joncfrouwe, live vrindinne,"
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,21,"Woudi, ic hulpe u ave gerne."""
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,22,"""Here, mine staets u niet te werne"
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,23,Indien dat gijt wilt getemen
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,23150,"Dat gi mi te wive wilt nemen."""
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,25,"Briade seide: ""Jayc en trouwen."""
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,26,"Op dese sake quam neder die joncfrouwe,"
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,27,Die soe overscone was.
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,28,"Doe gingen si sitten in dat gras,"
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,23155,Ende die coninc vragede doe hare
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,30,Hoe si dus es comen dare?
Jacob van Maerlant,LVII.  Van den [coninc] ende vander [joncfrouwen] metten [cyrkel].,31,"Si seide: ""Here, al nu ter stat"
