author,chapter,line,text
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,1,Vanden coninc arture
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,2,Es bleven menighe avonture:
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,3,Die nemmer mee ne wert bescreven
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,4,Nu hebbic ene scone up heven
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,5,Consticse wel in twalsche vinden
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,6,Ic soudse jou in dietsche ontbinden
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,7,Soe es utermaten scone
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,8,Alle die ingle vanden trone
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,9,Moeten mi gheven herte ende sin
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,10,Ende zulke wijsheit daer in
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,11,Ende minen sin also ghestarken
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,12,Dat sire doghet in moeten marken
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,13,Alle diese zullen horen
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,14,God die dor ons was gheboren
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,15,Ende vanden stene maecte broot
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,16,Verlene mi die wijsheit so groot
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,17,Indesen bouc sonder meswende
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,18,Van beghinne toten ende
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,19,Dies biddic gode dor zine ghenaden
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,20,Dat hi mi vergheve die mesdaden
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,21,Die ic an dese redene doe
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,22,Bede spade ende vroe
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,23,Dies bat penninc diene maecte
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,24,Ende menighen nacht daer omme waecte
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,25,Eer hijt vant in zijn ghedochte
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,26,Dat hi den boec ten ende brochte
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,27,Daer hi tbeghin of heift gheseit
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,28,Nu bid hi u up hovescheit
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,29,Dat ghi zwighet altemale
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,30,Hi sal u vort die scone tale
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,31,Segghen al wert hem te zure
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,32,Vanden coninc arture
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,33,Die coninc artur sat tenen male
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,34,Te carlicen in zine sale
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,35,Ende hilt hof na coninc sede
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,36,Also hi menichwerven dede
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,37,Met een deel zire man
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,38,Die ic niet wel ghenomen can
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,39,Ywein ende perchevael
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,40,Lancheloot ende duvengael
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,41,Entie hoofsche walewein
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,42,Sijn gheselle was daer ne ghein
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,43,Ooc was daer keye die drussate
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,44,Daer die heren aldus saten
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,45,Naden etene ende hadden ghedweghen
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,46,Also hoghe liede pleghen
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,47,Hebben si wonder groot vernomen
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,48,Een scaec ten veinstren in comen
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,49,Ende breedde hem neder uptie aerde
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,50,Hi mochte gaen spelen dies beghaerde
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,51,Dus laghet daer uptie wile doe
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,52,Daer ne ghinc niemen of no toe
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,53,Van allen gonen hoghen lieden
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,54,Nu willic u tscaecspel bedieden
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,55,Die stapplen waren root goudijn
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,56,Entie spanghen zelverijn
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,57,Zelve waest van elps bene
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,58,Wel beset met dieren stene
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,59,Men seghet ons in corten worden
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,60,Die stene die ten scake behorden
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,61,Waren wel ghewaerlike
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,62,Beter dan al aerturs rike
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,63,Dus saghen zijt alle die daer waren
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,64,Metten hieft up ende es ghevaren
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,65,Weder dane het quam te voren
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,66,Dies adde die coninc artur toren
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,67,Ende sprac bi mire coninc crone
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,68,Dit scaecspel dochte mi so scone
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,69,Maerct ghi heren ende siet
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,70,Hen quam hier sonder redene niet
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,71,Die up wille sitten sonder sparen
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,72,Dit scaecspel halen ende achter varen
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,73,Ende leverent mi in mine hant
Penninc en Pieter Vostaert,Onbekend Hoofdstuk,74,Ic wille hem gheven al mijn lant
