author,chapter,line,text
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,1,"Ay boy, nu es mi wel becant"
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,2,"Ende daer toe benicx wel vroet,"
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,3,"Dat die meneghe met haesten doet,"
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,4,Dat hem namaels sere berout.
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,5,Ic ben hier selve en hebbe een jonc wijf getrout;
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,6,"Dies es omtrent drie maent leden dat icse nam,"
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,7,"Ende gister navont doen ic thuusweert quam,"
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,8,Was si van enen kinde genesen.
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,9,"Ende ic hebbe dicwile horen lesen,"
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,10,Dat ment neghen maent plecht te dragen;
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,11,"Nochtan segghen si alle diet saghen,"
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,12,"Dat hem en ghebrac dach noch ure,"
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,13,"Ende es voldraghen, een scoen creature,"
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,14,"Ende alle sijn ledekijn wel ghemaect,"
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,15,"Naghelken, teelken, ende al wel geraect."
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,16,Es dit binnen drie maenden al ghesciet?
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,17,"Alle die leven en seiden mi niet,"
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,18,Dat ic dat kijnt hebbe ghewonnen.
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,19,Si moets emmer hebben begonnen
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,20,Langhe te voren eer icse nam.
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,21,"Die duvel hebts deel, dat icker noit an quam!"
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,22,Maer haer moeder en liet mi niet met ghemake.
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,23,"Bi gode, si wijst wel vander dochter sake"
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,24,"Bat dan ic dede, dat wetic wel voerwaer."
Onbekend,HIER BEGHINT DIE SOTTERNIE. (RUBBEN).,25,"Wat, Rubben, en sidi daer?"
