author,chapter,line,text
Augustijnken,De schepping.,1,"O Heilige Gheest, Vader ende Sone,"
Augustijnken,De schepping.,2,"Die een God es in drien persone,"
Augustijnken,De schepping.,3,"Een ewech wesen, dat tuucht mijn sin,"
Augustijnken,De schepping.,4,"Voir al die werelt een beghin,"
Augustijnken,De schepping.,5,Doen dijn woert hier neder quam:
Augustijnken,De schepping.,6,Faciamus hominem ad ymaginem et similitudinem nostram.
Augustijnken,De schepping.,7,Sprac sijn woert wael minnelijc:
Augustijnken,De schepping.,8,"""Maken wi den minsche ons ghelijc."""
Augustijnken,De schepping.,9,"Doen hi Adame maken soude,"
Augustijnken,De schepping.,10,Dat was teken datti woude
Augustijnken,De schepping.,11,Maken in der menscheit
Augustijnken,De schepping.,12,Een beelde der drivoldicheit.
Augustijnken,De schepping.,13,Doen maecte hi Adame meer no min
Augustijnken,De schepping.,14,"Siele, lichame ende sin."
Augustijnken,De schepping.,15,"Die ziele was met sinen lichame,"
Augustijnken,De schepping.,16,Sijn lijf was met der zielen name.
Augustijnken,De schepping.,17,"Die sin en was gheen van beiden,"
Augustijnken,De schepping.,18,Elc was een ende onghesceiden;
Augustijnken,De schepping.,19,Want in dese drieheit
Augustijnken,De schepping.,20,En was maer een minscheit.
Augustijnken,De schepping.,21,"Haddic gheen ziele ic waer beest,"
Augustijnken,De schepping.,22,"Haddic gheen lijf ic ware gheest,"
Augustijnken,De schepping.,23,"Haddic gheen sin soe waer ic wonder,"
Augustijnken,De schepping.,24,Dus sijnre drie ende gheen besonder;
Augustijnken,De schepping.,25,Want waer een van drien ghebrake
Augustijnken,De schepping.,26,Waer twifel minscheliker sake;
Augustijnken,De schepping.,27,"Dus es ziele, sin ende lichame,"
Augustijnken,De schepping.,28,"Drie in eens minschen name,"
Augustijnken,De schepping.,29,"Als Heileghe Gheest, Vader en Sone,"
Augustijnken,De schepping.,30,Een God es in drie persone.
Augustijnken,De schepping.,31,Nu heeft God ghenomen lijf
Augustijnken,De schepping.,32,"Aen een maghet, die oec es wijf."
Augustijnken,De schepping.,33,Si es maghet in der reinicheit;
Augustijnken,De schepping.,34,Want nie en dacht si dorperheit.
Augustijnken,De schepping.,35,"Si es oec wijf als men vint,"
Augustijnken,De schepping.,36,"Want God sprac: ""Wijf, sich dijn kint."""
Augustijnken,De schepping.,37,"Si hadde oec weduwen name verworven,"
Augustijnken,De schepping.,38,Doen Joseph was haer man ghestorven;
Augustijnken,De schepping.,39,Dus es si weduwe na mannes doet.
Augustijnken,De schepping.,40,"Si was wijf gaende met vruchten groet,"
Augustijnken,De schepping.,41,"Si es maghet, want sy nie ghedede,"
Augustijnken,De schepping.,42,Noch en gedachte dorperhede.
Augustijnken,De schepping.,43,"O wedue, maghet ende wijf,"
Augustijnken,De schepping.,44,Drie namen in eens wijfs lijf.
Augustijnken,De schepping.,45,"O Heileghen Gheest, Vader ende Sone,"
Augustijnken,De schepping.,46,"Die een God es in drien persone,"
Augustijnken,De schepping.,47,"Hulpe ons ziele, sin ende lichame"
Augustijnken,De schepping.,48,Te regneren in dijnre name.
