author,chapter,line,text
Loy Latewaert,Onbekend Hoofdstuk,1,[.]Aria maghet soete
Loy Latewaert,Onbekend Hoofdstuk,2,Medeciin ende gherechte boete
Loy Latewaert,Onbekend Hoofdstuk,3,Si di vrouwe in alre tiit
Loy Latewaert,Onbekend Hoofdstuk,4,Bouen inden enghelen troen
Loy Latewaert,Onbekend Hoofdstuk,5,Apostelen ende confessoren
Loy Latewaert,Onbekend Hoofdstuk,6,Martelaren ende magheden pure
Loy Latewaert,Onbekend Hoofdstuk,7,Ende daer toe alle creature
Loy Latewaert,Onbekend Hoofdstuk,8,Moeten v dienen als recht
Loy Latewaert,Onbekend Hoofdstuk,9,Hier beneden v dienst knecht
Loy Latewaert,Onbekend Hoofdstuk,10,Wil ick siin al miin leuen
Loy Latewaert,Onbekend Hoofdstuk,11,Vrouwe ghi moet mi gracie gheuen
Loy Latewaert,Onbekend Hoofdstuk,12,Ende uwen soen die ghi droecht
Loy Latewaert,Onbekend Hoofdstuk,13,Bidt hem vrouwe dat hi v voecht
Loy Latewaert,Onbekend Hoofdstuk,14,Minen sin ende ghesterke
Loy Latewaert,Onbekend Hoofdstuk,15,Ten beghin van desen werke
Loy Latewaert,Onbekend Hoofdstuk,16,Toten einde van minen liue
Loy Latewaert,Onbekend Hoofdstuk,17,Dat ic moet behouden bliuen
Loy Latewaert,Onbekend Hoofdstuk,18,Ende dat ick te dichten begheer
Loy Latewaert,Onbekend Hoofdstuk,19,Dies moet bliuen in miin eer
Loy Latewaert,Onbekend Hoofdstuk,20,Sonder scande ende lachter
Loy Latewaert,Onbekend Hoofdstuk,21,Van hem diet sullen lesen hier achter
Loy Latewaert,Onbekend Hoofdstuk,22,Ende hoeren sullen siint leec of clerc
Loy Latewaert,Onbekend Hoofdstuk,23,Dat wart een sonderlike werc
Loy Latewaert,Onbekend Hoofdstuk,24,Ende een auentuer waer
Loy Latewaert,Onbekend Hoofdstuk,25,Dit gheuiel menich jaer
Loy Latewaert,Onbekend Hoofdstuk,26,Om dat god die doot ontfinc
Loy Latewaert,Onbekend Hoofdstuk,27,Ende doer ons aen tcruce hinc
Loy Latewaert,Onbekend Hoofdstuk,28,Wonder heeft mi dat si vergaten
Loy Latewaert,Onbekend Hoofdstuk,29,Die wile dichtens vermaten
Loy Latewaert,Onbekend Hoofdstuk,30,Van boerde ende menighe feesten
Loy Latewaert,Onbekend Hoofdstuk,31,Ende si lieten metter keesten
Loy Latewaert,Onbekend Hoofdstuk,32,Dese hystorie achter
Loy Latewaert,Onbekend Hoofdstuk,33,Men machse lesen sonder lachter
Loy Latewaert,Onbekend Hoofdstuk,34,Voer elken die aen gode gheloeft
Loy Latewaert,Onbekend Hoofdstuk,35,Ende al waer een mensche verdoeft
Loy Latewaert,Onbekend Hoofdstuk,36,Van reden dom ende blint
Loy Latewaert,Onbekend Hoofdstuk,37,Hi warde saen bekint
Loy Latewaert,Onbekend Hoofdstuk,38,In dien dat reden verstoede
Loy Latewaert,Onbekend Hoofdstuk,39,God die ons coft met sinen bloede
Loy Latewaert,Onbekend Hoofdstuk,40,Die moet mi in hulpe staen
Loy Latewaert,Onbekend Hoofdstuk,41,Ic wil ter materien gaen
Loy Latewaert,Onbekend Hoofdstuk,42,Daer ic af wil maken
Loy Latewaert,Onbekend Hoofdstuk,43,Auentuerlike saken
Loy Latewaert,Onbekend Hoofdstuk,44,Siin te hoeren met wonder van desen
Loy Latewaert,Onbekend Hoofdstuk,45,Want men in die kerke mach lesen
Loy Latewaert,Onbekend Hoofdstuk,46,Hoe dat soete cruys was vonden
Loy Latewaert,Onbekend Hoofdstuk,47,Daer god aen sterf doer onse sonden
Loy Latewaert,Onbekend Hoofdstuk,48,Men seyt dat heleyna vant
Loy Latewaert,Onbekend Hoofdstuk,49,Het was waer mer een vigant
Loy Latewaert,Onbekend Hoofdstuk,50,Wasser mede een deghen fine
Loy Latewaert,Onbekend Hoofdstuk,51,Van iherusalem segheliin
Loy Latewaert,Onbekend Hoofdstuk,52,Daer ic v af segghen sal
Loy Latewaert,Onbekend Hoofdstuk,53,God die here es bouen al
Loy Latewaert,Onbekend Hoofdstuk,54,Hi laet mi segghen ende v hoeren
Loy Latewaert,Onbekend Hoofdstuk,55,Dat wij die enghel met .ix. choren
Loy Latewaert,Onbekend Hoofdstuk,56,Moeten scouwen tonser vromen
Loy Latewaert,Onbekend Hoofdstuk,57,Ick beghin in marien nomen
Loy Latewaert,Onbekend Hoofdstuk,58,[.]et was een coninc ende hiet prides
Loy Latewaert,Onbekend Hoofdstuk,59,Van iherusalem des siit ghewes
Loy Latewaert,Onbekend Hoofdstuk,60,Die teghen tgheloue gods was stuer
Loy Latewaert,Onbekend Hoofdstuk,61,Hi had een wiif ende hiet braffeluer
Loy Latewaert,Onbekend Hoofdstuk,62,Die scoen was ende goet
Loy Latewaert,Onbekend Hoofdstuk,63,Herte sin ende moet
Loy Latewaert,Onbekend Hoofdstuk,64,Was aen gode ic seker ben
Loy Latewaert,Onbekend Hoofdstuk,65,Die daer te was iherusalem
Loy Latewaert,Onbekend Hoofdstuk,66,Vyt ghegheuen als een dief
Loy Latewaert,Onbekend Hoofdstuk,67,Ende ghedoet al doer den grief
Loy Latewaert,Onbekend Hoofdstuk,68,Van onsen sonden al ghemeen
Loy Latewaert,Onbekend Hoofdstuk,69,Braffeluer die vrouwe reen
Loy Latewaert,Onbekend Hoofdstuk,70,Minde ihesum den profeet
Loy Latewaert,Onbekend Hoofdstuk,71,Ende hadde gode des beheet
Loy Latewaert,Onbekend Hoofdstuk,72,Mocht si crighen een kiint
Loy Latewaert,Onbekend Hoofdstuk,73,Si soude die wet alsmen viint
Loy Latewaert,Onbekend Hoofdstuk,74,Van kerstenheit ane gaen
Loy Latewaert,Onbekend Hoofdstuk,75,Mer nv en dorst siis niet bestaen
Loy Latewaert,Onbekend Hoofdstuk,76,Om dat si sonder hulpe was
