author,chapter,line,text
Onbekend,Dat prohemium,1,Bid allegader jonc ende out
Onbekend,Dat prohemium,2,Dat hi die sinen doet ant hout
Onbekend,Dat prohemium,3,Des cruces doer onsen wille woud liden
Onbekend,Dat prohemium,4,"Ons verlicht indesen tiden,"
Onbekend,Dat prohemium,5,Hert ende sin hier toe verleen.
Onbekend,Dat prohemium,6,Want al wer des menschen hert en steen
Onbekend,Dat prohemium,7,Woude hi gheven sin ende oren
Onbekend,Dat prohemium,8,Dese hystorie te horen
Onbekend,Dat prohemium,9,Hi soude duchten ende beven
Onbekend,Dat prohemium,10,"Tot int eynde van sinen le[v]en,"
Onbekend,Dat prohemium,11,Soe wer dat hi hoerde nomen
Onbekend,Dat prohemium,12,Distorie die hier na comen.
Onbekend,Dat prohemium,13,Ic heb menich dinc ghehoert
Onbekend,Dat prohemium,14,Vruchtelic ende seer swer woert
Onbekend,Dat prohemium,15,Mar noit en quam mi dicht soe na
Onbekend,Dat prohemium,16,"Als dese hystorie die ic besta,"
Onbekend,Dat prohemium,17,Noch die mi soe seer verswerde
Onbekend,Dat prohemium,18,Als ic u van woerde te woerde
Onbekend,Dat prohemium,19,Segghen als die hystorie leghet
Onbekend,Dat prohemium,20,Ende als ons die meyster seghet.
Onbekend,Dat prohemium,21,Want ons sente gregorius toghet
Onbekend,Dat prohemium,22,Vele wat die ziele doghet
Onbekend,Dat prohemium,23,Die van desen lichaem es versceyden.
Onbekend,Dat prohemium,24,Om quade quaetheit te verleyden
Onbekend,Dat prohemium,25,Den ghenen in doechden te sterken
Onbekend,Dat prohemium,26,Met exempele van goeden werken
Onbekend,Dat prohemium,27,Beghin ic te boudeliker voert.
Onbekend,Dat prohemium,28,Want hi seghet in sine woert
Onbekend,Dat prohemium,29,Dat in die teghen wordicheit
Onbekend,Dat prohemium,30,"Als die ziele uten lichaem sceyt,"
Onbekend,Dat prohemium,31,Enghele siin quade of goede
Onbekend,Dat prohemium,32,Die die ziele hebben in hoede
Onbekend,Dat prohemium,33,Ende na hoer verdiente leiden
Onbekend,Dat prohemium,34,Ter bliscap of ter drovicheiden.
Onbekend,Dat prohemium,35,Si segghen van menschen die noch leven
Onbekend,Dat prohemium,36,Van den dinghen hebben voert gheven
Onbekend,Dat prohemium,37,Diemen noch noit ghescien vernam.
Onbekend,Dat prohemium,38,"Ic laet die reden waent hem quam,"
Onbekend,Dat prohemium,39,Want die meester seghet dat
Onbekend,Dat prohemium,40,Soe gheloves des dinghes te bat.
Onbekend,Dat prohemium,41,Hi seghet van gheesten die van hier
Onbekend,Dat prohemium,42,Ghevaren waren ende quamen scier
Onbekend,Dat prohemium,43,Ten lichaem weder ende orconden
Onbekend,Dat prohemium,44,Van sulker dinc die si der vonden
Onbekend,Dat prohemium,45,Of van bliscapen of van rouwen.
Onbekend,Dat prohemium,46,Het was oec dinc diemen mocht scouwen
Onbekend,Dat prohemium,47,Alsmen in der werelt vint
Onbekend,Dat prohemium,48,Datmen haet of datmen mint
Onbekend,Dat prohemium,49,Materie diemen mach hanteren
Onbekend,Dat prohemium,50,Of hoer ghelijc in allen maniren:
Onbekend,Dat prohemium,51,Husen poerten water vier
Onbekend,Dat prohemium,52,Menschen beesten menighertier
Onbekend,Dat prohemium,53,Vlammen scepen brugghen straten
Onbekend,Dat prohemium,54,Alsmen noemt ter werelt baten
Onbekend,Dat prohemium,55,Ende elc mensche voer oghen siet
Onbekend,Dat prohemium,56,Diemen volghet of diemen vliet;
Onbekend,Dat prohemium,57,Ende van den lichame varen
Onbekend,Dat prohemium,58,Dat mense op wert met den haren
Onbekend,Dat prohemium,59,Hinc ende dede onghevoech
Onbekend,Dat prohemium,60,Met voten stac met handen sloech
Onbekend,Dat prohemium,61,Daer toe van menigherhande torment
Onbekend,Dat prohemium,62,Der si in waren ghesent.
Onbekend,Dat prohemium,63,Desen man salmen gheloven
Onbekend,Dat prohemium,64,Men wil hem siins rechts beroven.
Onbekend,Dat prohemium,65,Men hevet vonden dicke dat lieden
Onbekend,Dat prohemium,66,Vraechden als menschen verscieden
Onbekend,Dat prohemium,67,Wer si voren of wat si vonden
Onbekend,Dat prohemium,68,Of wat si daden of begonden;
Onbekend,Dat prohemium,69,Want wijt en weten noit noch saghen
Onbekend,Dat prohemium,70,Soe moeten wi duchten bet dan vraghen.
Onbekend,Dat prohemium,71,Wie der sekerlijc bestaen
Onbekend,Dat prohemium,72,Wech die hi noit en hevet ghegaen?
Onbekend,Dat prohemium,73,Mar seker sijt dat goet leven
Onbekend,Dat prohemium,74,Quaden eynde niet mach gheven.
Onbekend,Dat prohemium,75,Al draghet verdiente hier crone
Onbekend,Dat prohemium,76,Na die doet comet lone
Onbekend,Dat prohemium,77,Ende die pine die der na coemt
Onbekend,Dat prohemium,78,Dat es tfaghevier alsmen noemt.
Onbekend,Dat prohemium,79,Alder elc mensche die hier boven
Onbekend,Dat prohemium,80,Comen sal met enighen loven
Onbekend,Dat prohemium,81,Hine moet werden ghepurgeert
Onbekend,Dat prohemium,82,Na dien dat sine verdiente begheert
Onbekend,Dat prohemium,83,Ja. mensche gode ende vercoren
Onbekend,Dat prohemium,84,Moeten inder pine behoeren.
Onbekend,Dat prohemium,85,Want die pine materelijc es
Onbekend,Dat prohemium,86,Soe behoert des sijt ghewes
Onbekend,Dat prohemium,87,Die stat materelic te wesen
Onbekend,Dat prohemium,88,Der men eyndet die pine van desent.
Onbekend,Dat prohemium,89,Nu es die swerste pine hier onder
Onbekend,Dat prohemium,90,Datte segghen es wonder
Onbekend,Dat prohemium,91,Dattet algader dat nederste es.
Onbekend,Dat prohemium,92,Die meeste vroude des sijt ghewes
Onbekend,Dat prohemium,93,Es dat hoechste datmen hevet
Onbekend,Dat prohemium,94,Ende elc hevet staet alsmen hem gevet.
Onbekend,Dat prohemium,95,In midden staen quade ende goden
Onbekend,Dat prohemium,96,Als wi in deser dinc bevroeden.
Onbekend,Dat prohemium,97,Die meesters proven provelijc
Onbekend,Dat prohemium,98,Dattie helle onder erdrijc
Onbekend,Dat prohemium,99,Staet ende nu hoert dat es wer
Onbekend,Dat prohemium,100,Als en kerker donker ende swer.
Onbekend,Dat prohemium,101,Ende dat paradijs dat leecht
Onbekend,Dat prohemium,102,Recht int oesten alsmen seecht.
Onbekend,Dat prohemium,103,Het es erdrijc dat verstaet
Onbekend,Dat prohemium,104,Der men die zielen in ontfaet
