author,chapter,line,text
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,1,In gods namen ende in sijnen vreden
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,2,Soe beghennen wij deser reden
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,3,Ende spreken inden beghinne aldus:
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,4,Sancti spiritus
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,5,Assit nobis gracia
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,6,"Ende bidden gode daer na,"
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,7,"Den troester ende den volleyst,"
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,8,Dat vanden heilighen gheyst
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,9,"Die ghenade mit ons sy,"
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,10,Que corda nostra sibi
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,11,"Facit habitacula,"
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,12,Ende ons te noden by sta;
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,13,Want des bedoruen wij alre meyst
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,14,Dat ons der heilighe gheyst
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,15,Onsen sen berichte
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,16,Ende sijne woninghe [stichte]
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,17,In onse herte bynnen
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,18,Soe dat wij moghen mynne
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,19,Gods leer ende sijne woert
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,20,Die ons nutte sijn ghehoert
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,21,Off wijze mercken wolden.
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,22,Jhesus sprack tot sijnen holden
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,23,"Die alle herten kent,"
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,24,"Hij seide: ""die mich mynt"
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,25,"Die sal mijne woert behalden""."
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,26,Sijne genade moets walden
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,27,Ende moet ons ghesterken
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,28,Tot allen goeden werken
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,29,Beide dach ende nacht
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,30,"En[de] verlene ons sulke macht,"
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,31,"Die te sijnen dienste ghetemen,"
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,32,Dat wijr sij gherne vernemen
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,33,Ende dat ons duncke soete
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,34,Ende het ons ghelieuen moete.
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,35,Gods woert souden wij mercken
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,36,Ende volgen mitten werken.
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,37,"Dat sijn die salighe die dat doen,"
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,38,Alsoe ons leert die gods soen
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,39,"Ende sprack tot sijnen jongheren,"
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,40,"Tot sijnen lieuen apostelen,"
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,41,Doen sij inden bongart quamen;
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,42,Hi beual hon alle te samen:
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,43,"""Ghij sult waken ende beden"
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,44,"Op dat ghij in gheyne becoringe en treden."""
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,45,Dus warne ich uch in alre tijt
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,46,Dat ghij mit ernste wakende sijt;
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,47,Als hij urs gherueke
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,48,Ende hij ons heym soeke
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,49,"Off syne boden sende,"
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,50,Dat hij ons ghereyt vende.
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,51,Dit heuet grote bedude
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,52,Onder ons sondighe lude
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,53,"Wat god daer mit meent,"
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,54,Die ons sijne ghenade toe sent.
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,55,Hi heuet ons allen beuolen
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,56,Dat wij vlijtelike waken soelen
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,57,Als hij sijnen iongheren hiet.
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,58,Dat waken en verstaet nyet
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,59,Dat wij nae den vleysche waken
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,60,Ende ons seluen scade maken
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,61,Ende onse sonden meeren.
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,62,"Conden wij ons daer af keeren,"
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,63,"Onse herte ende onsen moet,"
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,64,Dat weer ons aender zielen goet.
Hendrik van Veldeke,Dat prologus van Sint Servoes legenden,65,Die recht moghen waken
