author,chapter,line,text
Jacob van Maerlant,[Proloog],1,"DEse werelt trect ten ende,"
Jacob van Maerlant,[Proloog],2,"Als mi dinct, met groter scende,"
Jacob van Maerlant,[Proloog],3,"Na dat ons die apostel seget,"
Jacob van Maerlant,[Proloog],4,Daer dit dus in gescreven leget:
Jacob van Maerlant,[Proloog],5,Inden laetsten tiden sullen
Jacob van Maerlant,[Proloog],6,"Die lieden also verdullen,"
Jacob van Maerlant,[Proloog],7,Datsi zullen hem zelven minnen
Jacob van Maerlant,[Proloog],8,"Ende el niet souken danne winnen,"
Jacob van Maerlant,[Proloog],9,Ende hem vander waerheit keren
Jacob van Maerlant,[Proloog],10,Ende boerden ende favelen leren.
Jacob van Maerlant,[Proloog],11,Nu merct alle ende verstaet
Jacob van Maerlant,[Proloog],12,Of dus in de werelt niet gaet;
Jacob van Maerlant,[Proloog],13,"Twee dinghen minnen wi alre meest,"
Jacob van Maerlant,[Proloog],14,"Entat leert ons die quade geest,"
Jacob van Maerlant,[Proloog],15,"Dats ons vleesch ende ons goet,"
Jacob van Maerlant,[Proloog],16,"Wel gecleet ende wel ghescoet,"
Jacob van Maerlant,[Proloog],17,"Wel eten, drinken, zochte slapen,"
Jacob van Maerlant,[Proloog],18,Dit minnen leke metten papen.
Jacob van Maerlant,[Proloog],19,Dus minnen wi ons selven dan.
Jacob van Maerlant,[Proloog],20,"Wie es hi nu, wijf of man,"
Jacob van Maerlant,[Proloog],21,Hine aventuert nu metter spoet
Jacob van Maerlant,[Proloog],22,Sine edele ziele om taerdsche goet.
Jacob van Maerlant,[Proloog],23,"Ja ghierichede wast so zere,"
Jacob van Maerlant,[Proloog],24,Dat winnen gaet vor alle ere;
Jacob van Maerlant,[Proloog],25,Want arem man heet emmer sod.
Jacob van Maerlant,[Proloog],26,"Des ontfaermedi, here God!"
Jacob van Maerlant,[Proloog],27,Dat wi om desen vulen zac
Jacob van Maerlant,[Proloog],28,Ende om dit corte ghemac
Jacob van Maerlant,[Proloog],29,"Onser edeler ziele vergheten,"
Jacob van Maerlant,[Proloog],30,Daer dine zide omme was gespleten.
Jacob van Maerlant,[Proloog],31,"Cume es hi van nu bekent,"
Jacob van Maerlant,[Proloog],32,Die nu leeft ende waerheit mint;
Jacob van Maerlant,[Proloog],33,"Maer Tristram ende Lanceloot,"
Jacob van Maerlant,[Proloog],34,"Perchevael ende Galehoot,"
Jacob van Maerlant,[Proloog],35,"Ghevensde namen ende ongeboren,"
Jacob van Maerlant,[Proloog],36,Hier of willen de lieden horen;
Jacob van Maerlant,[Proloog],37,Truffe van minnen ende van stride
Jacob van Maerlant,[Proloog],38,Leestmen dor de werelt wide;
Jacob van Maerlant,[Proloog],39,"Die ewangelie es ons te zwaer,"
Jacob van Maerlant,[Proloog],40,Om dat soe recht seit ende waer.
Jacob van Maerlant,[Proloog],41,Merct een tekin hare clare:
Jacob van Maerlant,[Proloog],42,"Wie so gherne horen tware,"
Jacob van Maerlant,[Proloog],43,"Hen mach lichte niet gescien,"
Jacob van Maerlant,[Proloog],44,Men salre noch duegt an zien.
Jacob van Maerlant,[Proloog],45,"Des radic minen vrienden dan,"
Jacob van Maerlant,[Proloog],46,Dat si de waerheit vangen an
Jacob van Maerlant,[Proloog],47,"Ende laten de boerden varen,"
Jacob van Maerlant,[Proloog],48,"Want de tijt es nu te waren,"
Jacob van Maerlant,[Proloog],49,Daer die apostel of vorsprac.
Jacob van Maerlant,[Proloog],50,Tfolc mint favele ende gemac
Jacob van Maerlant,[Proloog],51,Ende om gelt eist datmen waect;
Jacob van Maerlant,[Proloog],52,Dus es domesdach genaect.
Jacob van Maerlant,Maria minen zin verlichte / Nu ic van Fransoyse dichte.,55,"GOd, die niet ne wille verliesen,"
Jacob van Maerlant,Maria minen zin verlichte / Nu ic van Fransoyse dichte.,54,"Die ons sach ende siet dus riesen,"
Jacob van Maerlant,Maria minen zin verlichte / Nu ic van Fransoyse dichte.,55,Die sendde ons tesen letsten tiden
Jacob van Maerlant,Maria minen zin verlichte / Nu ic van Fransoyse dichte.,56,"Sinen vrient met roden ziden,"
Jacob van Maerlant,Maria minen zin verlichte / Nu ic van Fransoyse dichte.,57,"Die sine wonden brochte voort,"
Jacob van Maerlant,Maria minen zin verlichte / Nu ic van Fransoyse dichte.,60,"Om dat hi tvolc, dat leigt versmoort"
Jacob van Maerlant,Maria minen zin verlichte / Nu ic van Fransoyse dichte.,59,"In svleeschs weilde, in ertscen goede,"
Jacob van Maerlant,Maria minen zin verlichte / Nu ic van Fransoyse dichte.,60,"In favelen, in overmoede,"
Jacob van Maerlant,Maria minen zin verlichte / Nu ic van Fransoyse dichte.,61,Uten sonden wecken soude;
Jacob van Maerlant,Maria minen zin verlichte / Nu ic van Fransoyse dichte.,62,"Ende ooc mede, dat hi woude"
Jacob van Maerlant,Maria minen zin verlichte / Nu ic van Fransoyse dichte.,65,"Datmens geloofde openbare,"
Jacob van Maerlant,Maria minen zin verlichte / Nu ic van Fransoyse dichte.,64,"Da hi vray messagier ware,"
Jacob van Maerlant,Maria minen zin verlichte / Nu ic van Fransoyse dichte.,65,"Gaf hi hem zinen seghel te dragene,"
