author,chapter,line,text
Onbekend,[],1,...
Onbekend,[],2,"""Uwen wil sal al gheschien;"
Onbekend,[],3,"Mer en wildi des werden niet,"
Onbekend,[],4,Om alle die pijn ende verdriet
Onbekend,[],5,"Daer men my mede doden mach,"
Onbekend,[],5,Des en acht ic niet een caf;
Onbekend,[],7,Ic sal bliven by minen gode
Onbekend,[],8,"In allen pijnen ende node."""
Onbekend,[],9,"Si sprack: ""ionghelinc, soete myn,"
Onbekend,[],10,En twivelt niet in uwen syn;
Onbekend,[],10,"So wat ghi wilt, dat sal wesen,"
Onbekend,[],12,"Hout u vastelijc aen desen."""
Onbekend,[],13,"Si brocht den jonghelinc uter eerden,"
Onbekend,[],14,"Uter vanghenis, mit groter weerden;"
Onbekend,[],15,Si namen mit hem den dueren scat
Onbekend,[],15,"Ende reisden enen vreemden pat,"
Onbekend,[],17,Ende sijn over to lande comen
Onbekend,[],18,Seer tot haerre beyder vromen.
Onbekend,[],19,Doe de coninc heeft vernomen
Onbekend,[],20,Dat sijn soen is weder comen
Onbekend,[],20,"Daer hi af heeft bescreyt den doot,"
Onbekend,[],22,"Reet hi hem teghen met vrouden groet,"
Onbekend,[],23,Ende hiet si beyde willecomen sijn
Onbekend,[],24,Den soen ende die joncfrou fijn
Onbekend,[],25,Hi heeftse ontfanghen in sinen hove
Onbekend,[],25,Mit vroude ende mit groter love.
Onbekend,[],27,"Die soen ondecte daer den vader,"
Onbekend,[],28,"Hoet stont tusschen hem beyde gader,"
Onbekend,[],29,Ende wat hi haer had gheloeft
Onbekend,[],30,"Ende si hem weder, die weerde doecht."
Onbekend,[],30,"Doe die vader dit hoerde,"
Onbekend,[],32,Was hy blijde van dien woerde;
Onbekend,[],33,Hy leyt die dope bereyden
Onbekend,[],34,Ende mit groter vrouden te kerken leyden.
Onbekend,[],35,Si waert ghedoept in goods eer
Onbekend,[],35,Ende dienden hem hoe lanc soe meer.
Onbekend,[],37,"Si heeft hoer gode al so ghegheven,"
Onbekend,[],38,"Dat sij in der kerken is verheven,"
Onbekend,[],39,Ende vernoemt voor een santinne
Onbekend,[],40,Om des edelen gods mynne.
Onbekend,[],40,In deser stat woende een iode;
Onbekend,[],42,Ic soude swighen herde node
Onbekend,[],43,Sijn seer grote meysterij;
Onbekend,[],44,Inden planeten so was hi
Onbekend,[],45,"Een groot meyster ghenamt,"
Onbekend,[],45,Die beeste een die men vant.
Onbekend,[],47,Op een tijt reet dese ionghelinc
Onbekend,[],48,Dese hertoghe in waerre dinc
Onbekend,[],49,Te peerde voer des ioden doer;
Onbekend,[],50,"Hi sprac: ""Wif, nu hoer, nu hoer!"
Onbekend,[],50,Siestu desen ionghelinc
Onbekend,[],52,Aldus riden? ic seg een dinc:
Onbekend,[],53,"Een dochter sal van hem comen,"
Onbekend,[],54,Tot menichs bedructen menschen vromen.
Onbekend,[],55,Si sal inder kersten kerc
Onbekend,[],55,Driven menich crachtich werck;
Onbekend,[],57,Ghelijc dat die hemel is
Onbekend,[],58,"Ghesiert mit sterren, des sijt ghewis,"
Onbekend,[],59,Sal si ghesiert sijn in der kerken
Onbekend,[],60,"Mit salighen doechdeliken werken."""
Onbekend,[],60,Die iodinne verstoen wael
Onbekend,[],62,"Des ioden, hoers mans, tael;"
Onbekend,[],63,Si was scoen ende behaghen
Onbekend,[],64,Si begonde myn te draghen
Onbekend,[],65,Op desen ionghelinc;
Onbekend,[],65,Si dacht: mocht haer dit dinc
Onbekend,[],67,"Ghevallen, dat si mocht werden moeder"
Onbekend,[],68,"Wan desen kinde, dat soude behoeder"
Onbekend,[],69,Sijn van so menighen doechden
Onbekend,[],70,Des soude sij haer ewilijc vroechden.
Onbekend,[],70,"Si aensan desen ionghelinc myn,"
Onbekend,[],72,Ende sprac: sij had haren syn
Onbekend,[],73,Mit mynnen op hem ghevoecht
Onbekend,[],74,Om sijnre wonderliker doecht.
Onbekend,[],75,"Oec boot si hem dueren scat,"
Onbekend,[],75,Mocht si sinre mynnen hebben te bat.
Onbekend,[],77,Hi versmadese ende seyde:
Onbekend,[],78,"""Dat ic mynne op u leyde,"
Onbekend,[],79,Ende ic worde mit sonden ghevonden
Onbekend,[],80,"Mit u, toten selven stonden"
Onbekend,[],80,Soudet u ende my costen dat leven;
Onbekend,[],82,Hier om so wil ic dit begheven;
Onbekend,[],83,Oec so weer ic onghetrou
Onbekend,[],84,Minre edelre weerder vrou.
Onbekend,[],85,"Mer ic wil weten, bi wat reden"
Onbekend,[],85,"Ghi tot my dus coemt ghetreden,"
Onbekend,[],87,Ende my u selve aldus biet;
Onbekend,[],88,"Ten is sonder saken niet."""
Onbekend,[],89,"Si antwoerde, als ic te voren"
Onbekend,[],90,U vanden ioden heb doen horen:
Onbekend,[],90,"Als van des edelen kints vromen,"
Onbekend,[],92,Dat van sinen live souden comen.
Onbekend,[],93,"Hi liet die iodinne staen,"
Onbekend,[],94,Ende is tot sinen hove gegaen.
Onbekend,[],95,Sijn vrou is in corten stonden
Onbekend,[],95,Drachtich van hem ghevonden
Onbekend,[],97,"Mit kinde, des hem verbliden"
Onbekend,[],98,Al dat volc tot allen syden.
Onbekend,[],99,¶ Doe om comen was die tijt
Onbekend,[],100,Ende die moeder was verblijt
Onbekend,[],100,"Ende van der drachten ontbonden,"
Onbekend,[],102,Tot dien selven stonden
Onbekend,[],103,"Lieten sijt kunera noemen,"
Onbekend,[],104,Doe ter vonten was ghecomen.
Onbekend,[],105,Die hertoghe hads groten vrede
Onbekend,[],105,"Ende die hertoghinne mede,"
Onbekend,[],107,"Dat dat kint een dochter was,"
Onbekend,[],108,"Dat god verleenden op dat pass,"
Onbekend,[],109,Ende dattet die iode had cont ghemaect
Onbekend,[],110,Uten den planeten die selve saet.
Onbekend,[],110,"Dus is kunera gheprofeteert te woren,"
Onbekend,[],112,"Eer si ontfanghen wert oft gheboren,"
Onbekend,[],113,Als ghi nu hebt ghehoert
Onbekend,[],114,In myn voersproken woert.
Onbekend,[],115,Dit kint wies ende was bequaem
Onbekend,[],115,"In allen werken ende lichaem,"
Onbekend,[],117,Ende mynnede onsen lieven heer
Onbekend,[],118,"Ten eynde toe, hoe lanc soe meer."
Onbekend,[],119,Aldus heb di dat eynd ghehoert
Onbekend,[],120,Vander edelren kuneren gheboert.
Onbekend,[],121,
Onbekend,Die passi sunte kuneren.,122,
Onbekend,Die passi sunte kuneren.,120,DOe men screef driehondert iaer
Onbekend,Die passi sunte kuneren.,124,"Ende xxxvii, weet voer waer,"
Onbekend,Die passi sunte kuneren.,125,Doe wast dat ursula haer scaren
Onbekend,Die passi sunte kuneren.,126,"Vergaderde, to romen te varen."
Onbekend,Die passi sunte kuneren.,127,Uut britanien heeft si ghesant
Onbekend,Die passi sunte kuneren.,125,Hoer boden in orcanen lant.
Onbekend,Die passi sunte kuneren.,129,Si dede bidden kuneren vader
