author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,...ve van Vaerwiic
Onbekend,Onbekend Hoofdstuk,2,...rtvolc die grave rijc
Onbekend,Onbekend Hoofdstuk,3,...de d'de onder hem tween
Onbekend,Onbekend Hoofdstuk,4,...e man al in een
Onbekend,Onbekend Hoofdstuk,5,... de om victorie seere
Onbekend,Onbekend Hoofdstuk,6,...ataelge een groot heere
Onbekend,Onbekend Hoofdstuk,7,... die bisscop rike
Onbekend,Onbekend Hoofdstuk,8,... Harendeel des ghelike
Onbekend,Onbekend Hoofdstuk,9,...a hadsi onder bem
Onbekend,Onbekend Hoofdstuk,10,...te ic seker bem
Onbekend,Onbekend Hoofdstuk,11,...ictorie gheven soude
Onbekend,Onbekend Hoofdstuk,12,...ve die coninc woude
Onbekend,Onbekend Hoofdstuk,13,...nafste scare
Onbekend,Onbekend Hoofdstuk,14,... orbare
Onbekend,Onbekend Hoofdstuk,15,... onder hem
Onbekend,Onbekend Hoofdstuk,16,... ic seker bem
Onbekend,Onbekend Hoofdstuk,17,... victorie gheven soude
Onbekend,Onbekend Hoofdstuk,18,...od ... ic seker bem
Onbekend,Onbekend Hoofdstuk,19,... beeden siden
Onbekend,Onbekend Hoofdstuk,20,... was ghescart om stride
Onbekend,Onbekend Hoofdstuk,21,... inghelsche coninc
Onbekend,Onbekend Hoofdstuk,22,...ich man an sinen rinc
Onbekend,Onbekend Hoofdstuk,23,...ataelge des ghelike
Onbekend,Onbekend Hoofdstuk,24,... nich prince rike
Onbekend,Onbekend Hoofdstuk,25,...at an elke side
Onbekend,Onbekend Hoofdstuk,26,... eenen fellen stride
Onbekend,Onbekend Hoofdstuk,27,...dd' up dien dach
Onbekend,Onbekend Hoofdstuk,28,... die vele mach
Onbekend,Onbekend Hoofdstuk,29,... grote provaetsen dede
Onbekend,Onbekend Hoofdstuk,30,... bleef up die heide mede
Onbekend,Onbekend Hoofdstuk,31,... scade ende groot iammer was
Onbekend,Onbekend Hoofdstuk,32,...de leue siit seker das
Onbekend,Onbekend Hoofdstuk,33,... scat van gaude
Onbekend,Onbekend Hoofdstuk,34,...mer lettel vinden soude
Onbekend,Onbekend Hoofdstuk,35,rauwich haren heere
Onbekend,Onbekend Hoofdstuk,36,... wart menich man in seere
Onbekend,Onbekend Hoofdstuk,37,... gheheeten mijn here Lodewijc
Onbekend,Onbekend Hoofdstuk,38,...
Onbekend,Onbekend Hoofdstuk,39,... buten Vlaenderen verdreven
Onbekend,Onbekend Hoofdstuk,40,... siinder save bleven
Onbekend,Onbekend Hoofdstuk,41,... was up dien dach
Onbekend,Onbekend Hoofdstuk,42,...ele vromicheden an lach
Onbekend,Onbekend Hoofdstuk,43,... hier na horen silt
Onbekend,Onbekend Hoofdstuk,44,...hare toe gheven wilt
Onbekend,Onbekend Hoofdstuk,45,... Vranken lant
Onbekend,Onbekend Hoofdstuk,46,...one ridder metter hant
Onbekend,Onbekend Hoofdstuk,47,... hem in den hals den slach
Onbekend,Onbekend Hoofdstuk,48,... hem peinsen om dien dach
Onbekend,Onbekend Hoofdstuk,49,... ridder wart ghedaen
Onbekend,Onbekend Hoofdstuk,50,Alle die pointe dedi hem verstaen
Onbekend,Onbekend Hoofdstuk,51,Die ten ridderscepe toehoren.
Onbekend,Onbekend Hoofdstuk,52,Tweldoen haddi sint vercoren;
Onbekend,Onbekend Hoofdstuk,53,Siin lant hilti wel te rechte;
Onbekend,Onbekend Hoofdstuk,54,Sine riddren no sine leenknechten
Onbekend,Onbekend Hoofdstuk,55,Ne liet hi veronrechten niet;
Onbekend,Onbekend Hoofdstuk,56,Ontfarmich was hi up al siin diet;
Onbekend,Onbekend Hoofdstuk,57,Wie dat an hem ghenade begherde
Onbekend,Onbekend Hoofdstuk,58,"Weet dat hise hem niet ne werde,"
Onbekend,Onbekend Hoofdstuk,59,Ofte hine hadde al te vele mesdaen.
Onbekend,Onbekend Hoofdstuk,60,"Tlant wan hi sint, doe ic hu verstaen,"
Onbekend,Onbekend Hoofdstuk,61,Daer siin vader huut was verdreven.
Onbekend,Onbekend Hoofdstuk,62,Nu moetic u te kennene gheven
Onbekend,Onbekend Hoofdstuk,63,Hoet heer vernaderde an elke side:
Onbekend,Onbekend Hoofdstuk,64,Het maecte hier eenen fellen stride.
Onbekend,Onbekend Hoofdstuk,65,"Die genevoysen, metten ghescutte,"
Onbekend,Onbekend Hoofdstuk,66,"Trocken vor theer, alsoet was nutte,"
Onbekend,Onbekend Hoofdstuk,67,Om dinghelsche te wederstane.
Onbekend,Onbekend Hoofdstuk,68,Dinghelsche quamen vaste ane;
Onbekend,Onbekend Hoofdstuk,69,So daden die fransoyse desghelike.
Onbekend,Onbekend Hoofdstuk,70,Twee overmoedighe princen rike
Onbekend,Onbekend Hoofdstuk,71,Leeden theer voren an beeden siden.
Onbekend,Onbekend Hoofdstuk,72,Men ghincker scieten ende vaste striden.
Onbekend,Onbekend Hoofdstuk,73,Die quareelen entie strale
Onbekend,Onbekend Hoofdstuk,74,"Vloghen upwart ende te dale,"
Onbekend,Onbekend Hoofdstuk,75,Alse dicke als haghel ofte snee.
Onbekend,Onbekend Hoofdstuk,76,"Menich wert daer ghevee,"
