author,chapter,line,text
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,1,[..............]
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,2,Jeghen de zonne verscoont soe hare
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,3,van ghedane ende van coluren;
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,4,blakende root oft greyne ware
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,5,so dinct soe gloyen van naturen.
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,5,hare bladen die soe draghet
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,7,zijn scoonre binnen dan van buten;
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,8,"dese pointen, edele Maghet,"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,9,dinken mi alle in u besluten.
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,10,"Want ghi sijt roze sonder doren,"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,10,boven alle vrouwen die ye waren.
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,12,"Scoonre wijf was noyt gheboren,"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,13,bi dat Scrifture can verclaren
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,14,"van uwen lechame, daer ghi in droecht"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,15,den ghonen die u maecte scone;
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,15,het ne was gheen wonder dat ghi loecht
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,17,als ghi wort Vrouwe van de[n trone].
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,18,"Hoe dat ghi scone waert va[n buten],"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,19,ghi waert scoonre vele binn[en];
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,20,"want scone wilde hi hem in [u sluten],"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,20,dat alle scoonheit wel can winnen.
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,22,Bedi eest wel te wetene claer
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,23,"dat God de zale dede verscoonen,"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,24,"als hi soude comen daer,"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,25,daer hi so langhe in wilde woonen.
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,25,"Want wel behoort zale te sine,"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,27,"daer coninc in sal wesen, scone:"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,28,edelre saet was noyt anscine
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,29,"dan ghi waert, Vrouwe, van uwen zone."
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,30,Scone hi quam ende suver hi keerde
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,30,"uter sale van uwen lechame,"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,32,dat u mesquame no pine deerde:
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,33,ghi bleeft verciert in heligher name
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,34,"als maghet pure van uwen sone,"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,35,wies dochter dat ghi waert nochtan:
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,35,dat was een wonder vele scone
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,37,dat ghi hem droecht die u [ghe]wan!
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,38,"Als vrouwen lecghen ooc van kinden,"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,39,so eest costume dat si baden;
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,40,exemple ghelijc mach men vinden
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,40,dat u God wilde also beraden:
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,42,Hi liet u eene fonteine fine
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,43,"die Hi, u minre, dede maken:"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,44,dat was de helighe gracie sine
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,45,die u purgierde in allen saken.
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,45,"Dats twater goed als van der roze,"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,47,"die elken [mensche] wel mach coelen,"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,48,"als hi [van zonden] hevet noze,"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,49,die meni[ghe zielen] doen verzwoelen.
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,50,Als hi daer [water] mach ghewinnen
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,50,"daer ghi, Vrouwe, zuver in badet,"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,52,dan wort de ziele ghezuvert binnen:
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,53,van zonden blijft soe onghescadet.
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,54,Met sulken watre moet ghi ons dwaen
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,55,"bi uwer ghenaden, edele Vrauwe,"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,55,dat wi den duvel moeten ontgaen
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,57,int vonnesse daert ons wert nauwe.
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,58,Ghi droecht den hoet ooc van der roze
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,59,die scone was ende achemant;
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,60,"van alre scoonheit waerdi glose,"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,60,boven allen vrouwen die men vant.
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,62,"Hoe dat ghi scone waert van live,"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,63,[...]
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,64,[...]
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,65,[...]
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,66,[...]
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,67,[...]
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,68,[...]
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,69,s[...]
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,70,din[...]
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,71,vrouw[...]
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,72,die ghi ti[...]
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,80,te Gode droecht
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,74,"Tote dien daghe quaemt so voort,"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,75,"dat hi u versoeken dede,"
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,76,ende hi u zenden wilde sijn woort
Jan Praet,SPIEGHEL DER WIJSHEIT OF LEERINGHE DER ZALICHEDE.,77,in minnen ende in salute mede.
