author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"Gherne here mijn,"
Onbekend,Onbekend Hoofdstuk,2,Het sal op een korte riede sijn.
Onbekend,Onbekend Hoofdstuk,3,"Haestelick ende sonder verdriet,"
Onbekend,Onbekend Hoofdstuk,4,"Sal ic laten doen, dat gij gebiet."
Onbekend,Onbekend Hoofdstuk,5,"Agar, ic heb vernamen,"
Onbekend,Onbekend Hoofdstuk,6,Dat mijnen heren synt gaste avercomen.
Onbekend,Onbekend Hoofdstuk,7,Haestu in Gads vrede
Onbekend,Onbekend Hoofdstuk,8,Ende maket dat beslach van tarwen riede.
Onbekend,Onbekend Hoofdstuk,9,"Here mijn, dat broet is hier,"
Onbekend,Onbekend Hoofdstuk,10,"Het heeft gehadt gueden tier,"
Onbekend,Onbekend Hoofdstuk,11,"Het is abel ende bequaem,"
Onbekend,Onbekend Hoofdstuk,12,"Ic hape, het sal hem sijn aengenaem."
Onbekend,Onbekend Hoofdstuk,13,Nadien dat ic bin worden oelt
Onbekend,Onbekend Hoofdstuk,14,"Ende mijn bloet is al vercolt,"
Onbekend,Onbekend Hoofdstuk,15,"Ende ic weet ende byns gewys,"
Onbekend,Onbekend Hoofdstuk,16,"Dat mijn here oeck herde oelt is,"
Onbekend,Onbekend Hoofdstuk,17,"Zal ic in mijnre oeltheid werden verhoechet,"
Onbekend,Onbekend Hoofdstuk,18,Als doe ic was in mijnre joecht.
Onbekend,Onbekend Hoofdstuk,19,"Here, wat ister geschiet,"
Onbekend,Onbekend Hoofdstuk,20,Ick en lachte niet.
Onbekend,Onbekend Hoofdstuk,21,[...]
