author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"Alle den langhe somertijt,"
Onbekend,Onbekend Hoofdstuk,2,"Ende als die somertijt is leden,"
Onbekend,Onbekend Hoofdstuk,3,"Ende hem die bome gaen on[tcle]den,"
Onbekend,Onbekend Hoofdstuk,4,Ende die voghele hoir jolijt
Onbekend,Onbekend Hoofdstuk,5,"Laten, teghen die wintertijt,"
Onbekend,Onbekend Hoofdstuk,6,"So maec ic aertrijc in dien ghebare,"
Onbekend,Onbekend Hoofdstuk,7,Ofte altemael verdorret ware
Onbekend,Onbekend Hoofdstuk,8,"Ende dorn staen beiden, boom ende haghen,"
Onbekend,Onbekend Hoofdstuk,9,Of se nie loof en hadden ghedraghen;
Onbekend,Onbekend Hoofdstuk,10,"Blome noch vruecht in ghene hande,"
Onbekend,Onbekend Hoofdstuk,11,Waer wi coemt in alle lande.
Onbekend,Onbekend Hoofdstuk,12,"Ic doent oech dommen ende wederlik[en],"
Onbekend,Onbekend Hoofdstuk,13,Ich en houde mich an gheen visiken.
Onbekend,Onbekend Hoofdstuk,14,Ich doent haghelen ende snien mede
Onbekend,Onbekend Hoofdstuk,15,"Ende vriesen inder selver steden,"
Onbekend,Onbekend Hoofdstuk,16,Daer hier voirmael die bloemen stonden
Onbekend,Onbekend Hoofdstuk,17,"Ende menighertieren voghel woenden,"
Onbekend,Onbekend Hoofdstuk,18,Die die suete somertijt
Onbekend,Onbekend Hoofdstuk,19,Songhen en driven groot iolijt.
Onbekend,Onbekend Hoofdstuk,20,Ich hebbe ghemaect sonne ende mane
Onbekend,Onbekend Hoofdstuk,21,"Ende tfirmament, ende hebber ane"
Onbekend,Onbekend Hoofdstuk,22,"Sterren geset menighertieren,"
Onbekend,Onbekend Hoofdstuk,23,Die met dien firmament keren.
Onbekend,Onbekend Hoofdstuk,24,Vier elementen heb ic daertoe
Onbekend,Onbekend Hoofdstuk,25,Ghemaket ende versiert also
Onbekend,Onbekend Hoofdstuk,26,Dat der werlt niet en deert;
Onbekend,Onbekend Hoofdstuk,27,Si sinter wael mede ghemeert.
Onbekend,Onbekend Hoofdstuk,28,Ende daeromment volcomelicke
Onbekend,Onbekend Hoofdstuk,29,Heb ich ghemaect beide arm en rike
Onbekend,Onbekend Hoofdstuk,30,Ende hebber elken na sijn leven
Onbekend,Onbekend Hoofdstuk,31,Ende na sijn verdiente guet ghegheven.
Onbekend,Onbekend Hoofdstuk,32,"Die arbeiden willen ende pinen,"
Onbekend,Onbekend Hoofdstuk,33,Solen altoos goets gnuchte verdinen;
Onbekend,Onbekend Hoofdstuk,34,"Maer die na ere noch guet en spien,"
Onbekend,Onbekend Hoofdstuk,35,Hun sal selden goet gescien:
Onbekend,Onbekend Hoofdstuk,36,"Alse rebaude ende dobbelaeren,"
Onbekend,Onbekend Hoofdstuk,37,"Die altoes lieghen ende ram[pen]eren,"
Onbekend,Onbekend Hoofdstuk,38,"Ende dore hon quode kele iaghen,"
Onbekend,Onbekend Hoofdstuk,39,"Algader dat si moghen beiaghen,"
Onbekend,Onbekend Hoofdstuk,40,"Dat hon gesciede ere ocht guet,"
Onbekend,Onbekend Hoofdstuk,41,Dat were sere tieghenspuet.
Onbekend,Onbekend Hoofdstuk,42,"Ouch seggich diefven ende cockinen,"
Onbekend,Onbekend Hoofdstuk,43,"Ende quade iden die niet en pinen,"
Onbekend,Onbekend Hoofdstuk,44,"Ende dese wiven die niet en spinnen,"
Onbekend,Onbekend Hoofdstuk,45,Die moghen niet hoir leit verwinnen.
Onbekend,Onbekend Hoofdstuk,46,Maer wie na eer ende na God[s goet spien]
Onbekend,Onbekend Hoofdstuk,47,Hets recht dan [hon eer ende guet gescien].
Onbekend,Onbekend Hoofdstuk,48,"Want ellec mensce, sonder waen,"
Onbekend,Onbekend Hoofdstuk,49,Sal na syn werken loon ontfaen.
Onbekend,Onbekend Hoofdstuk,50,Na deen dat [elc] weit goet ende quaet
Onbekend,Onbekend Hoofdstuk,51,Ende ane selve nemt sine raet.
Onbekend,Onbekend Hoofdstuk,52,So rad ich wael dat elc sine sinne
Onbekend,Onbekend Hoofdstuk,53,Daer toe vueghe dat hi winne.
Onbekend,Onbekend Hoofdstuk,54,"Kinder, ghi en dorst twifelen niet"
Onbekend,Onbekend Hoofdstuk,55,"Bi dien teiken die hier gesciet siet,"
Onbekend,Onbekend Hoofdstuk,56,Die ich doe ende pleghe te doen.
Onbekend,Onbekend Hoofdstuk,57,Ich bin ghewarich Goeds soon.
Onbekend,Onbekend Hoofdstuk,58,So wael hon dis dine mi
Onbekend,Onbekend Hoofdstuk,59,"Volco[melic] ghelovich si,"
Onbekend,Onbekend Hoofdstuk,60,"Die solen na tleven van aertrike,"
Onbekend,Onbekend Hoofdstuk,61,Met mich besitten hemelrike.
Onbekend,Onbekend Hoofdstuk,62,"En wille uch langher prediken niet,"
Onbekend,Onbekend Hoofdstuk,63,Want langhe sermon maken verdriet.
Onbekend,Onbekend Hoofdstuk,64,"Ich muet even hene gaen,"
Onbekend,Onbekend Hoofdstuk,65,In mach hier niet langher staen.
Onbekend,Onbekend Hoofdstuk,66,Waer hier yeman die na mi
Onbekend,Onbekend Hoofdstuk,67,"Ghelouven wolde sonder si,"
Onbekend,Onbekend Hoofdstuk,68,Den soudich so ein art absolveren
Onbekend,Onbekend Hoofdstuk,69,"Van sinen sonden, die hem deren."
Onbekend,Onbekend Hoofdstuk,70,"Here, wi hebben ure wort"
Onbekend,Onbekend Hoofdstuk,71,"Ende uren sermoen wael ghehoirt,"
Onbekend,Onbekend Hoofdstuk,72,Ende ghemerket mengherhande
Onbekend,Onbekend Hoofdstuk,73,Die teiken die gher in desen lande
Onbekend,Onbekend Hoofdstuk,74,Hebt ghedaen ende plaecht te doene.
Onbekend,Onbekend Hoofdstuk,75,Ghi duncket ons die warachtich Gods sone.
Onbekend,Onbekend Hoofdstuk,76,"Woudi ons raet gheven,"
Onbekend,Onbekend Hoofdstuk,77,Wi souden mit ure raet leven;
