author,chapter,line,text
Lambertus Goetman,Onbekend Hoofdstuk,1,"O hemelsche coninck, God almachtich,"
Lambertus Goetman,Onbekend Hoofdstuk,2,"Vader, Sone, Heylighe Gheest,"
Lambertus Goetman,Onbekend Hoofdstuk,3,"Drie personen een God warachtich,"
Lambertus Goetman,Onbekend Hoofdstuk,4,Verleent ons gracie ende wijsheyt meest
Lambertus Goetman,Onbekend Hoofdstuk,5,"Hier so te leuen onbeureest,"
Lambertus Goetman,Onbekend Hoofdstuk,6,"Dat wi moghen, sonder sneuen,"
Lambertus Goetman,Onbekend Hoofdstuk,7,"Metten enghelen houden feest,"
Lambertus Goetman,Onbekend Hoofdstuk,8,Hier bouen int eewich leuen!
Lambertus Goetman,Onbekend Hoofdstuk,9,Een materie heb ick ghegheuen
Lambertus Goetman,Onbekend Hoofdstuk,10,"Voor ionghe kinderen sonderlinghe,"
Lambertus Goetman,Onbekend Hoofdstuk,11,"Ende wten latijn in duytsche bescreuen,"
Lambertus Goetman,Onbekend Hoofdstuk,12,God gheue dat icse mach volbringhen!
Lambertus Goetman,Onbekend Hoofdstuk,13,Men sal die kinder tot duechden dwinghen
Lambertus Goetman,Onbekend Hoofdstuk,14,Wanneer si comen ten verstande;
Lambertus Goetman,Onbekend Hoofdstuk,15,"Alst wisken groen is so salment wringhen,"
Lambertus Goetman,Onbekend Hoofdstuk,16,Tis quaet oude honden leren gaen in banden.
Lambertus Goetman,Onbekend Hoofdstuk,17,"Niet willen leeren is een schande,"
Lambertus Goetman,Onbekend Hoofdstuk,18,"Consten te connen is groot eere,"
Lambertus Goetman,Onbekend Hoofdstuk,19,"Al sijn die consten menigherhande,"
Lambertus Goetman,Onbekend Hoofdstuk,20,"Wie consten can, hi is een heere."
Lambertus Goetman,Onbekend Hoofdstuk,21,Hier omme heb ick ghearbeyt seere
Lambertus Goetman,Onbekend Hoofdstuk,22,"Nacht ende dach, vroech ende spade,"
Lambertus Goetman,Onbekend Hoofdstuk,23,"Om te vinden een goede leere,"
Lambertus Goetman,Onbekend Hoofdstuk,24,Nae tbeuelen der wijsen rade.
Lambertus Goetman,Onbekend Hoofdstuk,25,Dus hebbe ick bider Gods ghenaden
Lambertus Goetman,Onbekend Hoofdstuk,26,"Een goede materie te samen gheraemt,"
Lambertus Goetman,Onbekend Hoofdstuk,27,Ende tgoede ghescheyden wten quaden;
Lambertus Goetman,Onbekend Hoofdstuk,28,Diet wel onthout blijft ongheblaemt.
Lambertus Goetman,Onbekend Hoofdstuk,29,"""Der kinderen spieghel"" ben ick ghenaemt."
Lambertus Goetman,Onbekend Hoofdstuk,30,"Die wil comen tot staet ende eeren,"
Lambertus Goetman,Onbekend Hoofdstuk,31,"Die moet sijn leuen, eer dat betaemt,"
Lambertus Goetman,Onbekend Hoofdstuk,32,Tot wijsheyt ende tot duechden keeren.
Lambertus Goetman,Onbekend Hoofdstuk,33,"So wie dat onthout mijn leeren,"
Lambertus Goetman,Onbekend Hoofdstuk,34,"Hi sal regneren, sijt des becant."
Lambertus Goetman,Onbekend Hoofdstuk,35,"Scriftuere die seyt: Si bliuen heeren,"
Lambertus Goetman,Onbekend Hoofdstuk,36,Wie reden ghebruyct beyde ende verstant.
Lambertus Goetman,Onbekend Hoofdstuk,37,"Nu wil ick beghinnen, al te hant,"
Lambertus Goetman,Onbekend Hoofdstuk,38,Den kinderen te leeren een nyeuwe dicht;
Lambertus Goetman,Onbekend Hoofdstuk,39,"Ick hope sy werden in duechden gheplant,"
Lambertus Goetman,Onbekend Hoofdstuk,40,Wie hem met sinnen daer nae richt.
Lambertus Goetman,Onbekend Hoofdstuk,41,Tis noch beter tseyl gheswicht
Lambertus Goetman,Onbekend Hoofdstuk,42,Dan te leuen in ouermoet;
Lambertus Goetman,Onbekend Hoofdstuk,43,Op aerde en is gheen dinck so licht
Lambertus Goetman,Onbekend Hoofdstuk,44,Ten valt hem swaer diet node doet.
Lambertus Goetman,Onbekend Hoofdstuk,45,Veel dinghen hebben crancken spoet
Lambertus Goetman,Onbekend Hoofdstuk,46,"Mits traecheit, diet wel versint,"
Lambertus Goetman,Onbekend Hoofdstuk,47,Mer winninghe maect den arbeyt soet
Lambertus Goetman,Onbekend Hoofdstuk,48,Ende maect den vroeden dicwil blint.
Lambertus Goetman,Onbekend Hoofdstuk,49,Die menighe is gaerne daer omtrent
Lambertus Goetman,Onbekend Hoofdstuk,50,"Daervan ontfanghen is den raet,"
Lambertus Goetman,Onbekend Hoofdstuk,51,"Mer wie dat goet of gauen mint,"
Lambertus Goetman,Onbekend Hoofdstuk,52,Hi en vraghet niet hoet den armen gaet.
Lambertus Goetman,Onbekend Hoofdstuk,53,Inwendighe nijt ende eyghen baet
Lambertus Goetman,Onbekend Hoofdstuk,54,"Die hebben Roome ghedestrueert,"
Lambertus Goetman,Onbekend Hoofdstuk,55,"Ende ionghen raet, dese drie, verstaet,"
Lambertus Goetman,Onbekend Hoofdstuk,56,Hebben dicwil trecht verkeert.
Lambertus Goetman,Onbekend Hoofdstuk,57,Hi is ter werelt nu gheeert
Lambertus Goetman,Onbekend Hoofdstuk,58,Die loose vonden vinden can;
Lambertus Goetman,Onbekend Hoofdstuk,59,"Sulcke consten men nu studeert,"
Lambertus Goetman,Onbekend Hoofdstuk,60,"Ick wijse tvonnisse, wijst mi den man."
Lambertus Goetman,Onbekend Hoofdstuk,61,Waer blijft die arme mensche dan
Lambertus Goetman,Onbekend Hoofdstuk,62,Als hi voort recht sal doen sijn woort?
Lambertus Goetman,Onbekend Hoofdstuk,63,"Den rijcken helptmen haest daer van,"
Lambertus Goetman,Onbekend Hoofdstuk,64,Die arme wort dan cleyn ghehoort.
Lambertus Goetman,Onbekend Hoofdstuk,65,"Metten ouden hout altijt accort,"
Lambertus Goetman,Onbekend Hoofdstuk,66,"Die God ontsien waer hi verkeert,"
Lambertus Goetman,Onbekend Hoofdstuk,67,So segghen die lieden van v rechteuoort:
Lambertus Goetman,Onbekend Hoofdstuk,68,"""Die ionghe is wijs ende wel gheleert."""
Lambertus Goetman,Onbekend Hoofdstuk,69,"Der kinder sinnen, diet wel grondeert,"
Lambertus Goetman,Onbekend Hoofdstuk,70,"Sijn onbelast van eenighen bedriue,"
Lambertus Goetman,Onbekend Hoofdstuk,71,"Ghelijck een tafel reyn gheplaneert,"
Lambertus Goetman,Onbekend Hoofdstuk,72,Daermen goet oft quaet in mach scriuen.
Lambertus Goetman,Onbekend Hoofdstuk,73,"En hebt geen spraeck met lichte wijuen,"
Lambertus Goetman,Onbekend Hoofdstuk,74,"Si breyden haer net, ghi wert bespiet,"
Lambertus Goetman,Onbekend Hoofdstuk,75,"Wacht v daer voor bi uwen lijue,"
Lambertus Goetman,Onbekend Hoofdstuk,76,"Al spreken si schoon, si en meynens niet."
Lambertus Goetman,Onbekend Hoofdstuk,77,"Tot gheenen tijden, wat v gheschiet,"
Lambertus Goetman,Onbekend Hoofdstuk,78,En wilt v eere niet ouer gheuen;
Lambertus Goetman,Onbekend Hoofdstuk,79,"Al hebdi lijden of verdriet,"
Lambertus Goetman,Onbekend Hoofdstuk,80,Wilt altijt op hope leuen.
Lambertus Goetman,Onbekend Hoofdstuk,81,"Wi vinden inden latijn bescreuen,"
Lambertus Goetman,Onbekend Hoofdstuk,82,"Dat hope is dat beste goet,"
Lambertus Goetman,Onbekend Hoofdstuk,83,Si can den menschen vroechde gheuen
Lambertus Goetman,Onbekend Hoofdstuk,84,Ende tot allen dinghen goeden spoet.
Lambertus Goetman,Onbekend Hoofdstuk,85,"Hout v tonghe in v behoet,"
Lambertus Goetman,Onbekend Hoofdstuk,86,"Ende draecht op niemant nijt oft haet,"
Lambertus Goetman,Onbekend Hoofdstuk,87,"Sijt altijt huesch, thoont blijden moet"
Lambertus Goetman,Onbekend Hoofdstuk,88,Wanneer ghi achter straten gaet.
Lambertus Goetman,Onbekend Hoofdstuk,89,"Eert elcken na sinen staet,"
Lambertus Goetman,Onbekend Hoofdstuk,90,Ende en weest niet stom ghelijc de dieren;
Lambertus Goetman,Onbekend Hoofdstuk,91,"Sijt rijp van wesen, hebt goet ghelaet,"
Lambertus Goetman,Onbekend Hoofdstuk,92,En brenct niet voort gheen nieu manieren.
Lambertus Goetman,Onbekend Hoofdstuk,93,"Sijt rechtuaerdich int hantieren,"
Lambertus Goetman,Onbekend Hoofdstuk,94,Met Gode ende eeren wilt v gheneren;
Lambertus Goetman,Onbekend Hoofdstuk,95,"Leert wijsheyt pleghen aen die mieren,"
Lambertus Goetman,Onbekend Hoofdstuk,96,Die tsomers soecken dat si swinters verteren.
Lambertus Goetman,Onbekend Hoofdstuk,97,"En wilt niet volghen al v begheren,"
Lambertus Goetman,Onbekend Hoofdstuk,98,Mer v besnijden in allen dinghen;
Lambertus Goetman,Onbekend Hoofdstuk,99,"Noch tegen de waerheyt en wilt niet sweren,"
Lambertus Goetman,Onbekend Hoofdstuk,100,Ghi sout v siele in laste brenghen.
Lambertus Goetman,Onbekend Hoofdstuk,101,Gheen loghentael en suldy menghen
Lambertus Goetman,Onbekend Hoofdstuk,102,"In woorden, die ghi doet vermaen;"
Lambertus Goetman,Onbekend Hoofdstuk,103,"En wilt niemant tot boosheyt dringhen,"
Lambertus Goetman,Onbekend Hoofdstuk,104,So suldi goeden loon ontfaen.
Lambertus Goetman,Onbekend Hoofdstuk,105,"Die metten swaerde gaerne slaen,"
Lambertus Goetman,Onbekend Hoofdstuk,106,Metten swaerde wert hi verslaghen;
Lambertus Goetman,Onbekend Hoofdstuk,107,"Die niet en wil in tijts afstaen,"
Lambertus Goetman,Onbekend Hoofdstuk,108,Die noot sal hem doen verdraghen.
Lambertus Goetman,Onbekend Hoofdstuk,109,Alsmen hem sal gaen beclaghen
Lambertus Goetman,Onbekend Hoofdstuk,110,"Ende spreken met recht voor sine misdaet,"
Lambertus Goetman,Onbekend Hoofdstuk,111,"Dan sijn in laste vrienden ende maghen,"
Lambertus Goetman,Onbekend Hoofdstuk,112,Sijns selfs en weet hi gheenen raet.
Lambertus Goetman,Onbekend Hoofdstuk,113,Dan is te claghen veel te laet
Lambertus Goetman,Onbekend Hoofdstuk,114,Als die dinghen sijn gheschiet;
Lambertus Goetman,Onbekend Hoofdstuk,115,"So wie hem wachten wil der daet,"
Lambertus Goetman,Onbekend Hoofdstuk,116,Die en sal niet comen in dat verdriet.
Lambertus Goetman,Onbekend Hoofdstuk,117,Als die mensche al ouersiet
Lambertus Goetman,Onbekend Hoofdstuk,118,"Ende merct dat hi steruen moet,"
Lambertus Goetman,Onbekend Hoofdstuk,119,"So en baet hem alle sijn hope niet,"
Lambertus Goetman,Onbekend Hoofdstuk,120,Want dan en helpt ghelt noch goet.
Lambertus Goetman,Onbekend Hoofdstuk,121,"Die doot is rasscher dan een vloet,"
Lambertus Goetman,Onbekend Hoofdstuk,122,Want si wacht ons tot allen stonden;
Lambertus Goetman,Onbekend Hoofdstuk,123,"Weest op v hoede, sidi vroet,"
Lambertus Goetman,Onbekend Hoofdstuk,124,Eer v lichaem wert ontbonden.
Lambertus Goetman,Onbekend Hoofdstuk,125,"Die Heylighe Kerck gheeft ons oorconde,"
Lambertus Goetman,Onbekend Hoofdstuk,126,"Dat wi sullen leuen na haren rade,"
Lambertus Goetman,Onbekend Hoofdstuk,127,"Als biecht te spreken ende belijen de sonden,"
Lambertus Goetman,Onbekend Hoofdstuk,128,Dies niet en doet sijnre sielen schade.
Lambertus Goetman,Onbekend Hoofdstuk,129,"Doet penitencie eert wort te spade,"
Lambertus Goetman,Onbekend Hoofdstuk,130,Den tijt is cort om hier te sine;
Lambertus Goetman,Onbekend Hoofdstuk,131,"Soect altijt aen God ghenade,"
Lambertus Goetman,Onbekend Hoofdstuk,132,So moechdi ontgaen die helsche pijne.
Lambertus Goetman,Onbekend Hoofdstuk,133,"En drinct niet droncken in bier oft wijne,"
Lambertus Goetman,Onbekend Hoofdstuk,134,"In die taueerne, hier oft ghinder,"
Lambertus Goetman,Onbekend Hoofdstuk,135,"Het quetset seer die sinnen dijne,"
Lambertus Goetman,Onbekend Hoofdstuk,136,Ende ghi wert daer bi gheacht te minder.
Lambertus Goetman,Onbekend Hoofdstuk,137,Droncken lieden ende ionghe kinder
Lambertus Goetman,Onbekend Hoofdstuk,138,Maken dicwils openbaer
Lambertus Goetman,Onbekend Hoofdstuk,139,"Verholen dinghen, daer groten hinder"
Lambertus Goetman,Onbekend Hoofdstuk,140,Den menighen is gheuolghet naer.
Lambertus Goetman,Onbekend Hoofdstuk,141,"Die selue plant heeft goede waer,"
Lambertus Goetman,Onbekend Hoofdstuk,142,"Want selue hebben is goet cruyt,"
Lambertus Goetman,Onbekend Hoofdstuk,143,"Hebdi selue en maect gheen maer,"
Lambertus Goetman,Onbekend Hoofdstuk,144,Ick meyn selue diemen in kisten sluyt.
Lambertus Goetman,Onbekend Hoofdstuk,145,Men acht hem voor een arm schofuyt
Lambertus Goetman,Onbekend Hoofdstuk,146,"Die ter werelt niet en heeft,"
Lambertus Goetman,Onbekend Hoofdstuk,147,"Trout hi dan een arm bruyt,"
Lambertus Goetman,Onbekend Hoofdstuk,148,Hi is die armste die leeft.
Lambertus Goetman,Onbekend Hoofdstuk,149,"Men vinten selden die gaerne geeft,"
Lambertus Goetman,Onbekend Hoofdstuk,150,"Wie niet en heeft, hi is onwaert,"
Lambertus Goetman,Onbekend Hoofdstuk,151,"Ende als hi dan van ouden beeft,"
Lambertus Goetman,Onbekend Hoofdstuk,152,Een yeghelic is van hem veruaert.
Lambertus Goetman,Onbekend Hoofdstuk,153,"Dan is dat woort te hooren hart,"
Lambertus Goetman,Onbekend Hoofdstuk,154,"Alsmen seyt: ""God help v, vrient!"""
Lambertus Goetman,Onbekend Hoofdstuk,155,"En hebdi te voren dan niet ghespaert,"
Lambertus Goetman,Onbekend Hoofdstuk,156,So werdi verschouen al omtrent.
Lambertus Goetman,Onbekend Hoofdstuk,157,Wildi wesen wel ghemint
Lambertus Goetman,Onbekend Hoofdstuk,158,"Ende met uwen ghebueren niet kijuen,"
Lambertus Goetman,Onbekend Hoofdstuk,159,"Wat ghi beghint te voren versint,"
Lambertus Goetman,Onbekend Hoofdstuk,160,"Wacht v te schelden met quaden wijuen,"
Lambertus Goetman,Onbekend Hoofdstuk,161,"Ende niemant in quaetheyt stiuen,"
Lambertus Goetman,Onbekend Hoofdstuk,162,Noch valscheyt dencken in uwen moet;
Lambertus Goetman,Onbekend Hoofdstuk,163,"Hout Gods gheboden, wilter bi bliuen,"
Lambertus Goetman,Onbekend Hoofdstuk,164,So moechdi ontgaen der hellen gloet.
Lambertus Goetman,Die .x. gheboden.,165,Dits deerste ghebot nae mijn beuroet:
Lambertus Goetman,Die .x. gheboden.,166,"Mint God met herten bouen al,"
Lambertus Goetman,Die .x. gheboden.,167,Ende anderen menschen also doet
Lambertus Goetman,Die .x. gheboden.,168,Als ghi wilt datmen v doen sal.
Lambertus Goetman,Dat .ij. ghebot.,169,"Ghi en sult oock, groot noch smal,"
Lambertus Goetman,Dat .ij. ghebot.,170,"Den naem Gods ydelijc noemen,"
