author,chapter,line,text
Onbekend,[Inhoudstafel],1,...........
Onbekend,[Inhoudstafel],2,W[ives ansichte] es sere tontsiene.
Onbekend,[Inhoudstafel],3,w[ijfs hebben] hem selven niet te betrouwene.
Onbekend,[Inhoudstafel],4,vrecheit es te verhatene omme vele redenen.
Onbekend,[Inhoudstafel],5,vrecheit es te verhatene omme die maledictie die God up werpt.
Onbekend,[Inhoudstafel],6,"vrecheit [sal hi] verhaten, die merken wille die grote van der zonde."
Onbekend,[Inhoudstafel],7,v[recken zijn quaet] in Gode in hem selven ende in den evenkerstyn.
Onbekend,[Inhoudstafel],8,"[vrecheit es] ene afgoderie, dit toghet scrifture."
Onbekend,[Inhoudstafel],9,[vrecheit] es ene zware gheestelike quale in den mensche.
Onbekend,[Inhoudstafel],10,[vrecheit es ene zware] quale omme hare gheduricheit.
Onbekend,[Inhoudstafel],11,"[vrecheit es ene] onversadelike quale, seit scrifture."
Onbekend,[Inhoudstafel],12,[vrecheit hout den] menschen in zwarer scalkernie.
Onbekend,[Inhoudstafel],13,"[vrecheit] hevet III bedecte strecke, menschen mede te vane."
Onbekend,[Inhoudstafel],14,"[vrecheit] sere es tontsiene omme de vele strecken, die zoe hevet."
Onbekend,[Inhoudstafel],15,"[vrecheit es sere] hatelic gode, dats ghetoghet claer."
Onbekend,[Inhoudstafel],16,[vrecken doen Gode grote dorp]ernie.
Onbekend,[Inhoudstafel],17,[vrecheit doet grote dere ende on]recht den evenkerstijn.
Onbekend,[Inhoudstafel],18,[vrecheit quetst ende deert haren dr]aghere.
Onbekend,[Inhoudstafel],19,.....
Onbekend,[Inhoudstafel],20,.....
Onbekend,[Inhoudstafel],21,.....
Onbekend,[Inhoudstafel],22,.....
Onbekend,[Inhoudstafel],23,.....
Onbekend,[Inhoudstafel],24,.....
Onbekend,[Inhoudstafel],25,.....
Onbekend,[Inhoudstafel],26,.....
Onbekend,[Inhoudstafel],27,W[ouker sal elc] vlien omme die zware plaghe die god daer omme sent.
Onbekend,[Inhoudstafel],28,Wouker decken [lieden] menichsins om der werelt scame.
Onbekend,[Inhoudstafel],29,Werckers [in huere ?] bi daghe doen dicken zonden in hare werc.
Onbekend,[Inhoudstafel],30,"Wouker es dicken bi den dobbelaers, dits ghetoghet."
Onbekend,[Inhoudstafel],31,Vrecheit ontfaet dicken occusoen ute V zaken.
Onbekend,[Inhoudstafel],32,... vander bedinghe.
Onbekend,[Inhoudstafel],33,.....
Onbekend,[Inhoudstafel],34,LXXIX. Wanhope es vreeselic ende quaet boven alle zonden.
Onbekend,[Inhoudstafel],35,LXXXVI. Verwanichede es grote ende ombekennende zonde.
Onbekend,[Inhoudstafel],36,LXXXVII. Verwanighe prisen hem selven ende haers selves doen.
Onbekend,[Inhoudstafel],37,LXXXVII. Verheventhede begheren es grote vrese.
Onbekend,[Inhoudstafel],38,LXXXVII. Verwanicheit mach zyn ende daer in IIII manieren.
Onbekend,[Inhoudstafel],39,"Werscepe houden omme die rike ende arme te verghetene, es quaet."
Onbekend,[Inhoudstafel],40,XCIIII. Werdicheit moet elc doen hem vieren bi rechte.
Onbekend,[Inhoudstafel],41,XCIII. Werdicheit moet zyn ghedaen meer den enen dan den anderen.
Onbekend,[Inhoudstafel],42,CXXI. Verranesse moet men ontsien omme VI redenen.
Onbekend,[Inhoudstafel],43,CVIII. Wrake te nemene ende niet willen vergheven es grote zothede.
Onbekend,[Inhoudstafel],44,"CXIX. Versweeren es zware zonde, dats ghetoghet."
Onbekend,[Inhoudstafel],45,CXXII. Vlouken es ene zonde meest quetsende den gonen ute wien soe comt.
Onbekend,[Inhoudstafel],46,CXXVI. Vule sprake messit sere ende corrumpeert diese horen.
Onbekend,[Inhoudstafel],47,XL. Xr. armoede ghedinken ghevet grote remedie der gulsheit.
Onbekend,[Inhoudstafel],48,LII. Xr. leert ons vlien vrecheit met hem selven.
Onbekend,[Inhoudstafel],49,XLII. Xr. toghet dat gheestelyc goet niet en ...
Onbekend,[Inhoudstafel],50,XLVII. Xr. weder ute steken als hi ontfaen es [es grote vrese].
Onbekend,[Inhoudstafel],51,LII. Xr. armoede wiset ons te scuwene [gierighede].
Onbekend,[Inhoudstafel],52,LII. Xr. wilde arem wesen om ons ...
Onbekend,[Inhoudstafel],53,Xr. leert ons selve be[dinghe].
Onbekend,[Inhoudstafel],54,LXIIIJ. Xr. pijnde om traegheit [af te doene].
Onbekend,[Inhoudstafel],55,LXXXV. Xr. leerde ons omoed[igheit als hi mensche waert ?].
Onbekend,[Inhoudstafel],56,C. Ydele glorie leert ons [Christus vlien].
Onbekend,[Inhoudstafel],57,C. Ydele glorie roeft den [menschen syn gheestelyc goet].
Onbekend,[Inhoudstafel],58,CI. Ydele glorie es somwile [menscelyc. somwilen duvelyc].
Onbekend,[Inhoudstafel],59,CI. Ypocrisie es grote zonde ende daer god grammest up es.
Onbekend,[Inhoudstafel],60,CI. Ypocrisie domet god boven allen andren zonden.
Onbekend,[Inhoudstafel],61,"I. Zonden zijn bequame den duvel, dats ghetoghet."
Onbekend,[Inhoudstafel],62,"I. Zonden zyn zere ghehaet met gode, toghen IIJ redenen."
Onbekend,[Inhoudstafel],63,"II. Zonden deren den mensche, dats gheprovet."
Onbekend,[Inhoudstafel],64,II. Zonde ontrect den mensche VI profite.
Onbekend,[Inhoudstafel],65,II. Zonden ebben anderen wech omme IIJ redenen.
Onbekend,[Gulzigheid],66,.........................
Onbekend,[Gulzigheid],67,¶ Hier of scrivet [sente] Augustijn:
Onbekend,[Gulzigheid],68,"""So waer tvleesch lovet zijn vermaken,"
Onbekend,[Gulzigheid],69,"Daer salt ghebrec in moghen smaken""."
Onbekend,[Gulzigheid],70,Al heift ooc die gulse ghenouch
Onbekend,[Gulzigheid],5,Spise ende dranc syn ghevouch
Onbekend,[Gulzigheid],72,"Ende wel bereet, dan claecht hi allene"
Onbekend,[Gulzigheid],73,Dat zyn buuc es al te cleene
Onbekend,[Gulzigheid],74,Datter niet al die spise in mach.
Onbekend,[Gulzigheid],75,Dus leift die gulse nacht ende dach
Onbekend,[Gulzigheid],10,"Onversaet in enigher wise,"
Onbekend,[Gulzigheid],77,Want hem ghebreict buuc of spise.
Onbekend,[Gulzigheid],78,¶ Elc mach wel vroet zijn van desen
Onbekend,[Gulzigheid],79,Dat hi niet sonder hongher mach wesen
Onbekend,[Gulzigheid],80,"In wien dat ute honghers breke,"
Onbekend,[Gulzigheid],15,Hongher gheboren es eenpaerleke.
Onbekend,[Gulzigheid],82,¶ Alse gulsen maeltijt es ghedaen
Onbekend,[Gulzigheid],83,Dan moet h[i weder] wandelen gaen
Onbekend,[Gulzigheid],84,Om hongher te [mak]ene ende appetijt
Onbekend,[Gulzigheid],85,Dus es die gulse versaet gheen tijt:
Onbekend,[Gulzigheid],20,Si jagen den hongher in der manieren
Onbekend,[Gulzigheid],87,So men jaghet int foreest ten dieren;
Onbekend,[Gulzigheid],88,So onversaet es hem de moet.
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,89,Dander quade dat gulsheit doet
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,25,Den lichame in elker ure
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,91,Dats dat soe quetst die nature.
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,92,Hierup in Job ghescreven staet:
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,93,"""Als syn buuc in spisen versaet,"
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,94,Staet hi ghespannen als pesen;
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,30,Dan zal hem droufheit groot bi wesen.
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,96,.....
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,97,.....
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,98,Daer so menich in mesvaert.
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,99,"Neense, ensi dat wi ghedwinghen"
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,100,Die weilde ende tonder b[rin]ghen.
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,101,¶ Van der ontsiender w[ee]ldicheit
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,35,Ecclesiat[ic]us dus seit:
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,103,"""Ic hebbe vonden ghenoot"
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,104,Een wijf bittre dan die doot
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,105,... dattie weilde van den vleesche
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,106,... [mi]ds haren vulen heesche
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,40,"Niet een alve doot brinct toe,"
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,108,So waer drievout - verstaet hoe:
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,109,Soe brinct die doot toe van naturen;
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,110,"Dander doot doet soe besuren,"
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,111,Dats die doot van der mesdaet.
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,45,"Die derde doot es, die niet vergaet,"
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,113,Dats die ewelike torment
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,114,Daer die sondare [in e]s ghesent.
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,115,¶ In proverbien [staet] ooc van
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,116,... weilde die rike man
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,50,.....
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,118,Ne waer int hende sal soe biten
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,119,Als tserpent ende uut werpen venijn
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,120,.....
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,121,... welke gulsheit doet: dat die wie
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,55,Met rechte in alre scalkernie
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,123,Hebben sonden: gulse ute gulsheden
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,124,Maken dien hem van hem leden
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,125,Die se hout in alre scalkerlycheit.
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,126,Hier of in proverbien seit
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,60,Die wise Salemoen dat ...
Onbekend,Gulsheit cranct zere ende quetst smenschen nature.,128,Die werdelyc voet sinen scalc
