author,chapter,line,text
Philip Utenbroeke,Voerredene van den iersten boeke.,1,Die ierste boec die hevet in
Philip Utenbroeke,Voerredene van den iersten boeke.,2,Van XV jaren no meer no min
Philip Utenbroeke,Voerredene van den iersten boeke.,3,"Die jeeste, ende van keyseren IIII:"
Philip Utenbroeke,Voerredene van den iersten boeke.,4,"Van Nero den quadertiere,"
Philip Utenbroeke,Voerredene van den iersten boeke.,5,"Van Galba, van Vitellus"
Philip Utenbroeke,Voerredene van den iersten boeke.,6,"Ende van den iersten Otte aldus,"
Philip Utenbroeke,Voerredene van den iersten boeke.,7,Ende heeft in sijn ommegaen
Philip Utenbroeke,Voerredene van den iersten boeke.,8,LXXXIX capitele ontfaen.
Philip Utenbroeke,[Titellijst],9,Van Nerons goeden beginne ... I.
Philip Utenbroeke,[Titellijst],10,"Hoe Festus quam na Felix, die Pauwelse ten keyser sant ... II."
Philip Utenbroeke,[Titellijst],11,Van der Joden biscoppe ... III.
Philip Utenbroeke,[Titellijst],12,Van sente Jacoppe den menderen ... IV.
Philip Utenbroeke,[Titellijst],13,Hoe sente Pauwels te Rome quam ... V.
Philip Utenbroeke,[Titellijst],14,Van Nerons seden in singene ... VI.
Philip Utenbroeke,[Titellijst],15,Van Nerons luxurien ... VII.
Philip Utenbroeke,[Titellijst],16,Van sinen roeve ende wreetheit ... VIII.
Philip Utenbroeke,[Titellijst],17,Van Seneca ende een deel van sinen boeken ... IX.
Philip Utenbroeke,[Titellijst],18,Van den selven ... X.
Philip Utenbroeke,[Titellijst],19,Van XII persecutien der kerken ... XI.
Philip Utenbroeke,[Titellijst],20,Van sente Petere ende van Symon Magus ... XII.
Philip Utenbroeke,[Titellijst],21,Van Peters vliene bi der beden van sinen jongers ... XIII.
Philip Utenbroeke,[Titellijst],22,Van dat Peter gewaen was ende gecruust ... XIV.
Philip Utenbroeke,[Titellijst],23,Peters sepulture ende hoe hi Nerone begreep ... XV.
Philip Utenbroeke,[Titellijst],24,Hoe sente Paulus was gevaen ... XVI.
Philip Utenbroeke,[Titellijst],25,Van Paulus gestadecheiden vor Nerone ... XVII.
Philip Utenbroeke,[Titellijst],26,Hoe Paulus bekeerde diene te siere passien leidden ... XVIII.
Philip Utenbroeke,[Titellijst],27,Hoe Plantille haer hoeftcleet weder hadde na sine doot ... XIX.
Philip Utenbroeke,[Titellijst],28,Hoe hi hem vertoende Plantillen ende den keyser ... XX.
Philip Utenbroeke,[Titellijst],29,Een miracule van sente Pauwelse ... XXI.
Philip Utenbroeke,[Titellijst],30,Van der hoecheit der Roemscher kerken ... XXII.
Philip Utenbroeke,[Titellijst],31,"Van sente Clemente, hoe hi Bernabasse horde ... XXIII."
Philip Utenbroeke,[Titellijst],32,Hoe Clement quam an Petere ... XXIV.
Philip Utenbroeke,[Titellijst],33,Hoe Clement Petere vertelde sine saken ... XXV.
Philip Utenbroeke,[Titellijst],34,Hoe Peter Clements moeder vant ... XXVI.
Philip Utenbroeke,[Titellijst],35,Hoe hijt Clemente dede te verstane ... XXVII.
Philip Utenbroeke,[Titellijst],36,Hoe datten Nyceta ende Aquila kinden ... XXVIII.
Philip Utenbroeke,[Titellijst],37,De disputatie van Faustiniane ... XXIX.
Philip Utenbroeke,[Titellijst],38,Van den selven ... XXX.
Philip Utenbroeke,[Titellijst],39,Hoe si alle bekinden Faustiniane ... XXXI.
Philip Utenbroeke,[Titellijst],40,Hoe Peter Faustiniane niet en wilde doepen ... XXXII.
Philip Utenbroeke,[Titellijst],41,Hoe Symoen Magus verkeerde Faustiniaens ansichte ... XXXIII.
Philip Utenbroeke,[Titellijst],42,Hoe Peter ter eren quam te Anthiochen ... XXXIIII.
Philip Utenbroeke,[Titellijst],43,Hoe Peter ordineerde Clemente paeus te sine na hem ... XXXV.
Philip Utenbroeke,[Titellijst],44,Van sente Petronillen ... XXXVI.
Philip Utenbroeke,[Titellijst],45,Van sente Marcialen ... XXXVII.
Philip Utenbroeke,[Titellijst],46,Van sinen miraculen ... XXXVIII.
Philip Utenbroeke,[Titellijst],47,"Van sente Saviniane, Potenciane ende Altine ... XXXIX."
Philip Utenbroeke,[Titellijst],48,Van sente Clemente van Mets ... XL.
Philip Utenbroeke,[Titellijst],49,Van sente Frontoene van Peregort ... XLI.
Philip Utenbroeke,[Titellijst],50,Hoe dattene God versach in die wildernesse ... XLII.
Philip Utenbroeke,[Titellijst],51,Van sente Memmiusse van Catteloengen ... XLIII.
Philip Utenbroeke,[Titellijst],52,Van sinen miraculen ... XLIIII.
Philip Utenbroeke,[Titellijst],53,Van sente Teclen ... XLV.
Philip Utenbroeke,[Titellijst],54,Van den selven ... XLVI.
Philip Utenbroeke,[Titellijst],55,Van sente Paulus jongers ... XLVII.
Philip Utenbroeke,[Titellijst],56,Van sente Vitale ende Valerien passie ... XLVIII.
Philip Utenbroeke,[Titellijst],57,Van haren kinderen Gervase ende Prothase ... XLIX.
Philip Utenbroeke,[Titellijst],58,Van Nazarius ende Celsus ... L.
Philip Utenbroeke,[Titellijst],59,"De passie van Gervase ende Prothase, Nazarius ende Celsus ... LI."
Philip Utenbroeke,[Titellijst],60,Van sente Processe ende Marthiniane ... LII.
Philip Utenbroeke,[Titellijst],61,Van sente Thymotheuse ende Apollinarise ... LIII.
Philip Utenbroeke,[Titellijst],62,Van menegen anderen martelaren onder Nerone ... LIIII.
Philip Utenbroeke,[Titellijst],63,Van sente Marke Ewangeliste ... LV.
Philip Utenbroeke,[Titellijst],64,Van siere doot ... LVI.
