author,chapter,line,text
Philip Utenbroeke,[.xij.],1,..........
Philip Utenbroeke,[.xij.],2,"Alse die ander dat sien,"
Philip Utenbroeke,[.xij.],3,"Hilden sine over verwoet, te dien"
Philip Utenbroeke,[.xij.],4,Lieten sine ende sijn gekeert
Philip Utenbroeke,[.xij.],5,Daer men die kerstine tormenteert;
Philip Utenbroeke,[.xij.],5,Ende cortelike hier nare
Philip Utenbroeke,[.xij.],7,Gaf god Kerstoffels sinne gare
Philip Utenbroeke,[.xij.],8,Ende liep met stouten sinne ter stede
Philip Utenbroeke,[.xij.],9,Daer men hen torment dede.
Philip Utenbroeke,[.xij.],10,Maer hi decte sijn anscijn
Philip Utenbroeke,[.xij.],10,"Dat hi ontsien niene wilde sijn,"
Philip Utenbroeke,[.xij.],12,Ende scalt den juge in scarpen worde.
Philip Utenbroeke,[.xij.],13,Een der juge die dat horde
Philip Utenbroeke,[.xij.],14,Gaf hem enen slach metter hant;
Philip Utenbroeke,[.xij.],15,Kerstoffels ontdecte hen te hant
Philip Utenbroeke,[.xij.],15,"Ende sprac: ""En waric kersten niet,"
Philip Utenbroeke,[.xij.],17,Dat ic om Gode al verdriet
Philip Utenbroeke,[.xij.],18,"Niet wilde gedogen, ic soude an di"
Philip Utenbroeke,[.xij.],19,"Saen hebben gewroken mi."""
Philip Utenbroeke,[.xij.],20,Doe ward die gene sere vervart
Philip Utenbroeke,[.xij.],20,"Ende hi liep ten coning ward,"
Philip Utenbroeke,[.xij.],22,Dien hi Kerstoffels doen alseget.
Philip Utenbroeke,[.xij.],23,Die coning sinen sin daer an leget
Philip Utenbroeke,[.xij.],24,Te pensen met gedachten al
Philip Utenbroeke,[.xij.],25,Hoe hi Kerstoffels ontliven sal.
Philip Utenbroeke,[.xij.],26,..........
Philip Utenbroeke,[.xij.],27,
Philip Utenbroeke,[.xij.],28,Dat wi di niet vinden conden.
Philip Utenbroeke,[.xij.],29,"""Dat sal niet sijn"", sprac hi saen,"
Philip Utenbroeke,[.xij.],30,"""Want ic sal u niet ontgaen."""
Philip Utenbroeke,[.xij.],31,Ende in dien wege met siere lere
Philip Utenbroeke,[.xij.],60,"Brachti die ridders an onsen here,"
Philip Utenbroeke,[.xij.],33,Die hi saen alle dopen dede.
Philip Utenbroeke,[.xij.],34,"Ende alsi naken gebonden der stede,"
Philip Utenbroeke,[.xij.],35,"Doet hi, datmenn ten coning lede"
Philip Utenbroeke,[.xij.],36,Achter gebonden die hande bede.
Philip Utenbroeke,[.xij.],65,Van siere groete heeft groet wonder
Philip Utenbroeke,[.xij.],38,Den coning; alte hant besonder
Philip Utenbroeke,[.xij.],39,Hevet hi hen om sinen name gevraget.
Philip Utenbroeke,[.xij.],40,Dies heeft hi hem te hant gewaget
Philip Utenbroeke,[.xij.],41,Ende dat hi Rebebus hiet
Philip Utenbroeke,[.xij.],70,Ende dat hi die name liet
Philip Utenbroeke,[.xij.],43,In die vonte ende ontfinc daer
Philip Utenbroeke,[.xij.],44,Kerstoffels tsiere name vor waer.
Philip Utenbroeke,[.xij.],45,"""Wat sotter namen"", die coning seit,"
Philip Utenbroeke,[.xij.],46,"""Hevestu di ane geleit"
Philip Utenbroeke,[.xij.],75,Van Kerste die gecrucit was!
Philip Utenbroeke,[.xij.],48,"Ende wes alse seker das,"
Philip Utenbroeke,[.xij.],49,Also hi hem selven ne conde
Philip Utenbroeke,[.xij.],50,"Gevromen in en gene stonde,"
Philip Utenbroeke,[.xij.],51,Hi di niet gevromen ne can.
Philip Utenbroeke,[.xij.],52,..........
Philip Utenbroeke,[.xij.],53,
Philip Utenbroeke,[.xij.],54,"En du ter gode dienst sout staen,"
Philip Utenbroeke,[.xij.],55,"Alse wi menegen hebben gedaen."""
Philip Utenbroeke,[.xij.],56,Doe ginc met worden die heilige man
Philip Utenbroeke,[.xij.],57,"Vriendelike den wiven an,"
Philip Utenbroeke,[.xij.],115,So dat hise met siere lere
Philip Utenbroeke,[.xij.],59,Brachte an tgelove van onsen here.
Philip Utenbroeke,[.xij.],60,"Alse dit quam tes conings oren,"
Philip Utenbroeke,[.xij.],61,Dedise hem beiden bringen te voren
Philip Utenbroeke,[.xij.],62,"Ende dreigetse te pinen sere,"
Philip Utenbroeke,[.xij.],120,Oft sine daden den goden ere.
Philip Utenbroeke,[.xij.],64,Doe togeten si gelike in dien
Philip Utenbroeke,[.xij.],65,"Oft si sijns willen souden plien,"
Philip Utenbroeke,[.xij.],66,So dat si vore dafgode quamen.
Philip Utenbroeke,[.xij.],67,Si spraken vore tfolc at te samen
Philip Utenbroeke,[.xij.],125,Ten beelde van Jupiterre:
Philip Utenbroeke,[.xij.],69,"""Oftu best god sonder merre,"
Philip Utenbroeke,[.xij.],70,"Sege ons, hoe wi nu doen selen,"
Philip Utenbroeke,[.xij.],71,Want die coning wilt ons bevelen
Philip Utenbroeke,[.xij.],72,"Dat wi di sacrificie nu doen."""
Philip Utenbroeke,[.xij.],130,"Alse die afgod ut gaf gheen soen,"
Philip Utenbroeke,[.xij.],74,Bonden si dat beelde ende ander met
Philip Utenbroeke,[.xij.],75,Met haren gordel ongelet
Philip Utenbroeke,[.xij.],76,Hebben sise ter eerde getrect
Philip Utenbroeke,[.xij.],77,"Ende alse in pulvere berect,"
Philip Utenbroeke,[.xij.],78,..........
Philip Utenbroeke,[.xij.],79,
Philip Utenbroeke,[.xij.],165,"Die menich minsce quam besien,"
Philip Utenbroeke,[.xij.],81,Ende hi bekerde vele van dien.
Philip Utenbroeke,[.xij.],82,"Daer hette coning af heeft verstaen,"
Philip Utenbroeke,[.xij.],83,Dedi allen die hoefde af slaen.
Philip Utenbroeke,[.xij.],84,Sente Kerstoffels hi dede
Philip Utenbroeke,[.xij.],170,Met ysere binden alle die lede
Philip Utenbroeke,[.xij.],86,Ende slaen met roeden lange ure.
Philip Utenbroeke,[.xij.],87,Met yserinen banden sure
Philip Utenbroeke,[.xij.],88,Dedine noch binden om quellen;
