author,chapter,line,text
Philip Utenbroeke,[.lxiij.],1,[...]
Philip Utenbroeke,[.lxiij.],2,Monec sone leet die sterte mine
Philip Utenbroeke,[.lxiij.],3,Gramscap nie in ghere maniere
Philip Utenbroeke,[.lxiij.],4,So ist goet sijn goedertiere
Philip Utenbroeke,[.lxiij.],5,Een abt ian vraghede enen andren
Philip Utenbroeke,[.lxiij.],6,[5] Die .xi. iaer hadde ghehad sijn wandren
Philip Utenbroeke,[.lxiij.],7,Buten allen lieden inder woestine
Philip Utenbroeke,[.lxiij.],8,Wat hi micte dat profijt sine
Philip Utenbroeke,[.lxiij.],9,Die sonne sach mi eten nie
Philip Utenbroeke,[.lxiij.],10,Sprac hi ende ian sprac no gram mie
Philip Utenbroeke,[.lxiij.],11,[10] ¶ Een monec plach dicken gram te sine
Philip Utenbroeke,[.lxiij.],12,Ende liet daer om der moneke mine
Philip Utenbroeke,[.lxiij.],13,Ende ghinc wandren allene
Philip Utenbroeke,[.lxiij.],14,Om te hebben gramscap ghene
Philip Utenbroeke,[.lxiij.],15,hem sturte eens sijn water uat
Philip Utenbroeke,[.lxiij.],16,[15] Ende hi uollede weder dat
Philip Utenbroeke,[.lxiij.],17,Noch sturte het; ende noch daer nare
Philip Utenbroeke,[.lxiij.],18,Doe wart hi zeker wel gheware
Philip Utenbroeke,[.lxiij.],19,Dat die viant dat al wrochte
Philip Utenbroeke,[.lxiij.],20,Die hem gramscap te uoren brochte
Philip Utenbroeke,[.lxiij.],21,[20] Doe keerde hi daer hi was te uoren
Philip Utenbroeke,[.lxiij.],22,Ende warp uan hem alden toren.
Philip Utenbroeke,[.lxiij.],23,¶ Een oude seghet een monec sal
Philip Utenbroeke,[.lxiij.],24,Den goeden iachthont slachten al
Philip Utenbroeke,[.lxiij.],25,Die als hi den hase versiet
Philip Utenbroeke,[.lxiij.],26,[25] Jn sijn lopen ontsiet niet
Philip Utenbroeke,[.lxiij.],27,Voer hi den hase heuet gheuaen.
Philip Utenbroeke,[.lxiij.],28,Dus soude den monec niet weder staen
Philip Utenbroeke,[.lxiij.],29,Als hi dat cruce wel vername
Philip Utenbroeke,[.lxiij.],30,Voer hi ten ghecruusten quame
Philip Utenbroeke,[.lxiij.],31,[30] hine soude sijn lopen niet laten werren
Philip Utenbroeke,[.lxiij.],32,Om gheen verdriet om gheen vererren.
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,33,Een broeder was ter onsuuerheit
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,34,Becuert dat hi heuet gheseit
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,35,Jn biechten enen ouden.
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,36,Diene sere heuet ghescouden.
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,5,So dat hi uel in wan hopen.
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,38,Ende es vten cloestre ghelopen.
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,39,¶ Bi gods wille ghesciede het dus
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,40,Dat die abt apollonius
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,41,Quam te desen die hem vraghet
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,10,Watten vten cloostere iaghet
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,50,[...]
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,44,Ende haelden haren broeder weder
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,45,¶ Een oude seghet siestu iemen neder
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,46,Vallen bider sonden ghewout
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,47,Ne lech op dien ghene scout
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,55,Maer op den ghenen d[iet] verwi[nt]
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,49,Ende sech wee mi dese es ghescint
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,50,Sijns dancs also als ic ben
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,51,Ende bewene di ende hen
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,52,En soec helpe anden hoghen.
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,60,Want wi wale warden bedroghen
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,54,¶ Pastor die abt seghet
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,55,Wiltu in rusten sijn gheweghet
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,56,Jn allen zaken segghende stic
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,57,Te di zeluen wie ben ic
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,65,Ende niemen ne iugiere
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,59,None hebbe onwaerd inghere maniere
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,60,¶ Priester hiet enen broeder gaen
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,61,Vte sire cellen die hadde mesdaen.
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,62,So moet ic dat zelue doen.
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,70,Sprac die abt Bessarioen.
Philip Utenbroeke,Vanden ghetemperden te versmaden .lxiiij,64,Want ic een sondare ben
