author,chapter,line,text
Philip Utenbroeke,[.x.],1,...
Philip Utenbroeke,[.x.],2,"Int jaer Ons Heren, heb ic verstaen,"
Philip Utenbroeke,[.x.],3,"Cc ende .x. werf drie,"
Philip Utenbroeke,[.x.],4,"Wie so wille, geloves mie."
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,5,"Ene kerstine goede vrouwe,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,6,"Hiet Julette, sach groten rouwe"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,7,Doen den Kerstinen ende toren
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,8,"tEyconen, daer si was geboren,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,5,Ende ruumde die poort om tgone
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,10,"Mit Cyricuse, haren sone;"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,11,"Te Tarsen quam si in die poort,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,12,Daer men dede grote moort
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,13,"Op die Kerstine. Een Alexander,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,10,"Die felre was dan enich ander,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,15,"Was baeliu daer in die stede,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,16,Die sere quelde kerstijnhede.
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,17,Dese hevet van Juletten verstaen
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,18,"Ende deetse al te hant vaen,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,15,"Enten sone liet men bliven,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,20,"Daer si rouwe om ghinc driven,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,21,Want si duchte dat hem mochte
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,22,"Verkeren sijn goede gedochte,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,23,Bleve hi te live sonder hare;
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,20,Saen wart hi voort brocht dare;
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,25,"Doe ghinc die baeliu smeken mieden,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,26,Dat dreygen dat niet mochte dieden;
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,27,"Doe ghinc men den kinder an mitter pine,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,28,"Maer alset seide: ""Ic bin kerstine"","
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,25,"So quam hem emmer weder cracht,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,30,"Hoe so dat men op hem vacht,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,31,"Dies verblide die moeder sere,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,32,"Ende lovede Gode, onsen Here,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,33,Ende troeste tkint al dat si mochte.
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,30,"Doe ghinc men der moeder an onsochte,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,35,Dat si blidelike heeft ontfaen.
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,36,In den kerker heeft mense gedaen
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,37,"Ten lesten worden si onthovet,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,38,"Ende daer na, dies gelovet,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,35,"Gheslegen in sticken clene,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,40,Dat men hem sepulture ghene
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,41,"Moghe geven, maar dengel ons Heren"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,42,Gaderde weder die sticken; mit eren
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,43,"Dedise graven, so ict bekende,"
Philip Utenbroeke,Van sinte Juletten ere vrouwen .xi.,40,"In julius, ter .xvj. kalende."
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,45,"In Rome was woenende Martine,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,46,"Wel geboren, ene maget fine,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,47,Rike ende gaf gherne door God.
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,48,"Dese was, jeghen skeysers gebod,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,5,Kerstenlike levende ghevonden.
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,50,"Voor den keyser brocht mense tien stonden,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,51,"Dien si dochte so over scone,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,52,Dat hi haer boot die keyser crone
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,53,"Op dat si sinen wille dade,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,10,Maar dies en wart si niet te rade;
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,55,Si seide si hadde trouwe belovet
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,56,"Gode; loghe si, si ware verdovet."
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,57,Doe leet mense voor Apoline
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,58,"Om taenbeden, maer die fine"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,15,Dede bede den almachtigen God.
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,60,"Die eerde bevede, na sijn gebod"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,61,"Viel van den tempel tvierendeel,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,62,"Entie afgode al geheel,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,63,Dat vele der heydine hevet doot.
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,20,Doe sprac die maget ten keyser albloot:
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,65,"""Keyser, twine helpti Apoline,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,66,"Ende Apolijn, twine troest hi die sine,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,67,"Die hier sterven bi hem?"" Te hant"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,68,Sprac uten beelde die viant:
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,25,"""Martine, wat heb ic di misdaen?"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,70,Si hebben mi gelaten staen
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,71,"Xcviii. jaer, al tot nu;"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,72,"Te fel sidi mi, dat seg ic u."
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,73,Cccc. jaer .lx. ende twee
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,30,"Haddic duvelen, die min no mee"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,75,"En daden dan ic hem hiet,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,76,Nu isset bi di gesciet
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,77,"Dat ic nu ter helle vare."""
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,78,"Hi voer wech; men sach al dare,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,35,"Daar hi voer, grote deemsterhede;"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,80,"Die keyser wiste niet dat God dede,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,81,Ende hiet die maget swaer berecken
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,82,Mit slagen en hiet die winbrawen uut treken;
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,83,"Doe riepen lude die dat daden,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,40,Si waren mit pinen sere verladen
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,85,Dat hem daden .iiij. lieden wit.
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,86,Doe bat si over hem ; na dit
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,87,Quam daer groot licht ende men hoorde
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,88,Ene stemme seggen dese woorde:
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,45,"""Door Martinen sidi gespaert,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,90,"Ende dien, hoe hi keyser ghebaert,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,91,"Dien laet ics verwinnen niet."""
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,92,Achte waren die eerst verdriet
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,93,"Der heiligher Martinen daden,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,50,Entie baden haer nu genaden;
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,95,Den keyser daden sijt verstaen
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,96,Dat si Martinen God ane vaen
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,97,Die keyser seide si waren verdult;
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,98,"Maer hi waer mitten duvel vervult,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,55,"Hebben si coenlike hem geseit,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,100,Dat hi niet kennen wil die waerheit.
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,101,"Die hoefde sloech men hem doe ave,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,102,"Si waren martelaren gave,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,103,Op ten .xviijsten dach
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,60,"Van november, als ict sagh"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,105,"Bescreven; enten andren daghe,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,106,"Was voort, bi skeysers gewaghe,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,107,"Brocht die heilige Martine,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,108,Die niet en micte op tdreigen sine.
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,65,Naect dedise mit sweerden sniden;
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,110,Melc over bloet sachmen tien tiden
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,111,Rennen daer uut haren wonden.
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,112,"Doe wart si an enen stake gebonden,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,113,Ende mit stocken geslagen sere;
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,70,"Diet daden riepen ten keyser: ""Here,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,115,"Doet ons van deser pinen saen,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,116,"Want ons die engelen sere slaen,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,117,"Ende inden vleysche niet allene,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,118,"Maer gaet in totten bene,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,75,"Als of ons verbrande vier."""
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,120,Die keyser wart meer ongehier;
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,121,"Diere hant an daden, bleven doot;"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,122,Doe wart die keyser in toerne groot.
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,123,"Limus, een sijnre neven,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,80,"Heeft hem desen raet ghegeven,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,125,"Dat mense mit heten smoute smare,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,126,Ende in den kerker doe dan daernare;
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,127,Ende men heeft also gedaen.
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,128,Doe hoorde men in den kerker saen
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,85,Ons Heren lof in sanghe claer.
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,130,"Nachts quam Limus daer,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,131,Ende vant witte liede mit hare;
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,132,"Doe vlo hi mit groten vare,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,133,"Ende seit den keyser groot ende smal,"
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,90,Diet over toverie helt al.
Philip Utenbroeke,Van sinte Martinien der maghet. .xij.,135,Voor den keyser si noch is
