author,chapter,line,text
Philip Utenbroeke,[.xij.],1,................
Philip Utenbroeke,[.xij.],2,"Dat wi di sacrificie doen""."
Philip Utenbroeke,[.xij.],3,"Alstie afgod ute gaf gheen soen,"
Philip Utenbroeke,[.xij.],4,Bonden si dat beilde ende ander met;
Philip Utenbroeke,[.xij.],5,Met haren gordelen onghelet
Philip Utenbroeke,[.xij.],5,"Hebbensise ter erde ghetrect,"
Philip Utenbroeke,[.xij.],7,"Ende als in pulvere berect,"
Philip Utenbroeke,[.xij.],8,Ende seiden ghelike deser talen
Philip Utenbroeke,[.xij.],9,"Ten hedinen: ""doet aersateren halen"
Philip Utenbroeke,[.xij.],10,"Die u gancsen uwe gode""."
Philip Utenbroeke,[.xij.],10,Die coninc wart in groter node
Philip Utenbroeke,[.xij.],12,"Van gramscepen, ende sprac ten wiven:"
Philip Utenbroeke,[.xij.],13,"""Ic en hiet u niet dit bedriven!"
Philip Utenbroeke,[.xij.],14,"Ic sweert u, bi der gode cracht,"
Philip Utenbroeke,[.xij.],15,"Met allen sinne, met alre macht"
Philip Utenbroeke,[.xij.],15,"Sal ic mi wreken ende u verderven,"
Philip Utenbroeke,[.xij.],17,"Met misseliken tormente doen sterven""."
Philip Utenbroeke,[.xij.],18,Die wive andworden sonder sparen:
Philip Utenbroeke,[.xij.],19,"""Sot! ende oft gode waren,"
Philip Utenbroeke,[.xij.],20,Twi lietse hem van cranken wiven
Philip Utenbroeke,[.xij.],20,"Aldus alte nieute bedriven?"""
Philip Utenbroeke,[.xij.],22,"Die ene, die Aquiline hiet,"
Philip Utenbroeke,[.xij.],23,"Also als die coninc ghebiet,"
Philip Utenbroeke,[.xij.],24,"An een hout gehanghen wort,"
Philip Utenbroeke,[.xij.],25,So swaer een steen ghecoppelt vort
Philip Utenbroeke,[.xij.],25,"An die voete, dat al die lede"
Philip Utenbroeke,[.xij.],27,"Sceurden alte hant ter stede,"
Philip Utenbroeke,[.xij.],28,Ende gaf Gode also den gheest.
Philip Utenbroeke,[.xij.],29,"Nicheta, hebbic vereest,"
Philip Utenbroeke,[.xij.],30,"Haer suster, die wart sciere"
Philip Utenbroeke,[.xij.],30,"Gheworpen in enen viere,"
Philip Utenbroeke,[.xij.],32,"Hande ende voete ghebonden,"
Philip Utenbroeke,[.xij.],33,Die daer ute in corter stonde
Philip Utenbroeke,[.xij.],34,Ginc blidelike ende al ghesont;
Philip Utenbroeke,[.xij.],35,Onthovet so wart soe ter stont.
Philip Utenbroeke,Van den selven. xiij.,36,"Als dese dinc dus was gedaen,"
Philip Utenbroeke,Van den selven. xiij.,37,"Was Kerstoffers vort doen gaen,"
Philip Utenbroeke,Van den selven. xiij.,38,"Die menich mensce quam besien,"
Philip Utenbroeke,Van den selven. xiij.,39,Ende hi bekeerder vele van dien.
Philip Utenbroeke,Van den selven. xiij.,5,"Ende daer die coninc af heift verstaen,"
Philip Utenbroeke,Van den selven. xiij.,41,Dedi hem allen thooft of slaen.
Philip Utenbroeke,Van den selven. xiij.,42,Sente Kerstofferse hi dede
Philip Utenbroeke,Van den selven. xiij.,43,"Met ysere binden alle die lede,"
Philip Utenbroeke,Van den selven. xiij.,44,Ende met roeden slaen langhe ure;
Philip Utenbroeke,Van den selven. xiij.,10,Met yserinnen banden sure
Philip Utenbroeke,Van den selven. xiij.,46,Dedine noch binden omme quellen;
Philip Utenbroeke,Van den selven. xiij.,47,Onder ene yserinen cellen
