author,chapter,line,text
Philip Utenbroeke,[.xxxv.],1,"Die selve Clement sinte Jacob sande,"
Philip Utenbroeke,[.xxxv.],2,Die bisscop was van den lande
Philip Utenbroeke,[.xxxv.],3,"Van Jherusalem, was ghesent,"
Philip Utenbroeke,[.xxxv.],4,Die deser ghelike begint ende ent:
Philip Utenbroeke,[.xxxv.],5,"""Symoen Peter, die fundament"
Philip Utenbroeke,[.xxxv.],6,"Van der kerken is bekent,"
Philip Utenbroeke,[.xxxv.],7,"Als hi sijn sterven vore kende,"
Philip Utenbroeke,[.xxxv.],8,"Riep hi sijn jongers hem ghehende,"
Philip Utenbroeke,[.xxxv.],9,Ende nam nu Clement mitter hant
Philip Utenbroeke,[.xxxv.],10,Ende seide daer dese woerde thant:
Philip Utenbroeke,[.xxxv.],11,"""Ghebroder ende geselle mijn,"
Philip Utenbroeke,[.xxxv.],12,Ic ordinere di paus te sijn
Philip Utenbroeke,[.xxxv.],13,"Na mine doet dese Clement,"
Philip Utenbroeke,[.xxxv.],14,Want hi lange heeft bekent
Philip Utenbroeke,[.xxxv.],15,Al mijn doen ende mijn lere.
Philip Utenbroeke,[.xxxv.],16,"Ic kennen oec vrome in onsen Here,"
Philip Utenbroeke,[.xxxv.],17,"Die liede lerende gherne in minnen,"
Philip Utenbroeke,[.xxxv.],18,"Suver, sober, ghedochtich van sinne."""
Philip Utenbroeke,[.xxxv.],19,"Als ic Clement dit hebbe verstaen,"
Philip Utenbroeke,[.xxxv.],20,"Viel ic te sinen voeten saen,"
Philip Utenbroeke,[.xxxv.],21,"Ende heb hem dies verlaet ghebeden,"
Philip Utenbroeke,[.xxxv.],22,Ende hi antwerde mi ter steden:
Philip Utenbroeke,[.xxxv.],23,"""Hier omme sone bidt mi niet,"
Philip Utenbroeke,[.xxxv.],24,"Want mi trecht dat ghebiet,"
Philip Utenbroeke,[.xxxv.],25,"Dat ic dit van di begere,"
Philip Utenbroeke,[.xxxv.],26,"Om dattu niet en wils oec te mere,"
Philip Utenbroeke,[.xxxv.],27,"Want dese eer begheert die niet,"
Philip Utenbroeke,[.xxxv.],28,Diese begheert ende dier om spiet.
Philip Utenbroeke,[.xxxv.],29,"Dochts mi bat een ander weert,"
Philip Utenbroeke,[.xxxv.],30,Inne hadder di niet toe begheert.
Philip Utenbroeke,[.xxxv.],31,Mer ic raede dattu wils merken
Philip Utenbroeke,[.xxxv.],32,"Laetstu in vresen den last der kerken,"
Philip Utenbroeke,[.xxxv.],33,"Du moghes te meer ontsien die sonde,"
Philip Utenbroeke,[.xxxv.],34,"Laetstu tvolc al gaen te gronde,"
Philip Utenbroeke,[.xxxv.],35,"Ende du hem ghehelpen moghes,"
Philip Utenbroeke,[.xxxv.],36,Om allene dattu verhoghes
Philip Utenbroeke,[.xxxv.],37,Sonder den last seker wesen.
Philip Utenbroeke,[.xxxv.],38,"Al du coems bi moede te desen,"
Philip Utenbroeke,[.xxxv.],39,"Soe moetstu also leven dan,"
Philip Utenbroeke,[.xxxv.],40,"Dat men di niet begripen can,"
Philip Utenbroeke,[.xxxv.],41,Ende dit ewelike leven
Philip Utenbroeke,[.xxxv.],42,"Van di werpen ende begheven."""
Philip Utenbroeke,[.xxxv.],43,"Voert leerde hi hem des bisscops daet,"
Philip Utenbroeke,[.xxxv.],44,"Dat mi te segghene niet angaet,"
Philip Utenbroeke,[.xxxv.],45,"Ende des papen ende des dyaken,"
Philip Utenbroeke,[.xxxv.],46,Dat ic u niet can cont ghemaken.
Philip Utenbroeke,[.xxxv.],47,Als hi der kerken goede statuten
Philip Utenbroeke,[.xxxv.],48,"""Hier mede lade, ic weet van mi,"
Philip Utenbroeke,[.xxxv.],49,Dat ic veel meer hier mede
Philip Utenbroeke,[.xxxv.],50,Ontfa dan eghene salichede;
Philip Utenbroeke,[.xxxv.],51,"Mer wes seker dat, doechstu pine,"
Philip Utenbroeke,[.xxxv.],52,"Om al tvolc salich te sine,"
Philip Utenbroeke,[.xxxv.],53,Die coemt van al an salichede.
Philip Utenbroeke,[.xxxv.],54,"Voert soe doe mi dese bede,"
Philip Utenbroeke,[.xxxv.],55,"Als mijn leven is gheeindt,"
Philip Utenbroeke,[.xxxv.],56,Bescrijft al gader ende seindt
Philip Utenbroeke,[.xxxv.],57,"Jacob, den broeder ons Heren,"
Philip Utenbroeke,[.xxxv.],58,"Soe du heves ghehoert mijn ler[en],"
Philip Utenbroeke,[.xxxv.],59,"Ende hoe dat ic mijn leven ende."""
Philip Utenbroeke,[.xxxv.],60,"Hier om, here, ic di zende"
Philip Utenbroeke,[.xxxv.],61,"Dese epistele, daer in bescreven"
Philip Utenbroeke,[.xxxv.],62,Een deel is van sinte Peters leven.
Philip Utenbroeke,[.xxxv.],63,Noch screef Clement andre vier[e]
Philip Utenbroeke,[.xxxv.],64,Epistelen van der maniere
Philip Utenbroeke,[.xxxv.],65,Des levens van sinte Peters m[onde].
Philip Utenbroeke,[.xxxv.],66,"Nu ghenoeghe u teser stonde,"
Philip Utenbroeke,[.xxxv.],67,Dat ghi van Peter hebt ghehoert
Philip Utenbroeke,[.xxxv.],68,Sine doet ende sine woert.
Philip Utenbroeke,Van sinte Peternellen.,69,Twonder mach ic u voert tellen
Philip Utenbroeke,Van sinte Peternellen.,70,"Van sijnre dochter Peternel[len],"
Philip Utenbroeke,Van sinte Peternellen.,71,Die al in sinte Peters live
Philip Utenbroeke,Van sinte Peternellen.,72,"Van onghesonde was sere keyti[ve],"
Philip Utenbroeke,Van sinte Peternellen.,5,Soe dat teenre tijd aldus
Philip Utenbroeke,Van sinte Peternellen.,74,Tote sinte Peter sprac Tytus:
Philip Utenbroeke,Van sinte Peternellen.,75,"""Meester, du gheves talre stonde"
Philip Utenbroeke,Van sinte Peternellen.,76,Al ander liede haer ghesonde;
Philip Utenbroeke,Van sinte Peternellen.,77,"Waer om laetstu Peternellen in [quale]?"""
Philip Utenbroeke,Van sinte Peternellen.,10,"- ""Om haer nutscap, weet dat w[ale],"""
Philip Utenbroeke,Van sinte Peternellen.,79,"Sprac hi, ""ende om dat u si cont"
Philip Utenbroeke,Van sinte Peternellen.,80,"Dat si bi mi mach werden gheson[t],"
Philip Utenbroeke,Van sinte Peternellen.,81,"Stant op, diene ons, Peternelle!"""
Philip Utenbroeke,Van sinte Peternellen.,82,Si stont op ghesont als die sne[lle]
Philip Utenbroeke,Van sinte Peternellen.,15,"Ende diende hem, ende daer na saen"
Philip Utenbroeke,Van sinte Peternellen.,84,Hiet hise weder te bedde gaen.
Philip Utenbroeke,Van sinte Peternellen.,85,"Dus waest als sinte Peter woude,"
Philip Utenbroeke,Van sinte Peternellen.,86,"Ende si werd heilich menichfou[de],"
Philip Utenbroeke,Van sinte Peternellen.,87,Ende ghenas in corter stonde
Philip Utenbroeke,Van sinte Peternellen.,20,"Niet allene, mer ghesonde"
Philip Utenbroeke,Van sinte Peternellen.,89,Gaf si meneghen keytive.
Philip Utenbroeke,Van sinte Peternellen.,90,"Nu was si scoen boven alle wi[ve],"
Philip Utenbroeke,Van sinte Peternellen.,91,Ende die mare quam daer ave
Philip Utenbroeke,Van sinte Peternellen.,92,"Voer Flaccus, enen riken grav[e],"
Philip Utenbroeke,Van sinte Peternellen.,25,"Diese te wive heeft begheert,"
Philip Utenbroeke,Van sinte Peternellen.,94,.........er ver...
Philip Utenbroeke,Van sinte Peternellen.,95,"[Met] uwen jonfrouwen, daer ic te di"
Philip Utenbroeke,Van sinte Peternellen.,96,"...tlike mede comen mach."""
Philip Utenbroeke,Van sinte Peternellen.,97,"[Ende] binnen dat hi daer om sach,"
Philip Utenbroeke,Van sinte Peternellen.,30,[Ont]boet si den heyleghen man
Philip Utenbroeke,Van sinte Peternellen.,99,"[Ny]chomedise, diese dan"
Philip Utenbroeke,Van sinte Peternellen.,100,"[Hei]lichlike heeft berect,"
Philip Utenbroeke,Van sinte Peternellen.,101,"[Op] haer bedde si haer strect,"
Philip Utenbroeke,Van sinte Peternellen.,102,[En]de God hevet die ziele ontfaen.
Philip Utenbroeke,Van sinte Peternellen.,35,"[Doe] was daer een maghet wel ghedaen,"
Philip Utenbroeke,Van sinte Peternellen.,104,"[Pe]ternellen ghesellede,"
Philip Utenbroeke,Van sinte Peternellen.,105,[Fe]licula; dese wilde mede
Philip Utenbroeke,Van sinte Peternellen.,106,"[Flacc]us te sinen wive ontfaen,"
Philip Utenbroeke,Van sinte Peternellen.,107,[Maer si] hevet wederstaen.
Philip Utenbroeke,Van sinte Peternellen.,40,"[Doe] hevet hi te haer gheseit,"
Philip Utenbroeke,Van sinte Peternellen.,109,"[Da]t si sijn wijf werde ghereit,"
Philip Utenbroeke,Van sinte Peternellen.,110,[Ofte] dat si dafgode aenbede.
Philip Utenbroeke,Van sinte Peternellen.,111,[En]de teen ende tander mede
Philip Utenbroeke,Van sinte Peternellen.,112,[He]eft si coenlike ontseit.
Philip Utenbroeke,Van sinte Peternellen.,45,[Do]e wert si in den kerker geleit
Philip Utenbroeke,Van sinte Peternellen.,114,[La]nge sonder spise ende daer naer
Philip Utenbroeke,Van sinte Peternellen.,115,"[Wert si ghe]tormenteert zwaer,"
Philip Utenbroeke,Van sinte Peternellen.,116,"[Ende] in een proveye versmoert,"
