author,chapter,line,text
Philip Utenbroeke,[lxiv],1,.....
Philip Utenbroeke,[lxiv],2,Te Michena in die poort
Philip Utenbroeke,[lxiv],3,"Quam sinte Andries, daer grote moort"
Philip Utenbroeke,[lxiv],4,Seven duvele daden onder die lieden;
Philip Utenbroeke,[lxiv],5,"Si laghen, hore ic bedieden,"
Philip Utenbroeke,[lxiv],5,"In graven bi den weghe, mit stene"
Philip Utenbroeke,[lxiv],7,"Worpen si liede doot menich ene,"
Philip Utenbroeke,[lxiv],8,"Als die lieden Andriese vernamen,"
Philip Utenbroeke,[lxiv],9,Mit love si jeghen hem quamen;
Philip Utenbroeke,[lxiv],10,"Si riepen: ""Onse salicheit"
Philip Utenbroeke,[lxiv],10,"Is in dine hant""; hi hevet geseit:"
Philip Utenbroeke,[lxiv],12,"""Wildi geloven, van alre dere"
Philip Utenbroeke,[lxiv],13,"Werdi quite!"" - ""Ja wi, here,"""
Philip Utenbroeke,[lxiv],14,"Riepen si alle, ""na dijn woort""."
Philip Utenbroeke,[lxiv],15,Doe riep hi die duvele voort;
Philip Utenbroeke,[lxiv],15,"Si quamen voor hem, hi hiet se varen;"
Philip Utenbroeke,[lxiv],17,Wech sonder quaet doen si misbaren
Philip Utenbroeke,[lxiv],18,"Ende voeren wech, niement wiste waer."
Philip Utenbroeke,[lxiv],19,Alle die liede doopti daer
Philip Utenbroeke,[lxiv],20,"Ende wyede, bisscop te sine,"
Philip Utenbroeke,[lxiv],20,"Enen goeden man, hiet Celestine."
Philip Utenbroeke,[lxiv],22,Hiena sette sine vaert
Philip Utenbroeke,[lxiv],23,"Andries te Nicomedien waert,"
Philip Utenbroeke,[lxiv],24,Daer men hem brochte jeghen doot
Philip Utenbroeke,[lxiv],25,"Een kint, daeromme rouwe groot"
Philip Utenbroeke,[lxiv],25,"Die liede dreven, diere quamen mede."
Philip Utenbroeke,[lxiv],27,Andries hats ontfermich(e)de
Philip Utenbroeke,[lxiv],28,Ende bat hem doen te verstane
Philip Utenbroeke,[lxiv],29,Hoe den kinde den doot quam ane?
Philip Utenbroeke,[lxiv],30,"Men seidem, daert op sijn bedde lach,"
Philip Utenbroeke,[lxiv],30,"Dat men seven honde comen sach,"
Philip Utenbroeke,[lxiv],32,Diet doden ende scoorden algader.
Philip Utenbroeke,[lxiv],33,"Doe vraechde Andries des kijnts vader,"
Philip Utenbroeke,[lxiv],34,Dat hi hem soude willen geven
Philip Utenbroeke,[lxiv],35,Die sijn kint dade leven.
Philip Utenbroeke,[lxiv],35,"""Ic gheve hem tkint"", heefti geseit."
Philip Utenbroeke,[lxiv],37,Doe dede sinte Andries ghereit
Philip Utenbroeke,[lxiv],38,"Dat kint leven, ende ledet met"
Philip Utenbroeke,[lxiv],39,In die poort; Ons Heren wet
Philip Utenbroeke,[lxiv],40,"Leerdi hem, ende doopte mede;"
Philip Utenbroeke,[lxiv],40,Vele goets dedi daer in die stede.
Philip Utenbroeke,"Noch van denselven, lxv.",42,Goods wet ghinc voort leren scone
Philip Utenbroeke,"Noch van denselven, lxv.",43,Sinte Andries; van Tessalone
Philip Utenbroeke,"Noch van denselven, lxv.",44,"Viel hem .i. jonghelinc ane,"
Philip Utenbroeke,"Noch van denselven, lxv.",45,Om in sijn leren te volstane.
Philip Utenbroeke,"Noch van denselven, lxv.",5,"Nu haddi moeder ende vader rike,"
Philip Utenbroeke,"Noch van denselven, lxv.",47,Die verdroghen dat swaerlike
Philip Utenbroeke,"Noch van denselven, lxv.",48,"Ende mieden den sone, ende baden"
Philip Utenbroeke,"Noch van denselven, lxv.",49,"Dat hi hem anders liete geraden,"
Philip Utenbroeke,"Noch van denselven, lxv.",50,Tkint en micte niet hare bede
Philip Utenbroeke,"Noch van denselven, lxv.",10,Ende winschede dat hare rijchede
Philip Utenbroeke,"Noch van denselven, lxv.",52,"Te niete w(o)orde, opdat si wouden"
Philip Utenbroeke,"Noch van denselven, lxv.",53,"Gode kinnen ende an hem houden,"
Philip Utenbroeke,"Noch van denselven, lxv.",54,"Doe quam Andries, diet hem riet"
Philip Utenbroeke,"Noch van denselven, lxv.",55,"Hare nutscap, maer si ne mictens niet,"
Philip Utenbroeke,"Noch van denselven, lxv.",15,"Als Andries sach al niet sine pine,"
Philip Utenbroeke,"Noch van denselven, lxv.",57,Sloot hi die dore ende ginc te sine.
Philip Utenbroeke,"Noch van denselven, lxv.",58,Doe wilden die ander thuus verbranden
Philip Utenbroeke,"Noch van denselven, lxv.",59,"Ende staker tvier in altehanden,"
Philip Utenbroeke,"Noch van denselven, lxv.",60,Ende tkint blusschede tfier allene
Philip Utenbroeke,"Noch van denselven, lxv.",20,"Mit water, dat was herde clene"
Philip Utenbroeke,"Noch van denselven, lxv.",62,Dat het in tvier warp in Gods namen.
Philip Utenbroeke,"Noch van denselven, lxv.",63,Als vader ende moeder (sic) ende dat vernamen
Philip Utenbroeke,"Noch van denselven, lxv.",64,"Seiden si, dat haer kint ware"
Philip Utenbroeke,"Noch van denselven, lxv.",65,Worden .i. sterc toverare;
Philip Utenbroeke,"Noch van denselven, lxv.",25,Doe wilden si doen mit lederen gaen
Philip Utenbroeke,"Noch van denselven, lxv.",67,Int huus; si die dat bestaen
Philip Utenbroeke,"Noch van denselven, lxv.",68,"Wilden, heeft Onse Here geblent;"
Philip Utenbroeke,"Noch van denselven, lxv.",69,Daer si some of hebben bekent
Philip Utenbroeke,"Noch van denselven, lxv.",70,"Ende riepen: ""Hi is allen goden boven"
Philip Utenbroeke,"Noch van denselven, lxv.",30,"God, daer dese an gheloven."""
Philip Utenbroeke,"Noch van denselven, lxv.",72,"Die nacht quam, entie daer verblent"
Philip Utenbroeke,"Noch van denselven, lxv.",73,"Waren, heeft God licht gesent,"
Philip Utenbroeke,"Noch van denselven, lxv.",74,Ende gewonnen weder haer sien.
Philip Utenbroeke,"Noch van denselven, lxv.",75,Te sinte Andriese gingen si mittien
Philip Utenbroeke,"Noch van denselven, lxv.",35,"Ende baden hem om hare salichede,"
Philip Utenbroeke,"Noch van denselven, lxv.",77,"Ende hi, die dat gherne dede,"
Philip Utenbroeke,"Noch van denselven, lxv.",78,Leert se salichlike algader;
Philip Utenbroeke,"Noch van denselven, lxv.",79,Maer des kints moeder ende vader
Philip Utenbroeke,"Noch van denselven, lxv.",80,Bleven al ongeleert
Philip Utenbroeke,"Noch van denselven, lxv.",40,"Ende sijn in haer quaet thuus gekeert,"
Philip Utenbroeke,"Noch van denselven, lxv.",82,Ende storven beide binnen .l. daghen.
Philip Utenbroeke,"Noch van denselven, lxv.",83,Nu heeft die jongelinc gewagen
Philip Utenbroeke,"Noch van denselven, lxv.",84,"Sinte Andriese, ende gebeden"
Philip Utenbroeke,"Noch van denselven, lxv.",85,"So, dat si ghingen in der steden"
Philip Utenbroeke,"Noch van denselven, lxv.",45,"Te Tessalone, daer mittien"
Philip Utenbroeke,"Noch van denselven, lxv.",87,Tkint van menigen was besien;
Philip Utenbroeke,"Noch van denselven, lxv.",88,Entie jongelinc began
