author,chapter,line,text
Philip Utenbroeke,[...],1,(1) Dat hi was die hem toechde besonder:
Philip Utenbroeke,[...],2,In die zee dat vreeselike wonder
Philip Utenbroeke,[...],3,¶ In sinen tiden so ghesciede
Philip Utenbroeke,[...],4,In frigien dat die liede
Philip Utenbroeke,[...],5,Hem wilden ieghen den keyser zetten
Philip Utenbroeke,[...],6,Die alst wiste omme beletten
Philip Utenbroeke,[...],7,send[de] hi sijn here derwaerd
Philip Utenbroeke,[...],8,Drie princen bewaerden die vaerd
Philip Utenbroeke,[...],9,(2) Want hem die keyser hadde bevolen
Philip Utenbroeke,[...],10,Dese quamen met haren scolen
Philip Utenbroeke,[...],11,In die zee van licien land
Philip Utenbroeke,[...],12,Tempeest quam hem up te hand
Philip Utenbroeke,[...],13,Dat si tseils niet en consten genieten
Philip Utenbroeke,[...],14,Ende moesten die ankers scieten
Philip Utenbroeke,[...],15,Ende riden vor tland al dare
Philip Utenbroeke,[...],16,Vele van dien waerre in vare
Philip Utenbroeke,[...],17,Ende ...
Philip Utenbroeke,[...],1,(3) Daer toe snelle up ...
Philip Utenbroeke,[...],19,Men seide dat si wa...
Philip Utenbroeke,[...],20,Daer men die iusti...
Philip Utenbroeke,[...],4,Derward liep hi met...
Philip Utenbroeke,[...],22,Nochtan was hi s...
Philip Utenbroeke,[...],23,Ende vandse alle ghecn...
Philip Utenbroeke,[...],24,Verbonden die ogen: ende...
Philip Utenbroeke,[...],8,Ende den hangheman ...
Philip Utenbroeke,[...],26,(4) Hi die des zwards niet en ...
Philip Utenbroeke,[...],27,Namt den hangheman v...
Philip Utenbroeke,[...],28,Die ghebondene hi om...
Philip Utenbroeke,[...],12,Ende leedetse met hem inde...
Philip Utenbroeke,[...],30,¶ Ooc seide hi openbare dese v...
Philip Utenbroeke,[...],31,Over die ic onschuldich...
Philip Utenbroeke,[...],32,So bem ic te stervene g...
Philip Utenbroeke,[...],16,Ende lider ...
Philip Utenbroeke,[...],1,(5) ...at met tallen zoete
Philip Utenbroeke,[...],35,...ne van alre boete
Philip Utenbroeke,[...],36,... een waren daer:
Philip Utenbroeke,[...],4,...se. Ende daer naer:
Philip Utenbroeke,[...],38,... voeren si van dan
Philip Utenbroeke,[...],39,...n den heligen man
Philip Utenbroeke,[...],40,... frigien lande
Philip Utenbroeke,[...],8,...nder hare viande
Philip Utenbroeke,[...],42,(6) ...n alt land vredelike
Philip Utenbroeke,[...],43,... roomsce keyserike
Philip Utenbroeke,[...],44,... ghedaen was al tesamen
Philip Utenbroeke,[...],12,... [consta]ntinopele si quamen
Philip Utenbroeke,[...],46,... ontfaen waren wale
Philip Utenbroeke,[...],47,... keyser te siere zale
Philip Utenbroeke,Item hoe hi noch iij. princen,16,Ote  quitete vander doet
Philip Utenbroeke,Item hoe hi noch iij. princen,1,(7) Al ...egenworde niet
Philip Utenbroeke,Item hoe hi noch iij. princen,50,So oft ons ... di ghesciet
Philip Utenbroeke,Item hoe hi noch iij. princen,51,Dat wi werden gequijt van rouwen:
Philip Utenbroeke,Item hoe hi noch iij. princen,4,Met vruechden dijn anscijn soete
Philip Utenbroeke,Item hoe hi noch iij. princen,53,Ende daerna cussen die voete
Philip Utenbroeke,Item hoe hi noch iij. princen,54,¶ Snachts daerna was gelegen
Philip Utenbroeke,Item hoe hi noch iij. princen,55,Die keyser ende soude slapens plegen
Philip Utenbroeke,Item hoe hi noch iij. princen,8,(8) Doe quaem vor hem sint niclaeus gedane
Philip Utenbroeke,Item hoe hi noch iij. princen,57,Die hem te hand dus sprac ane
Philip Utenbroeke,Item hoe hi noch iij. princen,58,Twi hebstu constantijn ter doot:
Philip Utenbroeke,Item hoe hi noch iij. princen,59,Gheiugierd met onrecht groot:
