author,chapter,line,text
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],1,[................................]
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],2,"Dat in rade doe uinc, dat die gone"
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],3,"Die deken in liet comen na tgone,"
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],4,"Ende met pinen georlovede das,"
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],20,Dat hem daer geleent was
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],6,"Een outhaer, dat daer besiden stoet,"
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],7,Daer men onser Vrouwen fierter up moet
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],8,"Setten, sal soe daer binnen staen."
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],9,Entie coopmans quamen gegaen
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],25,"Some, die oec hadden gewesen"
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],11,Te Wincestre ende gehort van desen
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],12,Fiertre miraclen harde scone.
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],13,Deser vele quamen na tgone
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],14,Ende offerden onser Vrouwen teren.
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],30,Dus volgheden hem vele andre heren.
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],16,"Ende als die deken dit heift vernomen,"
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],17,"Es hi te gonen lieden comen,"
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],18,"Die metten fiertre waren comen daer,"
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],19,"Ende deedse uter kerken daer naer,"
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],35,Daer si hare paerde ende haer gewaden
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],21,"Jammerlike moesten begaden,"
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],22,Want het reynde ende was quaet weder.
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],23,"Dus voeren si vort ende weder,"
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],24,Dat si niewer conden gewinnen
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],40,"Herberghe, so vul was die stat binnen"
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],26,Van coopmans die daer vergadert waren.
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],27,"Dus quamen si tere vrouwe gevaren,"
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],28,"Die haers ontfaeremde, ende seide zaen"
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],29,"Tote haren man: ""Laet ons ontfaen"
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],45,"Dese liede in onse woninghe,"
Lodewijk van Velthem,[ Eerste blad  - XXXVII.],31,"Die wi gemaect hebben niewinghe"","
