author,chapter,line,text
Lodewijk van Velthem,[.lxiv.],1,"Van den paus Innocent,"
Lodewijk van Velthem,[.lxiv.],2,".xij. abden van ordine gereet,"
Lodewijk van Velthem,[.lxiv.],3,"Die men cesteaus nu heet,"
Lodewijk van Velthem,[.lxiv.],4,Mit enen legate van Rome;
Lodewijk van Velthem,[.lxiv.],5,Ende elc predicte ende gome
Lodewijk van Velthem,[.lxiv.],6,Van Albigensen in dat lant
Lodewijk van Velthem,[.lxiv.],7,"Ende bringhen ter kerstine hant,"
Lodewijk van Velthem,[.lxiv.],8,Dat si daden so datter bisscoppe mede
Lodewijk van Velthem,[.lxiv.],9,Ende pape ende clerke ter stede
Lodewijk van Velthem,[.lxiv.],10,Worden gheset ende daer ontfaen.
Lodewijk van Velthem,[.lxiv.],11,"Sinte Dominicus, sonder waen,"
Lodewijk van Velthem,[.lxiv.],12,Was in dat lant oec bekent
Lodewijk van Velthem,[.lxiv.],13,"Ende van daer an prediken sent,"
Lodewijk van Velthem,[.lxiv.],14,"Als ghi hier na wel sult verstaen,"
Lodewijk van Velthem,[.lxiv.],15,Hoe hi began die doghet saen.
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,16,"Sinte Dominicus, als wijt horen,"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,17,"Was wt Hyspanien geboren,"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,18,Ute enen dorpe heet Calaroga.
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,19,"Een sijn petrijn oec daerna,"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,5,"Diene hief uter vonten daer,"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,21,"Doe hi ionc was, droemde haer"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,22,Dat hi een sterre hadde vor thooft
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,23,"Die claerre sceen, des gelooft,"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,24,So dat haer dochte dat al tlant
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,10,Daer of verlichte alte hant
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,26,"Doe hi was een luttel out,"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,27,Ter scholen setti sijn gewout
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,28,"Ende leerde so wel ende neernstelike,"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,29,"Dat hi wort van sinne so rike,"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,15,"Van alre sciensien, van alre aert,"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,31,"Ende van doechden so vermaert,"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,32,Dat sijns ghelijc niene was.
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,33,Dese mare liep doe na das
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,34,In Hyspanien harde groot
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,20,Van sire doghet die hi doet;
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,36,Want sine boeke vercochti mede
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,37,Ende gafse te menigher stede.
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,38,Menighen groten riken man
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,39,"Bekeerdi namaels, ende wort dan"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,25,Sijn geselle in armoeden groot.
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,41,"In vasten, in beden, in odmoet,"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,42,"Was hi altoos, nacht ende dach."
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,43,Doe van Oxomensen (sic) sach
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,44,"Sijn goede leven, vercoos hine daer"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,30,"Ende maecten canonic regulaer,"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,46,Daer hi onder die canoniken saen
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,47,Groten name heeft ontfaen.
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,48,"Een boec haddi, daer hi in las"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,49,Wat der herten zuverheit was
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,35,Ende van godliken leven mede;
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,51,Ende als hi dan begonste gerede
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,52,Te pensen om al dese saken
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,53,Ende sijn herte niet conde volmaken
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,54,"Al sijn ghepens in godlicheden,"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,40,Hier om heefti dickent leden
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,56,"Grote pine, want hijt al"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,57,"Wilde begripen, groot ende smal,"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,58,In sijn herte die gracie Ons Heren;
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,59,"Ende dat hem dies yet soude ontkeren,"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,45,Was sere ieghen sinen wille.
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,61,"Selden lach hi erghent stille,"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,62,Hine bede altoos mitten monde;
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,63,"Ende als hi was teniger stonde,"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,64,"Daert hem yet wort benomen,"
Lodewijk van Velthem,Van Sinte Dominicus .lxv.,50,So wildijt mitter herten volcomen.
Lodewijk van Velthem,Van sinen goeden leven .lxvi.,66,Van Castele coninc Adelfonsus
Lodewijk van Velthem,Van sinen goeden leven .lxvi.,67,"Bat Dicatuse, den biscop, aldus"
Lodewijk van Velthem,Van sinen goeden leven .lxvi.,68,Dat hi voer tot Marchyas
Lodewijk van Velthem,Van sinen goeden leven .lxvi.,69,Mit sinen zone ende provede das
Lodewijk van Velthem,Van sinen goeden leven .lxvi.,5,Of hi een huwelijc na tgone
Lodewijk van Velthem,Van sinen goeden leven .lxvi.,71,Tusschen sire dochter ende sinen zone
