author,chapter,line,text
Lodewijk van Velthem,[.XXXV.],1,[..................................]
Lodewijk van Velthem,[.XXXV.],2,"Van Vrancrike als een lewe doet,"
Lodewijk van Velthem,[.XXXV.],3,"Die sine proye heeft onder voet,"
Lodewijk van Velthem,[.XXXV.],4,"Ende een quame ende woudse hem nemen,"
Lodewijk van Velthem,[.XXXV.],5,Dat soudi herde node getemen:
Lodewijk van Velthem,[.XXXV.],5,"Diere gelike vacht die coninc,"
Lodewijk van Velthem,[.XXXV.],7,Ende sprac aldus te dier dinc:
Lodewijk van Velthem,[.XXXV.],8,"""Vecht, ghi kersten! om Gode teren!"
Lodewijk van Velthem,[.XXXV.],9,Ende wert hier alle merteleren!
Lodewijk van Velthem,[.XXXV.],10,Ende niement en laet hem hier nu vaen!
Lodewijk van Velthem,[.XXXV.],10,"Want ons is liever, sonder waen,"
Lodewijk van Velthem,[.XXXV.],12,Dat wi wreken die Gods ande
Lodewijk van Velthem,[.XXXV.],13,"Nu op dese Gods viande,"
Lodewijk van Velthem,[.XXXV.],14,"Dan wi ons gaven in handen."""
Lodewijk van Velthem,[.XXXV.],15,Mittesen woorden sloech hi ten tanden
Lodewijk van Velthem,[.XXXV.],15,"In die viande ende maecte een scaert,"
Lodewijk van Velthem,[.XXXV.],17,So datter XV achterwaert
Lodewijk van Velthem,[.XXXV.],18,"Traken, diene daer sagen comen."
Lodewijk van Velthem,[.XXXV.],19,"Hi heeft daer enen tlijf genomen,"
Lodewijk van Velthem,[.XXXV.],20,Dien hi altemale doerreet
Lodewijk van Velthem,[.XXXV.],20,Mit eenre glavien; daer na gereet
Lodewijk van Velthem,[.XXXV.],22,Trac hi sijn zwert ende sloecher mede
Lodewijk van Velthem,[.XXXV.],23,Hem III van haren perde gerede.
Lodewijk van Velthem,[.XXXV.],24,"Sijn broeder Alfons van Poytau,"
Lodewijk van Velthem,[.XXXV.],25,"Ende Karel sijn broeder van Eniau,"
Lodewijk van Velthem,[.XXXV.],25,Volchdem na ende deden niet min
Lodewijk van Velthem,[.XXXV.],27,Dan die coninc dede int beghin;
Lodewijk van Velthem,[.XXXV.],28,"Want Karel proefdem herde wale,"
Lodewijk van Velthem,[.XXXV.],29,"Hi sloecher meer dan XL te dale,"
Lodewijk van Velthem,[.XXXV.],30,Eer hi ye toech achter;
Lodewijk van Velthem,[.XXXV.],30,"Alfons, die sinen lachter"
Lodewijk van Velthem,[.XXXV.],32,"Oec wreken woude op die Sarresine,"
Lodewijk van Velthem,[.XXXV.],33,"Dede hem daer wel grote pine,"
Lodewijk van Velthem,[.XXXV.],34,Want hi doerbrac die een scare;
Lodewijk van Velthem,[.XXXV.],35,"Ende eer hi doer quam daer nare,"
Lodewijk van Velthem,[.XXXV.],35,"So wort sijn ors onder hem gesteken,"
Lodewijk van Velthem,[.XXXV.],37,Dat hi coenlike daer sal wreken;
Lodewijk van Velthem,[.XXXV.],38,"Want die ghene diet stac,"
Lodewijk van Velthem,[.XXXV.],39,"Daer op hijt saen ter steden wrac,"
Lodewijk van Velthem,[.XXXV.],40,Want hine van voren stac in
Lodewijk van Velthem,[.XXXV.],40,"Mit sinen zwerde int beghin,"
Lodewijk van Velthem,[.XXXV.],42,Also als hi hem verlichten soude
Lodewijk van Velthem,[.XXXV.],43,"Op sijn pert, alst God oec woude,"
Lodewijk van Velthem,[.XXXV.],44,Dat tzwert banderside dore quam.
Lodewijk van Velthem,[.XXXV.],45,"Die ghene viel doot, dat pert hi nam"
Lodewijk van Velthem,[.XXXV.],45,"Ende sprancker op mit snelre vaert,"
Lodewijk van Velthem,[.XXXV.],47,"Ende maecte om hem een scaert,"
Lodewijk van Velthem,[.XXXV.],48,"So dat si achtervloen, godweet."
Lodewijk van Velthem,[.XXXV.],49,Dit was teerste beghin gereet.
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,50,"Nu seldi vort hier verstaen,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,51,Hoet mitten onsen sal vergaen.
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,52,"Die coninc, die daer zere street"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,53,Ende inwaert altoos henen reet
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,5,"Ende niet achter trecken en wilde,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,55,"Maer altenen, als een coninc milde,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,56,Sloech hi ende stac die Sarrasine;
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,57,Ende om die grote pine
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,58,"Wort hi nu beringet daer,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,10,"Dat hi gevaen wort daer naer,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,60,Ende het coste hem C eer.
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,61,"Nu hoort, hoe menigen keer"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,62,Hi dede eer hi wort gevaen.
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,63,Hi was oec eer comen anden soudaen;
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,15,Nochtan hadde die soudaen bi heme
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,65,"Hem VIM, alsict verneme,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,66,"Diene alle wachten ende hoeden nauwe,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,67,Datten niement daer ontvlauwe;
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,68,"Ende daer hi ten soudaen wilde comen,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,20,Wort hi aldaer opgenomen;
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,70,"Maer si C eer moede waren,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,71,Eer sine gevingen oec daer naren.
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,72,"Als dit zijn broeder heeft verstaen,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,73,"Dat die coninc dus is gevaen,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,25,Mit hem XX wel omtrent
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,75,"Is hi gereden so sere na tgent,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,76,"Dat hi die gene aenstreet saen,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,77,"Die den coninc hadden gevaen,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,78,Ende sloecher daer VI doot.
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,30,Doe quam daer een groot conroot
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,80,"Van achter hem, ende begonden te slane,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,81,"Entie van voren quamen oec ane,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,82,"So dat hi hem moeste geven,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,83,Of si hadden verloren tleven.
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,35,Dus wort Alfons oec gevaen.
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,85,"Doe dese heren hadde die soudaen,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,86,Dochtem dat hi hadde den zege.
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,87,Reet hi vaste selve en wege
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,88,In den strijt ende trooste die sine.
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,40,"Dus quamen donse in groter pine,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,90,Ende tormentense ende sceidense met.
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,91,"Nochtan dat hem meest let,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,92,"Dat si meest daer anesien,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,93,Dat si tcruce namen na dien
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,45,Ende gheesseldent gelijc die Joden daden.
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,95,"Dit mochte den kersten sere scaden,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,96,"Dat sijt moesten anesien,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,97,Ende niet en mochten doen te dien.
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,98,"Ja, si spoegen in sijn aensichte,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,50,Ende stakent mit haren voeten ghedichte!
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,100,"Desen jamer liet onse Here gescien,"
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,101,Om dat sijs verdient hadden vor dien
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,102,Mit sonden die si hadden gedaen:
Lodewijk van Velthem,Hoe donse alle worden gevaen. XXXVI.,103,Hier om lietse onse Here vaen.
Lodewijk van Velthem,"Hoe die coninc verdingede jeghen den soudaen, ende te Damiaten voer . XXXVII.",104,Hier na over een tijt daer naer
Lodewijk van Velthem,"Hoe die coninc verdingede jeghen den soudaen, ende te Damiaten voer . XXXVII.",105,"So dede vragen, over waer,"
Lodewijk van Velthem,"Hoe die coninc verdingede jeghen den soudaen, ende te Damiaten voer . XXXVII.",106,Die soudaen den coninc saen
