author,chapter,line,text
Lodewijk van Velthem,(I.) [.xxxiv.],1,[......................]
Lodewijk van Velthem,(I.) [.xxxiv.],2,"........ doe Marien ane,"
Lodewijk van Velthem,(I.) [.xxxiv.],3,"Al suchtende met drover herten,"
Lodewijk van Velthem,(I.) [.xxxiv.],4,Bitterlike weenende ende met groter smerten:
Lodewijk van Velthem,(I.) [.xxxiv.],5,"""Ic sondare, die in mier joncheit"
Lodewijk van Velthem,(I.) [.xxxiv.],5,"Dese fiertere hadde bereit,"
Lodewijk van Velthem,(I.) [.xxxiv.],7,"Den bisscoppe Helinande teeren,"
Lodewijk van Velthem,(I.) [.xxxiv.],8,"Daer hi in leide van desen heren,"
Lodewijk van Velthem,(I.) [.xxxiv.],9,"Thovet van sente Waleri,"
Lodewijk van Velthem,(I.) [.xxxiv.],10,"Ende oec van sente Montani,"
Lodewijk van Velthem,(I.) [.xxxiv.],10,Die monc was ende oec voerseide
Lodewijk van Velthem,(I.) [.xxxiv.],12,"Van sente Remijs geborenicheide,"
Lodewijk van Velthem,(I.) [.xxxiv.],13,"Ende vander melc Celinen mede,"
Lodewijk van Velthem,(I.) [.xxxiv.],14,"Sire moeder, onfinc ter stede"
Lodewijk van Velthem,(I.) [.xxxiv.],15,"Sijn sien, alse hi selve voerseide:"
Lodewijk van Velthem,(I.) [.xxxiv.],15,Dat ghi dese ontfermicheide
Lodewijk van Velthem,(I.) [.xxxiv.],17,"In mi daet nu, ghenadige moeder!"
Lodewijk van Velthem,(I.) [.xxxiv.],18,"Die naest Gode sijt behoeder,"
Lodewijk van Velthem,(I.) [.xxxiv.],19,Uutnemende boven hem allen!
Lodewijk van Velthem,(I.) [.xxxiv.],20,"Ende of mi mochte bi u gevallen,"
Lodewijk van Velthem,(I.) [.xxxiv.],20,"Ghelijc dat dede dese voerseit,"
Lodewijk van Velthem,(I.) [.xxxiv.],22,Soe datic sien mochte ghereit
Lodewijk van Velthem,(I.) [.xxxiv.],23,"Enich der fiertere, die ic eere"
Lodewijk van Velthem,(I.) [.xxxiv.],24,"Maecte!"" Al wenende harde seere,"
Lodewijk van Velthem,(I.) [.xxxiv.],25,Dede hi hem maken daer ter stat
Lodewijk van Velthem,(I.) [.xxxiv.],25,"Heylech water, ende dranc na dat,"
Lodewijk van Velthem,(I.) [.xxxiv.],27,"Ende waecte dien nacht den fierter bi,"
Lodewijk van Velthem,(I.) [.xxxiv.],28,Ende vaste ende dede soe dat hi
Lodewijk van Velthem,(I.) [.xxxiv.],29,Siende wart ter morgenstont.
Lodewijk van Velthem,(I.) [.xxxiv.],30,Ene ander mieracle wart cont:
Lodewijk van Velthem,(I.) [.xxxiv.],30,Ene joncfrouwe hadde van hare gebort
Lodewijk van Velthem,(I.) [.xxxiv.],32,"Ene hant, die was al versmort;"
Lodewijk van Velthem,(I.) [.xxxiv.],33,"Die es ghenesen, al sonder blame,"
