author,chapter,line,text
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,1,Doemen screef ons Heren jaer
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,2,"MCC ende X vorwaer,"
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,3,"So wonnen onse liede Minerbiam,"
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,4,Ende daer in oec menegen man;
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,5,Ende alle die wilden afstaen
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,6,"Haers ongeloeven, lietmen gaen"
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,7,Quite ende vri al ongescint.
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,8,Nochtan vantmen daer na sint
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,9,"C ende LXXX, die hem eer lieten"
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,10,"Verberren, eer sijs wilden genieten"
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,11,Dat si haerre quaetheit afgingen.
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,12,Doe trockense na dien dingen
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,13,Vore Terewijc enen casteel.
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,14,Daer scoet een een scaerp quareel
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,15,"Met een armborste so groet,"
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,16,"Dat was boven maten genoet,"
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,17,Ende geraecte der onser een
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,18,Vore sine borst: op enen steen
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,19,"Moeste die gene averecht vallen,"
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,20,Ende gaf enen quas met allen
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,21,"So vreselijc ende so groet,"
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,22,Dat al donderde ende verscoet.
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,23,Nochtan die gene opstont
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,24,Ongequetst ende ongewondt;
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,25,No gat no score en hadde hi mede
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,26,In sijn cleet te geenre stede.
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,27,"Doe si daer lange hadden gelegen,"
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,28,"Wert die casteel opgedregen,"
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,29,Ende som vloen si tsnachts uut.
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,30,"Maer die si haer voeren overluut,"
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,31,Sloegen donse al te doot.
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,32,"Een Geeraert, een buggere groot,"
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,33,III papen ende L kerstine
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,34,Dede hi met viere grote pine.
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,35,"III dage dede hise berren gereet,"
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,36,"Ende nochtan daer na, godweet,"
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,37,So worden si na dien stonden
Lodewijk van Velthem,Hoe die buggeren worden gestoert. LXXIII.,38,Van den viere ongescaedt vonden.
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,39,"In desen tiden was een Amelrijc,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,40,"Een groet elerc, mer sekerlijc"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,41,"Int geloeve was hi clene,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,42,"Want hi wilde seggen allene,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,5,Dat iegewele soude geloeven
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,44,Dat hi Gods let van hier boven
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,45,Selve ware: ende dit oec es
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,46,"Een article, des sijt gewes,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,47,Daer de man niet en mach sonder
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,10,Behouden bliven. Dit grote wonder
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,49,Dede hi menegen daer verstaen;
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,50,Ende hier omme so wert hi saen
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,51,Van menegen kerstinen meester nu
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,52,"Wederseit, dat seggic u."
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,15,"Doe hi gevoelde den wederstoet,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,54,Ende dat die paus mede geboet
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,55,"Hem te priveerne, ofte dat hi"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,56,"An onse geloeve bleve vri,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,57,Doe lyde hi metten monde das
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,20,"Dat tsine algader niet en was,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,59,Mer in therte bleef hi staende
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,60,Vanden geloeve dat hi waende;
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,61,Ende om dat hi hier in bleef
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,62,"Ende heimelec jegen tgeloeve screef,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,25,Seit men dat hi saen daer naer
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,64,Op sijn bedde verberrende al daer
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,65,Ende also sinen inde dede;
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,66,Ende na sine doot mede
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,67,Hilt hem selc an sine lere
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,30,"Ende maecte werringe daer na mere,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,69,"Ende wilden maken ene nuwe wet,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,70,Ende hebben dandere verset.
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,71,Si seiden oec dat tsacrament soude
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,72,"Comen teenen inde houde,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,35,Ende die Heilege Geest gerede
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,74,"Van nieus soude beginnen mede,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,75,"Ende ander dingen seiden si met,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,76,Die niet goet en waren geset.
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,77,Doe dese mare quam bat vort
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,40,"Te Petere, den bisscop van Parijs der port,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,79,"Ende tsconinx raet van Vrankerike,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,80,Dese II sendden heimelike
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,81,"Meester Radolve van Namen geboren,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,82,"Dat hi dit heimelijc soude verhoren,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,45,Ende hi die hem doe gerede
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,84,"Met deser wet mingde mede,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,85,Ende riet daer toe ende woudse sterken.
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,86,Dus ondervant hi papen ende clerken
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,87,"Ende leeke, beide man ende wijf,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,50,Die dit geloeve hilden stijf.
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,89,Dese worden daer na alle gevaen
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,90,"Ende te Parijs bracht saen,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,91,Ende daer gecondampneert met
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,92,"Ende van haerre ordinen ontset,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,55,Ende te hove gelevert daer naer.
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,94,Doe deedse de coninc alle daer
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,95,"Berren buten der stat gereet,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,96,Sonder selc wijfken die niet en weet
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,97,Wat si daer ane hadde mesdaen.
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,60,"Amelriken oec, die sonder waen"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,99,"Op tkerchof was geleit vore nu,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,100,"Heeft men verwaten, seggic u,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,101,Ende oec sine beene mede
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,102,"Int slijc gewoerpen te meneger stede,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,65,"Ende andere, daer ment conde verstaen,"
Lodewijk van Velthem,Van meester Amelrijes heresien. LXXIV.,104,"Ontgroefmen, ende es aldus gedaen."
Lodewijk van Velthem,"Van den vierden paus Innocente, ende somege ander dinge.",105,Int jaer ons Heren dusentech
Lodewijk van Velthem,"Van den vierden paus Innocente, ende somege ander dinge.",106,"CC ende XLIII,"
Lodewijk van Velthem,"Van den vierden paus Innocente, ende somege ander dinge.",107,Doent II jaer hadde geweest
Lodewijk van Velthem,"Van den vierden paus Innocente, ende somege ander dinge.",108,"Sonder paus, alsomen leest,"
Lodewijk van Velthem,"Van den vierden paus Innocente, ende somege ander dinge.",5,"So wert gecoren van cardinalen,"
Lodewijk van Velthem,"Van den vierden paus Innocente, ende somege ander dinge.",110,"Met concente, met gemeenre talen,"
Lodewijk van Velthem,"Van den vierden paus Innocente, ende somege ander dinge.",111,"Mijn her Sinnebaut, die na das"
