author,chapter,line,text
Lodewijk van Velthem,[...],1,[.....................]
Lodewijk van Velthem,[...],2,Een goet leven al haren tijt.
Lodewijk van Velthem,[...],3,Doe Cenomamius in dat abijt
Lodewijk van Velthem,[...],4,"Hadde geweist wel een jaer,"
Lodewijk van Velthem,[...],5,So dedem menighe pine zwaer
Lodewijk van Velthem,[...],5,Die quade gheest; want hi
Lodewijk van Velthem,[...],7,"Was hem gherne altoes bi,"
Lodewijk van Velthem,[...],8,"Om dat hi hadde, haddi gemoghen,"
Lodewijk van Velthem,[...],9,Gherne yewer in bedroghen.
Lodewijk van Velthem,[...],10,Hi dreghedenne snachts menichwerven
Lodewijk van Velthem,[...],10,"Ende seide, hine dade gene bederven,"
Lodewijk van Velthem,[...],12,"Hine soude daer niet moghen bliven,"
Lodewijk van Velthem,[...],13,Hi soudene van danen verdriven.
Lodewijk van Velthem,[...],14,"Alse dit langhe hadde geduurt,"
Lodewijk van Velthem,[...],15,"Ende hijt dicke hadde sere besuurt,"
Lodewijk van Velthem,[...],15,So liep hi altoes ter bede;
Lodewijk van Velthem,[...],17,"Ende als hi yet anders dede,"
Lodewijk van Velthem,[...],18,"So was hi hem altoes jegen,"
Lodewijk van Velthem,[...],19,Als die gene altoes pleghen
Lodewijk van Velthem,[...],20,"Die dandre gherne verdriven,"
Lodewijk van Velthem,[...],20,Hoe dat sine moghen ontliven.
Lodewijk van Velthem,[...],22,"Nu geviel up ene ure,"
Lodewijk van Velthem,[...],23,Daer hi jegen die quade figure
Lodewijk van Velthem,[...],24,"Sat ende street met worden,"
Lodewijk van Velthem,[...],25,Dat hi ene stemme secgen horde:
Lodewijk van Velthem,[...],25,"""Di sout gedinken vort, hoet gaet,"
Lodewijk van Velthem,[...],27,Een vers dat in den zouter staet:
Lodewijk van Velthem,[...],28,"""Deus, in nomine tuo salvum me fac."""""
Lodewijk van Velthem,[...],29,"Doe die stemme dit verskin sprac,"
Lodewijk van Velthem,[...],30,"Horet die gene ende seit altenen,"
Lodewijk van Velthem,[...],30,Alsene die viant wilde ontspenen;
Lodewijk van Velthem,[...],32,"Ende altoes als hi dit seide,"
Lodewijk van Velthem,[...],33,"Sone was daer geen langer beide,"
Lodewijk van Velthem,[...],34,Die duvel en vlo van hem daer;
Lodewijk van Velthem,[...],35,"Ende hi was gewapent oec, vorwaer,"
Lodewijk van Velthem,[...],35,"Met desen worden in diere gedane,"
Lodewijk van Velthem,[...],37,Als of hi hadde enen hellem ane.
Lodewijk van Velthem,[...],38,"Doe die duvel dat gesach,"
Lodewijk van Velthem,[...],39,"Dat hier ane so grote cracht lach,"
Lodewijk van Velthem,[...],40,Ende hi so wel den versekine
Lodewijk van Velthem,[...],40,"Getrauwede, seide hi dit in scine:"
Lodewijk van Velthem,[...],42,"""O zot, dat wi di in scerne"
Lodewijk van Velthem,[...],43,"Hebben geleert, secghestu so gherne!"
Lodewijk van Velthem,[...],44,"Hets wel gedaen! sech dese word,"
Lodewijk van Velthem,[...],45,Die du van ons heves gehort;
Lodewijk van Velthem,[...],45,"Wi bidden di, hout di daer an!"""
Lodewijk van Velthem,[...],47,"Doe dit horde ghene goede man,"
Lodewijk van Velthem,[...],48,Twifeldi sere wat hi mochte
Lodewijk van Velthem,[...],49,"Hier mede doen, want hi dochte"
Lodewijk van Velthem,[...],50,Dat niet goet was dat hi seide.
Lodewijk van Velthem,[...],50,"Hine was geen clerc, maer in simpelheide"
Lodewijk van Velthem,[...],52,"Was hi sere; daer omme hi peinsde,"
Lodewijk van Velthem,[...],53,Oftie duvel dit yet veinsde.
Lodewijk van Velthem,[...],54,"Doe vraghedi enen clerc na desen,"
Lodewijk van Velthem,[...],55,Wat dit versekin mochte wesen:
Lodewijk van Velthem,[...],55,Dit hordi ere stemmen tellen.
Lodewijk van Velthem,[...],57,"Die clerc ginc hem dat vers spellen,"
Lodewijk van Velthem,[...],58,"Wat in Dietsch te secgne ware,"
Lodewijk van Velthem,[...],59,Entie broeder leerde daer nare
Lodewijk van Velthem,[...],60,"Den psallem vort altemale,"
Lodewijk van Velthem,[...],60,"So dat hine conde wale,"
Lodewijk van Velthem,[...],62,Ende hier mede warti bewacht
Lodewijk van Velthem,[...],63,"Vanden viant, diere dicke jegen vacht."
Lodewijk van Velthem,[...],64,In enen winter up ene nacht
Lodewijk van Velthem,[...],65,Na die vigilien so worden bedacht
Lodewijk van Velthem,[...],65,"Some die broedere, datsi daer naer"
Lodewijk van Velthem,[...],67,"Met kersen bleven lesende daer,"
Lodewijk van Velthem,[...],68,Ende dese bleef in den cloester allene
Lodewijk van Velthem,[...],69,In sine bedinghe algemene.
Lodewijk van Velthem,[...],70,"Ende doe hi sat ende bat,"
Lodewijk van Velthem,[...],70,Hordi ene stemme ter stat
Lodewijk van Velthem,[...],72,Vanden hemele neder geweghet.
Lodewijk van Velthem,[...],73,"- ""Die goede liede,"" heift soe geseghet,"
Lodewijk van Velthem,[...],74,"""Die du sies in die capelle daren,"
Lodewijk van Velthem,[...],75,"Dat sijn Gods martelaren."""
Lodewijk van Velthem,[...],75,Int selve jaer recht na desen
Lodewijk van Velthem,[...],77,Dochte den genen inden cloester wesen
Lodewijk van Velthem,[...],78,"So menich duvel up ene tijt,"
Lodewijk van Velthem,[...],79,Datsi aldie werelt wijt
Lodewijk van Velthem,[...],80,"Mochten vervullen, ende dese quadijen"
Lodewijk van Velthem,[...],80,Hadden ommeringhet met haere partijen
Lodewijk van Velthem,[...],82,"Alden cloester in deser maniere,"
Lodewijk van Velthem,[...],83,Als of sine souden destrueren sciere.
Lodewijk van Velthem,[...],84,"Ende als die gene dit gesach,"
Lodewijk van Velthem,[...],85,"Sprac hi: ""God! wat dit wesen mach,"
