author,chapter,line,text
Hadewijch,I,1,"Ay, al es nu die winter cout,"
Hadewijch,I,2,"Cort die daghe ende die nachte langhe,"
Hadewijch,I,3,"Ons naket saen een somer stout,"
Hadewijch,I,4,Die ons ute dien bedwanghe
Hadewijch,I,5,Schiere sal bringhen: dat es in schine
Hadewijch,I,6,Bi desen nuwen iare;
Hadewijch,I,7,Die [h]asel brinct ons bloemen fine;
Hadewijch,I,8,Dat es een teken openbare.
Hadewijch,I,9,"- Ay, vale, vale, milies -"
Hadewijch,I,10,Ghi alle die nuwen tide
Hadewijch,I,11,"- Si dixero, non satis est -"
Hadewijch,I,12,Om minne wilt wesen blide.
Hadewijch,II,13,"Ende die van fieren moede sijn,"
Hadewijch,II,14,Wat storme hen dore die minne
Hadewijch,II,15,"Ontmoet, ontfaense also fijn"
Hadewijch,II,16,"Alse: ""dit es daer ic al an winne"
Hadewijch,II,17,Ende winnen sal; God gheve mi al
Hadewijch,II,18,Datter minnen best become;
Hadewijch,II,19,"Na haerre ghenuechten weghe, mesval"
Hadewijch,II,20,"Si mi die meeste vrome."""
Hadewijch,II,21,"- Ay, vale, vale, milies -"
Hadewijch,II,22,Ghi alle die avontuere
Hadewijch,II,23,"- Si dixero, non satis est -"
Hadewijch,II,24,Wilt doghen om minnen natuere.
Hadewijch,III,25,"Ay, wat salic doen, alendech wijf?"
Hadewijch,III,26,Met rechte maghic tghelucke wel haten.
Hadewijch,III,27,Mi rouwet wel sere mijn lijf:
Hadewijch,III,28,Ic en mach minnen noch laten.
Hadewijch,III,29,"Te rechte mi es beide fel,"
Hadewijch,III,30,Gheluc ende avontuere;
Hadewijch,III,31,"Ic dole mijns, en es niemant el;"
Hadewijch,III,32,Dat scijnt teghen natuere.
Hadewijch,III,33,"- Ay, vale, vale, milies -"
Hadewijch,III,34,U allen laet dies ontfa[e]rmen
Hadewijch,III,35,"- Si dixero, non satis est -"
Hadewijch,III,36,Dat minne mi dus laet carmen!
Hadewijch,IV,37,"Ay, ic was ie op die minne stout,"
Hadewijch,IV,38,"Sint icse ierst hoerde noemen,"
Hadewijch,IV,39,Ende verliet mi op hare vri ghewout;
Hadewijch,IV,40,"Dies willen mi alle doemen,"
Hadewijch,IV,41,"Vriende ende vreemde, jonghe ende out,"
Hadewijch,IV,42,Dien ic in allen sinnen
Hadewijch,IV,43,"Diende ye, ende was van herten hout,"
Hadewijch,IV,44,Ende onste hen allen der minnen.
Hadewijch,IV,45,"- Ay, vale, vale, milies -"
Hadewijch,IV,46,"Ic rade hen datsi niene sparen,"
Hadewijch,IV,47,"- Si dixero, non satis est -"
Hadewijch,IV,48,Hoe ic hebbe ghevaren.
Hadewijch,V,49,"Ay arme, ic en mach mi selven niet"
