author,chapter,line,text
Niet van toepassing,1.,1,1. MEt desen nieuwen iare
Niet van toepassing,1.,2,so wort ons openbare
Niet van toepassing,1.,3,hoe dat een maghet vruchtbare
Niet van toepassing,1.,4,die werelt al verblijt
Niet van toepassing,1.,5,Ghelouet moet sijn dat kindekijn
Niet van toepassing,1.,6,gheeert moet sijn dat maechdekijn.
Niet van toepassing,1.,7,nv ende eewelijc tot alder tijt
Niet van toepassing,1.,8,2. ¶ Hoe wel was haer te moede
Niet van toepassing,1.,9,doen si in vleysche en bloede
Niet van toepassing,1.,10,aensach haers herten hoede
Niet van toepassing,1.,11,den here der werelt wijt
Niet van toepassing,1.,12,Ghelo.
Niet van toepassing,1.,13,3. ¶ Si baerden sonder pijne
Niet van toepassing,1.,14,ende bleef een maghet fijne
Niet van toepassing,1.,15,des sondaers medicijne
Niet van toepassing,1.,16,des hebben die ioden nijt
Niet van toepassing,1.,17,Ghelo
Niet van toepassing,1.,18,4. ¶ Die engelen songhen schoone
Niet van toepassing,1.,19,glorie inden throone
Niet van toepassing,1.,20,ter eeren ende te loone
Niet van toepassing,1.,21,den kinde des seker sijt
Niet van toepassing,1.,22,Ghelo
Niet van toepassing,1.,23,5. ¶ Als acht daghen waren leden
Niet van toepassing,1.,24,so wert ihesus besneden
Niet van toepassing,1.,25,al na der ioden seden
Niet van toepassing,1.,26,dwelc ons van sonden vrijt
Niet van toepassing,1.,27,Ghelo.
Niet van toepassing,1.,28,6. ¶ Wt orienten lande
Niet van toepassing,1.,29,quamen ter offerhande
Niet van toepassing,1.,30,drie coninghen onbekande
Niet van toepassing,1.,31,gode ghebenedijt
Niet van toepassing,1.,32,Ghelo.
Niet van toepassing,1.,33,7. Des dertien daghes sijt vroeder
Niet van toepassing,1.,34,vonden si hem bi sijnder moeder
Niet van toepassing,1.,35,ioseph was sijn behoeder
Niet van toepassing,1.,36,so ons die scriftuere belijt
Niet van toepassing,1.,37,Ghelo.
Niet van toepassing,1.,38,8. ¶ Als die ses weken omme quamen
Niet van toepassing,1.,39,so ghinc si na betamen
Niet van toepassing,1.,40,onbeulect van alder blamen
Niet van toepassing,1.,41,dwelc was om ons profijt
Niet van toepassing,1.,42,Ghelo.
Niet van toepassing,1.,43,9. ¶ Aldus ginc die maghet sempel
Niet van toepassing,1.,44,ende droech haer kint ten tempel
Niet van toepassing,1.,45,alle vrouwen tot een exempel
Niet van toepassing,1.,46,dies haer niet en vermijt
