author,chapter,line,text
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,1,"Gode biddic, dat hi mi sende"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,2,Tallen beghinne goeden ende.
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,3,Ene dinc willic beghinnen
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,4,"Daer ic mi bat mach ane bekinnen,"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,5,"Dats, of ic mochte ende of ic conste"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,6,"Ende mi God siere hulpen onste,"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,7,Ene miracle van siere goeder
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,8,"Ende van siere ghebenedider moeder,"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,9,"Vander moeder ende vander maghet,"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,10,Die ons heeft tparadijs bejaghet.
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,11,"Dese mieracle willic bescriven,"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,12,"Om dat sal behouden bliven,"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,13,"Vanden latine in dietschen bediede,"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,14,"Doer dat sijn vele liede,"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,15,"Dies niet te vroeder en souden wesen,"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,16,Al hoerden sijt in latine lesen.
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,17,Oft noch worde openbare
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,18,"Ende iement wiste wie ic ware,"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,19,Hine sal mi dit niet lachteren
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,20,"Noch minen name daerbi niet achteren,"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,21,Dat ic mi noch onderwinde
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,22,Dat ic in dietsche rimen binde.
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,23,"Dies orconde die soete Vrouwe,"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,24,"Die ic naest Gode best betrouwe,"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,25,Dat ic doer ghene idelhede
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,26,Noch doer den prijs van iement mede
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,27,Hebbe begonnen dese sake;
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,28,Maer omme te sine met ghemake
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,29,Jeghen idelheit ende sonder sonde
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,30,Hebbict in dietsche onderwonden;
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,31,"Ende oec doer der goeder lof,"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,32,Daer ons al goet es comen of.
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,33,Nochtan vresic achtertale.
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,34,"Mochtic mi oec wachten soe wale,"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,35,"Dat men neghene van mi en seide,"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,36,Soe mochtic segghen voer waerheide
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,37,Dat niemen en ware mijn ghenoet;
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,38,"Want miin gheval ware soe groet,"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,39,"Na dien dat nu ghescepen staet,"
Onbekend,Ene scone miracle dat onse vrouwe dede ane theophiluse ende ene scone exempel. - CC.J.,40,Bedi die werelt es soe quaet
