author,chapter,line,text
Onbekend,[Proloog],1,HADDIC der vernonften prijs /
Onbekend,[Proloog],2,Alsoe dat ic dies loves rijs
Onbekend,[Proloog],3,Vanden meestren mochte draghen /
Onbekend,[Proloog],4,Soe woudic dichten ende saghen
Onbekend,[Proloog],5,Herde meesterlec dese .X. ghebot /
Onbekend,[Proloog],6,Die de hoghe gheloefde God
Onbekend,[Proloog],7,Ghegeven heeft ons te nutte;
Onbekend,[Proloog],8,Want si sijn een weren der scutte
Onbekend,[Proloog],9,Voor der hoeftsonden vloet.
Onbekend,[Proloog],10,Maer nu es mi mijn moet
Onbekend,[Proloog],11,Ende mijn sinne ongheslepen /
Onbekend,[Proloog],12,Daer om soe moetic scepen
Onbekend,[Proloog],13,Biden oever / ende nemen stade:
Onbekend,[Proloog],14,Die diepte wair mijn scade;
Onbekend,[Proloog],15,Want wair ic inden strome /
Onbekend,[Proloog],16,Dat waer mine onvrome.
Onbekend,[Proloog],17,Dat oever bediet mijn kinscheit:
Onbekend,[Proloog],18,Der cunsten ghewat es mi te breyt /
Onbekend,[Proloog],19,Ende te diepe ende te stranc;
Onbekend,[Proloog],20,Dair om soe es mijn ganc
Onbekend,[Proloog],21,Aent oever ende opt wijde rumst.
Onbekend,[Proloog],22,Ic en der niet met mire cleynre cunst
Onbekend,[Proloog],23,Inden stroem varen der masterschaft.
Onbekend,[Proloog],24,Mijns sinnes scep en heeft gheen craft:
Onbekend,[Proloog],25,Worde hem een onwerder cont /
Onbekend,[Proloog],26,Het mochte sincken inden gront /
Onbekend,[Proloog],27,Dat waer mi te zwaere:
Onbekend,[Proloog],28,Ic en ben gheen zeevaerre /
Onbekend,[Proloog],29,Dat ic die diepte vergronde.
Onbekend,[Proloog],30,Ic en can niet subtijle vonde.
Onbekend,[Proloog],31,Die diepheit van dichtene / sonder waen /
Onbekend,[Proloog],32,Die soe moetic laten staen /
Onbekend,[Proloog],33,Ende die sproken van cunsten fijn.
Onbekend,[Proloog],34,Grote diepte die soude mi sijn
Onbekend,[Proloog],35,Te zwaer: ic moetse neder legghen /
Onbekend,[Proloog],36,Ende wil u met slechter redenen segghen
Onbekend,[Proloog],37,Die .X. ghebode / sonder waen.
