author,chapter,line,text
Onbekend,(HIER BEGHINT DIE SOTTERNIE - TRUWANTEN).,1,[...............]
Onbekend,(HIER BEGHINT DIE SOTTERNIE - TRUWANTEN).,2,"Comt voert! den hals moeti breken,"
Onbekend,(HIER BEGHINT DIE SOTTERNIE - TRUWANTEN).,105,Dat dus langhe vasten mijn beesten.
Onbekend,(HIER BEGHINT DIE SOTTERNIE - TRUWANTEN).,4,Hebdi nu gheweest in feesten?
Onbekend,(HIER BEGHINT DIE SOTTERNIE - TRUWANTEN).,5,Comt voert! ons vrouwe moet u bedroeven!
Onbekend,(HIER BEGHINT DIE SOTTERNIE - TRUWANTEN).,6,"Swicht, vrouwe! laet u ghenoeghen"
Onbekend,(HIER BEGHINT DIE SOTTERNIE - TRUWANTEN).,7,Met dat ic desen bundel draghe.
Onbekend,(HIER BEGHINT DIE SOTTERNIE - TRUWANTEN).,110,In ginc noit in ghenen daghe
Onbekend,(HIER BEGHINT DIE SOTTERNIE - TRUWANTEN).,9,Om voederinghe al dus verre.
Onbekend,(HIER BEGHINT DIE SOTTERNIE - TRUWANTEN).,10,"Tonrecht sidi op mi erre,"
Onbekend,(HIER BEGHINT DIE SOTTERNIE - TRUWANTEN).,11,Wat niesent en rustic mine voete.
Onbekend,(HIER BEGHINT DIE SOTTERNIE - TRUWANTEN).,12,"Ay hoere, dat men u berren moete!"
Onbekend,(HIER BEGHINT DIE SOTTERNIE - TRUWANTEN).,115,Wat quader trijpsac sidi!
Onbekend,(HIER BEGHINT DIE SOTTERNIE - TRUWANTEN).,14,"Vrouwe, waer omme smitti mi"
Onbekend,(HIER BEGHINT DIE SOTTERNIE - TRUWANTEN).,15,Sonder verdiente? dats mi leet.
Onbekend,(HIER BEGHINT DIE SOTTERNIE - TRUWANTEN).,16,Ramp moetti hebben in u sweet!
Onbekend,(HIER BEGHINT DIE SOTTERNIE - TRUWANTEN).,17,In wil niet versproken sijn.
