author,chapter,line,text
Niet van toepassing,29.,1,Compt alle wt bij twe bij drye
Niet van toepassing,29.,2,"en hoert u lot met zinne blye,"
Niet van toepassing,29.,3,wat u toesendt fortune loterye.
Niet van toepassing,29.,4,"Wat sal hy hebben, maket ons wys,"
Niet van toepassing,29.,5,die met een quaet wyf is gheplaecht
Niet van toepassing,29.,6,en elders gerne te neste draecht?
Niet van toepassing,29.,7,Ramp en roy voer den iersten prys.
Niet van toepassing,29.,8,Die gerne poit en is beroit
Niet van toepassing,29.,9,"wat sal men hem borgen, segt ons t' bediet? Nyet."
Niet van toepassing,29.,10,"Die gerne veel heeft aen den sack,"
Niet van toepassing,29.,11,"die niet en pryst syns selfs gemack,"
Niet van toepassing,29.,12,wat sal hem int eynde ghescien?
Niet van toepassing,29.,13,"Drupende nuese en coude knie,"
Niet van toepassing,29.,14,"blauwe caken en qualic sien sonder gheschil,"
Niet van toepassing,29.,15,twe houte crucken en eenen bril.
