author,chapter,line,text
Jacob van Maerlant,1.,1,"""Martijn, slaepstu? slaept dijn sin ?"
Jacob van Maerlant,1.,2,Sprec! hebstu gheen spreken in?
Jacob van Maerlant,1.,3,Du dinkes mi verdoren.
Jacob van Maerlant,1.,4,Dune achtes meer no min
Jacob van Maerlant,1.,5,Dan omme weelde ende om ghewin:
Jacob van Maerlant,1.,6,Wiltu di dus versmoren?
Jacob van Maerlant,1.,7,"Waert al dijn, dat comt int Swin,"
Jacob van Maerlant,1.,8,"Gout, selver, stael, loot, iser, tin,"
Jacob van Maerlant,1.,9,"So blevestu verloren,"
Jacob van Maerlant,1.,10,Daetstu ter doghet gheen beghin.
Jacob van Maerlant,1.,11,Hef up dijn hovet ende dinen kin!
Jacob van Maerlant,1.,12,Tontijt waerstu gheboren!
Jacob van Maerlant,1.,13,"Hebstu dichtens versworen?"""
Jacob van Maerlant,2.,14,"""Jacop, da woens in den Dam"
Jacob van Maerlant,2.,15,"Ende ic tUtrecht; dies ben ic gram,"
Jacob van Maerlant,2.,16,Dat wi dus sijn verscheden.
Jacob van Maerlant,2.,17,Weetstu wat mi oit mesquam?
Jacob van Maerlant,2.,18,Dat ic bate noch nie en vernam
Jacob van Maerlant,2.,19,Ant dichten van ons beden.
Jacob van Maerlant,2.,20,"So es mi die sin worden so lam,"
Jacob van Maerlant,2.,21,Dat icker node weder an quam;
Jacob van Maerlant,2.,22,Dit doet mi verleden.
Jacob van Maerlant,2.,23,Du wecs mi als een stotel ram.
Jacob van Maerlant,2.,24,"Al bestu wilt, du werts tam;"
Jacob van Maerlant,2.,25,Lere dine woorden cleden
Jacob van Maerlant,2.,26,"Soetelike ende ghereden!"""
Jacob van Maerlant,3.,27,"""Martijn, vrient, hebbic messeit,"
Jacob van Maerlant,3.,28,"Ic bems te beterne ghereit,"
Jacob van Maerlant,3.,29,Ic wils al up di bliven.
Jacob van Maerlant,3.,30,Maer verstant mi ende ontbeit:
Jacob van Maerlant,3.,31,"Ene dinc, die mi upt herte leit,"
Jacob van Maerlant,3.,32,"Willic di bescriven,"
Jacob van Maerlant,3.,33,"Daer hare die werelt mede meit,"
Jacob van Maerlant,3.,34,Ne dade dat lief worde leit:
Jacob van Maerlant,3.,35,Ende dats minne van wiven.
Jacob van Maerlant,3.,36,"Wat dat es in dese werelt breit,"
Jacob van Maerlant,3.,37,"Stede, bossche, borghe ende preit,"
Jacob van Maerlant,3.,38,"Soudemen verdriven,"
Jacob van Maerlant,3.,39,"Wildemen minne ontliven."""
Jacob van Maerlant,4.,40,"Jacop, dit was oint dijn doen:"
Jacob van Maerlant,4.,41,Van vrouwen moeste dijn sermoen
Jacob van Maerlant,4.,42,"Of beghinnen, of enden."
Jacob van Maerlant,4.,43,"Waerstu een dorper, du spraecs van coen;"
Jacob van Maerlant,4.,44,Nu es dine herte dies ontfloen.
Jacob van Maerlant,4.,45,Doch willics mi ghenenden
Jacob van Maerlant,4.,46,Ende steken af minen caproen
Jacob van Maerlant,4.,47,"Ende horen, watti hiertoe spoen"
Jacob van Maerlant,4.,48,Dattu den onbekenden
Jacob van Maerlant,4.,49,Martine niene laets gheroen.
Jacob van Maerlant,4.,50,"Al haddic ane twee iserine scoen,"
Jacob van Maerlant,4.,51,In mochte di niet ontwenden.
Jacob van Maerlant,4.,52,"Na sprec, ic saelt ontbenden."""
Jacob van Maerlant,5.,53,"""Martijn, du sout mi verstaen:"
Jacob van Maerlant,5.,54,Ene vrouwe wel ghedaen
Jacob van Maerlant,5.,55,Hevet mi ghevaen met minnen.
Jacob van Maerlant,5.,56,Al dat Gode es onderdaen
Jacob van Maerlant,5.,57,"Lietic omme hare gaen,"
Jacob van Maerlant,5.,58,Mochticse ghewinnen.
Jacob van Maerlant,5.,59,"Nochtan weetic wel sonder waen,"
Jacob van Maerlant,5.,60,Dat soe mijns niet en acht een spaen
Jacob van Maerlant,5.,61,Mijn herte doet mi bekinnen:
Jacob van Maerlant,5.,62,"Al souder omme die werelt vergaen,"
Jacob van Maerlant,5.,63,Dat soe mi niet en soude ontfaen
Jacob van Maerlant,5.,64,In hare herte binnen.
Jacob van Maerlant,5.,65,Hier toe nes gheen verwinnen.
Jacob van Maerlant,6.,66,"Ene ander vrouwe es, die mi mint"
Jacob van Maerlant,6.,67,Boven al dat soe levende kint
Jacob van Maerlant,6.,68,"Met ghestader trouwen,"
Jacob van Maerlant,6.,69,"Die mi gheprijst es niet een twint,"
