author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Ende trooste hare alsoe bes conste.
Onbekend,Onbekend Hoofdstuk,2,"Daer was die camerlinc, die begonste"
Onbekend,Onbekend Hoofdstuk,3,An Phyla te hebbene grote minne.
Onbekend,Onbekend Hoofdstuk,4,"Phyla was van zulken zinne,"
Onbekend,Onbekend Hoofdstuk,5,Dat hare lettel minne aneghinc.
Onbekend,Onbekend Hoofdstuk,6,"Dat vernoyde den camerlinc,"
Onbekend,Onbekend Hoofdstuk,7,"Hie was gheeten glutes,"
Onbekend,Onbekend Hoofdstuk,8,"Een fel verrader, sijt seker des,"
Onbekend,Onbekend Hoofdstuk,9,"Ende gheleu Phyla, der coneghinne,"
Onbekend,Onbekend Hoofdstuk,10,"Daer soe sat, biden kinne"
Onbekend,Onbekend Hoofdstuk,11,"Ende kussetse, al waest haer leed."
Onbekend,Onbekend Hoofdstuk,12,"Phyla die vrouwe was wel ghereed,"
Onbekend,Onbekend Hoofdstuk,13,"Ende sloughenne onder die kaken,"
Onbekend,Onbekend Hoofdstuk,14,Dat hem drie tanden int hooft braken.
Onbekend,Onbekend Hoofdstuk,15,Doe sprac Phyla ende zeide:
Onbekend,Onbekend Hoofdstuk,16,"""Here Glutes, u hoveschede"
Onbekend,Onbekend Hoofdstuk,17,"Hebdi hier een deel becocht,"
Onbekend,Onbekend Hoofdstuk,18,"Ende trouwen ghine waerd niet wel bedocht,"
Onbekend,Onbekend Hoofdstuk,19,Dat ghi mi uwe minne bied.
Onbekend,Onbekend Hoofdstuk,20,"Also helpe mi god, ic ne wetene niet"
Onbekend,Onbekend Hoofdstuk,21,"Levende up al erderike,"
Onbekend,Onbekend Hoofdstuk,22,"Die minnen zoude sekerlike,"
Onbekend,Onbekend Hoofdstuk,23,"Sonder den coninc Crissostomus,"
Onbekend,Onbekend Hoofdstuk,24,Minen man. Ic wille mi dus
Onbekend,Onbekend Hoofdstuk,25,"Houden, tote het mi mach gescien,"
Onbekend,Onbekend Hoofdstuk,26,Dat hi weder mint mien
Onbekend,Onbekend Hoofdstuk,27,"Also, here, als ic hem doe,"
Onbekend,Onbekend Hoofdstuk,28,"Nochtan dat ic niet hope dertoe,"
Onbekend,Onbekend Hoofdstuk,29,"Dat hi mi weder minnen zoude."""
Onbekend,Onbekend Hoofdstuk,30,Glutes andworde boude:
Onbekend,Onbekend Hoofdstuk,31,"""Ay, felle vrouwe putertiere,"
Onbekend,Onbekend Hoofdstuk,32,"Men mach wel zien an uwe maniere,"
Onbekend,Onbekend Hoofdstuk,33,Dat ghi fel sijt ende [qu]aet!
Onbekend,Onbekend Hoofdstuk,34,"Ende het es al bi uwer ondaet,"
Onbekend,Onbekend Hoofdstuk,35,Dat ghi verdreven sijt uten lande.
Onbekend,Onbekend Hoofdstuk,36,Ghi hebt mi tebroken drie tanden;
Onbekend,Onbekend Hoofdstuk,37,"Ic saelt up uwen lachame wreken."""
Onbekend,Onbekend Hoofdstuk,38,"Doe begonste Lica spreken,"
Onbekend,Onbekend Hoofdstuk,39,"Hare venotinne, ende seide:"
Onbekend,Onbekend Hoofdstuk,40,"""Here Glutes, die dorperheiden"
Onbekend,Onbekend Hoofdstuk,41,"Die ghi haer daet, die was groot."
Onbekend,Onbekend Hoofdstuk,42,"Dat ghi se cusset, was gheen noot,"
Onbekend,Onbekend Hoofdstuk,43,"Vor alle die gone, die hier saten."
Onbekend,Onbekend Hoofdstuk,44,"Soene es gheen wiif, die achter straten"
Onbekend,Onbekend Hoofdstuk,45,Haer laet cussen te deser ure.
Onbekend,Onbekend Hoofdstuk,46,"Al es hare ghesciet dese aventure,"
