author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,Ende ginc te Nameloos dat hi mach.
Onbekend,Onbekend Hoofdstuk,2,Nu mogedi horen wies hi plach.
Onbekend,Onbekend Hoofdstuk,3,Nameloos stac tvyngerlijn an sijn hant.
Onbekend,Onbekend Hoofdstuk,4,"Doe was gram die tirant,"
Onbekend,Onbekend Hoofdstuk,5,Dat hine niewer mochte sien.
Onbekend,Onbekend Hoofdstuk,6,"""Help, mamet, wat sals gescien,'"""
Onbekend,Onbekend Hoofdstuk,7,Sprac die ruese Madageer.
Onbekend,Onbekend Hoofdstuk,8,"""Wie sach noit dus fellen keer,"
Onbekend,Onbekend Hoofdstuk,9,"Dat icken verloren hebbe die mi slouch?"""
Onbekend,Onbekend Hoofdstuk,10,Mettien Nameloos verdrouch
Onbekend,Onbekend Hoofdstuk,11,"Sine colve mettalijn,"
Onbekend,Onbekend Hoofdstuk,12,"Ende slouch den fellen sarrasijn,"
Onbekend,Onbekend Hoofdstuk,13,Dat hi neder up derde lach.
Onbekend,Onbekend Hoofdstuk,14,"Nameloos seide: ""u achterste dach"
Onbekend,Onbekend Hoofdstuk,15,"Es nu comen, Madageer."
Onbekend,Onbekend Hoofdstuk,16,Al die pine ende al tzeer
Onbekend,Onbekend Hoofdstuk,17,"Dat ghi gedaen hebt in u lijf,"
Onbekend,Onbekend Hoofdstuk,18,"Suldi ontgelden nu, kettijf."""
Onbekend,Onbekend Hoofdstuk,19,Mettien slouch die sarrasijn
Onbekend,Onbekend Hoofdstuk,20,Sijn ogen up sijn vyngerlijn.
Onbekend,Onbekend Hoofdstuk,21,Van den slage hi genas.
Onbekend,Onbekend Hoofdstuk,22,"Doe sedi, sijt seker das:"
Onbekend,Onbekend Hoofdstuk,23,"""Wat sal ic doen? hoe salt gaen?"
Onbekend,Onbekend Hoofdstuk,24,"Ic bem geraect jegen .i. toveraen,"
Onbekend,Onbekend Hoofdstuk,25,Die ic niet mach scauwen.
Onbekend,Onbekend Hoofdstuk,26,Al mijn seer ende al mijn rauwe
Onbekend,Onbekend Hoofdstuk,27,"Sal ic wreken up dit quaet,"
Onbekend,Onbekend Hoofdstuk,28,"Dat hier hout up dit paert,"
Onbekend,Onbekend Hoofdstuk,29,"Wies gelike ic noit ne sach."""
Onbekend,Onbekend Hoofdstuk,30,"Hi verhief t Fauchart, dat hi mach,"
Onbekend,Onbekend Hoofdstuk,31,Om Valentine te doene grief.
Onbekend,Onbekend Hoofdstuk,32,"Valentijn sede: ""onrene dief,"
Onbekend,Onbekend Hoofdstuk,33,"Ic ne ontsie u clene no grot."""
Onbekend,Onbekend Hoofdstuk,34,"Hi trac Scaerdelijn dor de noot,"
Onbekend,Onbekend Hoofdstuk,35,Als die .i. twijnt niet was vervaert.
Onbekend,Onbekend Hoofdstuk,36,"Ende die ruese trac t Fausaert,"
Onbekend,Onbekend Hoofdstuk,37,Ende slouch eerst up Valentine
Onbekend,Onbekend Hoofdstuk,38,"Enen slach, die hem pine"
Onbekend,Onbekend Hoofdstuk,39,Deide ende grot verdriet.
Onbekend,Onbekend Hoofdstuk,40,"t Fausaert, in liegu niet,"
Onbekend,Onbekend Hoofdstuk,41,"Dorsneet Valentine dene zide,"
Onbekend,Onbekend Hoofdstuk,42,Daer omme hi was herde onblide.
Onbekend,Onbekend Hoofdstuk,43,Niet was hi gewont in de daerme.
Onbekend,Onbekend Hoofdstuk,44,"Nochtan vielen si uut, al waerme,"
Onbekend,Onbekend Hoofdstuk,45,Upt gerede van Rachevale.
Onbekend,Onbekend Hoofdstuk,46,"Doe moesti nedervallen te dale,"
Onbekend,Onbekend Hoofdstuk,47,Up die erde in onmacht.
Onbekend,Onbekend Hoofdstuk,48,"Madageer seide: ""ic bem bewacht"
