author,chapter,line,text
Jan van Boendale,VAN DEN DERDEN EDUWAERT,1,Sint dat ons Here wilde wreken
Jan van Boendale,VAN DEN DERDEN EDUWAERT,2,Smenschen sonden ende gebreken
Jan van Boendale,VAN DEN DERDEN EDUWAERT,3,Met watre also bescreven is
Jan van Boendale,VAN DEN DERDEN EDUWAERT,4,"Inden iersten boecke ser Moyses,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,5,Sone woudi voert int gemeyne
Jan van Boendale,VAN DEN DERDEN EDUWAERT,6,"Niet wreken mit watre alleine,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,7,Maer ter wraken heeft hij geset
Jan van Boendale,VAN DEN DERDEN EDUWAERT,8,"Water, vier ende dat sweert met,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,9,Dair hij dagelijcs wreket mede
Jan van Boendale,VAN DEN DERDEN EDUWAERT,10,Die sonden in meniger stede.
Jan van Boendale,VAN DEN DERDEN EDUWAERT,11,Want God en wilt niet verdragen
Jan van Boendale,VAN DEN DERDEN EDUWAERT,12,"Altoos die sonden sonder plagen,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,13,Want sine groote gerechticheyt
Jan van Boendale,VAN DEN DERDEN EDUWAERT,14,Brinctene ter wrakelheyt.
Jan van Boendale,VAN DEN DERDEN EDUWAERT,15,"Onder tusschen als des es noot,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,16,"En dade siin ontfermherticheyt groot,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,17,Hij soude dagelijcs ende tallen stonden
Jan van Boendale,VAN DEN DERDEN EDUWAERT,18,Swaerlijc wreken des smenschen sonden.
Jan van Boendale,VAN DEN DERDEN EDUWAERT,19,Dat die groote Alexander
Jan van Boendale,VAN DEN DERDEN EDUWAERT,20,Ende daer toe oic menich ander
Jan van Boendale,VAN DEN DERDEN EDUWAERT,21,"Daden so groote manslacht,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,22,Dat ne dede niet hairs selfs cracht.
Jan van Boendale,VAN DEN DERDEN EDUWAERT,23,"Mer God vercoesse daer toe,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,24,Dat sij die sonden wraken also
Jan van Boendale,VAN DEN DERDEN EDUWAERT,25,Alse nu hier ende alse nu daer.
Jan van Boendale,VAN DEN DERDEN EDUWAERT,26,"Nu siet ende merket openbair,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,27,Oft God vanden iersten stonden
Jan van Boendale,VAN DEN DERDEN EDUWAERT,28,"Dus gewroken heeft die sonden,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,29,Wat wonder eest dan dat hij nu
Jan van Boendale,VAN DEN DERDEN EDUWAERT,30,"Die sonden wreect, des vragic u,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,31,"Nader sonden menichfuldicheyt,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,32,Daer die werelt nu met ommegeyt.
Jan van Boendale,VAN DEN DERDEN EDUWAERT,33,"God beidde .xlij. jair,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,34,Eer hij wrac sine doot swaer
Jan van Boendale,VAN DEN DERDEN EDUWAERT,35,"Over die Joden, wij lesent aldus,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,36,"Mits eenen coninc, hiet Titus."
Jan van Boendale,VAN DEN DERDEN EDUWAERT,37,"Nu heeft God eenen verwect,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,38,"Daer hij die sonden mede wrect,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,39,aDes hij swaerlijc begint te waeren
Jan van Boendale,VAN DEN DERDEN EDUWAERT,40,"Ende compt van over zee gevaren,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,41,"Van daer die zonne gaet onder,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,42,Daer hij gewracht heeft wonder
Jan van Boendale,VAN DEN DERDEN EDUWAERT,43,"Van manslachte sekerlike,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,44,"Ja, ten eynde van eerdrike,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,45,Dats in Scotlant ende daer toe mee
Jan van Boendale,VAN DEN DERDEN EDUWAERT,46,Neffens Vlaenderen op die zee.
Jan van Boendale,VAN DEN DERDEN EDUWAERT,47,Des gelike men voir dien
Jan van Boendale,VAN DEN DERDEN EDUWAERT,48,Herde selden heeft gezien.
Jan van Boendale,VAN DEN DERDEN EDUWAERT,49,Hets tontsiene na minen sin
Jan van Boendale,VAN DEN DERDEN EDUWAERT,50,Dats maer noch es een beghin
Jan van Boendale,VAN DEN DERDEN EDUWAERT,51,"Ende datter wonder na sal volgen,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,52,God en wille siin abolghen
Jan van Boendale,VAN DEN DERDEN EDUWAERT,53,Mits siere ontfermertichede
Jan van Boendale,VAN DEN DERDEN EDUWAERT,54,Keren vander menschede.
Jan van Boendale,VAN DEN DERDEN EDUWAERT,55,"Dit so heet ene prologe,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,56,Daer ic u eens deels in toge
Jan van Boendale,VAN DEN DERDEN EDUWAERT,57,Die materie die hier na
Jan van Boendale,VAN DEN DERDEN EDUWAERT,58,Volghet also ict verstae.
Jan van Boendale,VAN DEN DERDEN EDUWAERT,59,So groet opset no so hart
Jan van Boendale,VAN DEN DERDEN EDUWAERT,60,Als die derde Eduwaert
Jan van Boendale,VAN DEN DERDEN EDUWAERT,61,Van Yngelant heeft opgeheven
Jan van Boendale,VAN DEN DERDEN EDUWAERT,62,En vintmen nerghent bescreven.
Jan van Boendale,VAN DEN DERDEN EDUWAERT,63,Dat die Grieken in ouden dagen
Jan van Boendale,VAN DEN DERDEN EDUWAERT,64,Voir Troyen x. jair laghen
Jan van Boendale,VAN DEN DERDEN EDUWAERT,65,Ende niet en consten gewinnen
Jan van Boendale,VAN DEN DERDEN EDUWAERT,66,"Sonder verranesse van binnen,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,67,Dat van Persen coninc Cyrus
Jan van Boendale,VAN DEN DERDEN EDUWAERT,68,Wan ende strueerde aldus
Jan van Boendale,VAN DEN DERDEN EDUWAERT,69,"Tgroete rike van Babylone,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,70,"Dat Alexander, Philips sone,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,71,"Die hertoge was van Macedone,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,72,"Dariuse af wan sine crone,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,73,"Die coninc was van al Asya,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,74,"Dats half erdrike als ic verstae,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,75,"Dat Machabeus, die stoute man,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,76,So menigen groeten strijt verwan
Jan van Boendale,VAN DEN DERDEN EDUWAERT,77,Met luttel volcs mids Gods gewelt
Jan van Boendale,VAN DEN DERDEN EDUWAERT,78,"Jegen volc dat was ongetelt,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,79,Dat die Romeine van cleinen dingen
Jan van Boendale,VAN DEN DERDEN EDUWAERT,80,"Also clommen ende opwaert gingen,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,81,"Dat sij dwongen al eertrike,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,82,Dat Kairle oic des gelike
Jan van Boendale,VAN DEN DERDEN EDUWAERT,83,Zassen ende Spaengen onder dede
Jan van Boendale,VAN DEN DERDEN EDUWAERT,84,"Ende brachte ter kerstenhede,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,85,Dat van Bullioen her Godevaert
Jan van Boendale,VAN DEN DERDEN EDUWAERT,86,Bestoet die heylege zeevaert
Jan van Boendale,VAN DEN DERDEN EDUWAERT,87,Ende Anthiochen wan doe
Jan van Boendale,VAN DEN DERDEN EDUWAERT,88,"Ende Jherusalem daertoe,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,89,"Dat Jan, hertoge van Brabant,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,90,"Die derde daer also genaemt,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,91,Hem verweerde also wijslike
Jan van Boendale,VAN DEN DERDEN EDUWAERT,92,Jegen den coninc van Vrancrijcke
Jan van Boendale,VAN DEN DERDEN EDUWAERT,93,"Ende jegen xv. lantsheeren,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,94,"Die Brabant wouden onteeren,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,95,Soe en dinct mi in gheen van desen
Jan van Boendale,VAN DEN DERDEN EDUWAERT,96,"Desen opsetten gelijc wesen,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,97,Dat een man comt van over meer
Jan van Boendale,VAN DEN DERDEN EDUWAERT,98,Getogen dus mit eenen heer
Jan van Boendale,VAN DEN DERDEN EDUWAERT,99,Ende wilt Vrancrijcke winnen
Jan van Boendale,VAN DEN DERDEN EDUWAERT,100,Ende coninc sijn daer binnen
Jan van Boendale,VAN DEN DERDEN EDUWAERT,101,"Ende neempt hem tytel ende wapen an,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,102,Eer hier borch of stat in wan.
Jan van Boendale,VAN DEN DERDEN EDUWAERT,103,Dit es ymmer wonder groot.
Jan van Boendale,VAN DEN DERDEN EDUWAERT,104,Nu so moeghedi hoeren al bloot
Jan van Boendale,VAN DEN DERDEN EDUWAERT,105,Dbegin van deser hystorien
Jan van Boendale,VAN DEN DERDEN EDUWAERT,106,Also ic in mire memorien
Jan van Boendale,VAN DEN DERDEN EDUWAERT,107,Wel hebbe onthouden dat
Jan van Boendale,VAN DEN DERDEN EDUWAERT,108,"Al tAntwerpen in die stad,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,109,"Daer ic woene, als ic thuus ben."
Jan van Boendale,VAN DEN DERDEN EDUWAERT,110,God verleene mi den sin
Jan van Boendale,VAN DEN DERDEN EDUWAERT,111,Die waerheit te seggene wats gesciet.
Jan van Boendale,VAN DEN DERDEN EDUWAERT,112,In geesten en salmen liegen niet.
Jan van Boendale,VAN DEN DERDEN EDUWAERT,113,Dese historie na mijn versinnen
Jan van Boendale,VAN DEN DERDEN EDUWAERT,114,"Willic op Philippse beginnen,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,115,"Die groete coninc ende die scoone,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,116,"Die in Vrancrijcke drooch crone,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,117,Die de twelfste is geset
Jan van Boendale,VAN DEN DERDEN EDUWAERT,118,"Na Hughen die men heet Capet,"
Jan van Boendale,VAN DEN DERDEN EDUWAERT,119,Mits welken scalken Hugen
