author,chapter,line,text
Jacob van Maerlant,1.,1,"Kersten man, wats di gheschiet?"
Jacob van Maerlant,1.,2,Slaepstu? hoe ne dienstu niet
Jacob van Maerlant,1.,3,Jhesum Christum dinen here?
Jacob van Maerlant,1.,4,"Peins, doghedi dor di enich verdriet,"
Jacob van Maerlant,1.,5,"Doe hi hem vanghen ende crucen liet,"
Jacob van Maerlant,1.,6,Int herte steken metten spere?
Jacob van Maerlant,1.,7,"Tlant, daer hi sijn bloet in sciet,"
Jacob van Maerlant,1.,8,"Gaet al te quiste, als men siet:"
Jacob van Maerlant,1.,9,"Lacy, daer en is ghene were!"
Jacob van Maerlant,1.,10,Daer houdt dat Sarracijnsche diet
Jacob van Maerlant,1.,11,Die Kerke onder sinen spiet
Jacob van Maerlant,1.,12,"Daerneder, ende doet haer groot onnere"
Jacob van Maerlant,1.,13,Ende di en dunkets min no mere!
Jacob van Maerlant,2.,14,Die Kerke is van haren lene
Jacob van Maerlant,2.,15,"Ontervet: dijn herte is van stene,"
Jacob van Maerlant,2.,16,"Kerstijn, en gaet het di na."
Jacob van Maerlant,2.,17,"Si is dijn moeder, die ic mene,"
Jacob van Maerlant,2.,18,"Die di suver maect ende rene,"
Jacob van Maerlant,2.,19,Alsmen di in die vonte dwa.
Jacob van Maerlant,2.,20,Satanas kinder alghemene
Jacob van Maerlant,2.,21,Hebben die mammorie allene
Jacob van Maerlant,2.,22,Beset op dat di toebesta.
Jacob van Maerlant,2.,23,Nu roept die Kerke met groten wene:
Jacob van Maerlant,2.,24,"""Jhesus Kerst van Nazarene,"
Jacob van Maerlant,2.,25,Men rovet dat erve dat di toega:
Jacob van Maerlant,2.,26,"Pugna pro patria!"""
Jacob van Maerlant,3.,27,Omme scat so gaepstu wide;
Jacob van Maerlant,3.,28,"Elc is op andren vol van nide,"
Jacob van Maerlant,3.,29,Ende dinen God heefstu vergeten.
Jacob van Maerlant,3.,30,"Die door di ontdede sine side,"
Jacob van Maerlant,3.,31,"Roept ""help!"", op di te desen tide,"
Jacob van Maerlant,3.,32,Ende claghet; des wiltu niet weten.
Jacob van Maerlant,3.,33,"Hoe moghestuut laten dus ter lide,"
Jacob van Maerlant,3.,34,Dat dat volc vermaledide
Jacob van Maerlant,3.,35,So verre ghepaelt heeft ende ghemeten?
Jacob van Maerlant,3.,36,God proevet di in desen stride:
Jacob van Maerlant,3.,37,"Hi doghet, dat menne te halse ride"
Jacob van Maerlant,3.,38,"Voor di, ende du bist vast gheseten,"
Jacob van Maerlant,3.,39,Sughende an der weelde reten.
Jacob van Maerlant,4.,40,"In weelden sitstu hier versmoort,"
Jacob van Maerlant,4.,41,So dat met di is onghehoort
Jacob van Maerlant,4.,42,Gods lachter ende sine scanden.
Jacob van Maerlant,4.,43,"Dune peins niet om die moort,"
Jacob van Maerlant,4.,44,Die tot Akers in die poort
Jacob van Maerlant,4.,45,Wrochten die Gods vianden.
Jacob van Maerlant,4.,46,"Daer is Gods dienste ghescoort,"
Jacob van Maerlant,4.,47,"Cloostre ende huse sijn testoort,"
Jacob van Maerlant,4.,48,Tvolc verbeten van wreden tanden.
Jacob van Maerlant,4.,49,"Kerstijn man, twi en trecstu voort?"
Jacob van Maerlant,4.,50,Waerom sitstu hier verdoort?
Jacob van Maerlant,4.,51,Du sout hemelrike panden
Jacob van Maerlant,4.,52,"Op Gode, wiltu dien lachter anden."
Jacob van Maerlant,5.,53,Jhesus Christus van Nazarene
Jacob van Maerlant,5.,54,Gaf van Akers der porten ene
Jacob van Maerlant,5.,55,"Name, die was ""vermaledijt""."
Jacob van Maerlant,5.,56,"Daer voorsprac hi van den wene,"
Jacob van Maerlant,5.,57,Die opt kerstine volc ghemene
Jacob van Maerlant,5.,58,Ghevallen is in corter tijt.
Jacob van Maerlant,5.,59,"Te diere porten, alse ic mene,"
Jacob van Maerlant,5.,60,"Waren ierst uutghetrect die stene,"
Jacob van Maerlant,5.,61,"Ende een inganc ghemaect so wijt,"
Jacob van Maerlant,5.,62,Dat die Sarracine onrene
Jacob van Maerlant,5.,63,"Alle ingoten, groot ende clene;"
Jacob van Maerlant,5.,64,"Ende daer becochten si den strijt,"
Jacob van Maerlant,5.,65,Die op Gode hadden ghelijt.
Jacob van Maerlant,6.,66,Men ghinc daer houwen ende slaen;
Jacob van Maerlant,6.,67,Die kerstine worden seer ondaen:
Jacob van Maerlant,6.,68,Hem mochte gheen weren ghewepen.
Jacob van Maerlant,6.,69,Si moesten alle die doot ontfaen
Jacob van Maerlant,6.,70,"(Daer jeghen mochte niet ontstaen),"
Jacob van Maerlant,6.,71,Die niet ontspronghen in schepen.
Jacob van Maerlant,6.,72,Men sach daer laten meneghen traen:
Jacob van Maerlant,6.,73,Kerstijnheit wart sonder waen
Jacob van Maerlant,6.,74,So jamerlijc int vel ghenepen.
Jacob van Maerlant,6.,75,Men mach jamer hierin verstaen:
Jacob van Maerlant,6.,76,"Die predicare dede men vaen,"
Jacob van Maerlant,6.,77,"Ende alsijt crucifix ghegrepen,"
Jacob van Maerlant,6.,78,Si dadent achter straten slepen.
Jacob van Maerlant,7.,79,"Joncfrouwen van religioene,"
Jacob van Maerlant,7.,80,"Suver ende van heiligen doene,"
Jacob van Maerlant,7.,81,Onsuverden die Sarracine.
Jacob van Maerlant,7.,82,Wiemen hoorde die was soo coene
Jacob van Maerlant,7.,83,"Die Jhesus noemde, Mariën soene,"
Jacob van Maerlant,7.,84,Men dede hem torment ende pine.
Jacob van Maerlant,7.,85,"Men briet sulken ghelijc den hoene,"
Jacob van Maerlant,7.,86,"Sulc wart onthalst bi den caproene,"
Jacob van Maerlant,7.,87,Sulc ghescout ghelijc den swine.
Jacob van Maerlant,7.,88,"Ghi heren, ghi princen, ghi baroene,"
Jacob van Maerlant,7.,89,Hoe coomt dat hem elc niet vermoene
Jacob van Maerlant,7.,90,"Met live, met goede ghereet te sine,"
Jacob van Maerlant,7.,91,Te suverne tlant van dien venine?
Jacob van Maerlant,8.,92,"Kerke van Romen, trec dijn swaert,"
Jacob van Maerlant,8.,93,"Dat di van Gode ghelaten waert,"
Jacob van Maerlant,8.,94,Kerstijnheit hevet te doene heden.
Jacob van Maerlant,8.,95,Besie oft vlegghe hevet of scaert
Jacob van Maerlant,8.,96,Ant einde of daer middenwaert;
Jacob van Maerlant,8.,97,"Ende oftuut overwaer vinds versneden,"
Jacob van Maerlant,8.,98,"So spoet di danne metter vaert,"
Jacob van Maerlant,8.,99,Ende doe al onghespaert
Jacob van Maerlant,8.,100,Een van betren snede smeden.
Jacob van Maerlant,8.,101,Qualike is het gheachterwaert;
Jacob van Maerlant,8.,102,Diere cardinale aert
Jacob van Maerlant,8.,103,"Die is van alsulken seden,"
Jacob van Maerlant,8.,104,Hi strect na scat met allen leden.
