author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,"Hector, Priamus zoen van Troyen,"
Onbekend,Onbekend Hoofdstuk,2,Dede den Grieken menige vernoyen;
Onbekend,Onbekend Hoofdstuk,3,Negentien coningen hij versloech
Onbekend,Onbekend Hoofdstuk,4,Int tlant dair sijn vader crone droech.
Onbekend,Onbekend Hoofdstuk,5,Hij was die stoutste in sijnre tijt
Onbekend,Onbekend Hoofdstuk,6,Die men wist in die werelt wijt.
Onbekend,Onbekend Hoofdstuk,7,Van Acilles wort hij vermoert
Onbekend,Onbekend Hoofdstuk,8,XIc ende XXX jair voir Goids geboirt.
Onbekend,Onbekend Hoofdstuk,9,"Alexander, Philips zoen van Macidone,"
Onbekend,Onbekend Hoofdstuk,10,Over al Grieken soe droech hij crone;
Onbekend,Onbekend Hoofdstuk,11,"Dairtoe Chaldeen, Persen ende Meden"
Onbekend,Onbekend Hoofdstuk,12,Hielt hij in sijnre mogentheden.
Onbekend,Onbekend Hoofdstuk,13,"Bij der wiser philosophen rade,"
Onbekend,Onbekend Hoofdstuk,14,Hij was milde ende vroem van dade.
Onbekend,Onbekend Hoofdstuk,15,Hij starff CCC ende IX jair
Onbekend,Onbekend Hoofdstuk,16,"Voir Gods geboirt, dat is wair."
Onbekend,Onbekend Hoofdstuk,17,Julius was capiteyn van Romen der stede;
Onbekend,Onbekend Hoofdstuk,18,"Uut sijnre moeder wart hij gesnede,"
Onbekend,Onbekend Hoofdstuk,19,Dairom soe wart hij Cecer genant.
Onbekend,Onbekend Hoofdstuk,20,Hij dwanc mit sijnre mogender hant
Onbekend,Onbekend Hoofdstuk,21,Dat meeste deel van der werelt wijt
Onbekend,Onbekend Hoofdstuk,22,"Des was hij die eerste, des seker sijt,"
Onbekend,Onbekend Hoofdstuk,23,Die te Romen wart keyser gecoren
Onbekend,Onbekend Hoofdstuk,24,XLII jair eer Christus wart geboren.
Onbekend,Onbekend Hoofdstuk,25,25 Coninc David was die zoen Yesse;
Onbekend,Onbekend Hoofdstuk,26,"Van sijnen geslechte, des sijt gewesse"
Onbekend,Onbekend Hoofdstuk,27,Wart die overste coninc geboren.
Onbekend,Onbekend Hoofdstuk,28,Hij wart van Gode coninc gecoren
Onbekend,Onbekend Hoofdstuk,29,Als Saul ten Philisten wart verslegen.
Onbekend,Onbekend Hoofdstuk,30,"Hij verwan Golyam, den stercke degen;"
Onbekend,Onbekend Hoofdstuk,31,"Syon stichte hij, ende starff dairnaie"
Onbekend,Onbekend Hoofdstuk,32,Voir Troyen C. en de XLII jair.
