author,chapter,line,text
Onbekend,[Proloog],1,Omdat ic hebbe in mine memorie
Onbekend,[Proloog],2,"Rime, favelen ende vraye ystorie,"
Onbekend,[Proloog],3,"De Biblen, auctoren ende croniquen,"
Onbekend,[Proloog],4,Die van menegherande riken
Onbekend,[Proloog],5,"De tijt besaten, ende de heeren"
Onbekend,[Proloog],6,Die met ridderliker eeren
Onbekend,[Proloog],7,"Dat zweert droughen int ghevecht,"
Onbekend,[Proloog],8,Bidt met my te Gode dat ic berecht
Onbekend,[Proloog],9,"Na der waerheit, wie si waren"
Onbekend,[Proloog],10,Die met rudderliker scharen
Onbekend,[Proloog],11,Der wapenen met eeren plaghen.
Onbekend,[Proloog],12,Nu en willic my niet verdraghen
Onbekend,[Proloog],13,Te prisene desen ofte dien
Onbekend,[Proloog],14,De Bertaensche jeesten hebbic ghesien
Onbekend,[Proloog],15,Ende Inghelsche derghelike;
Onbekend,[Proloog],16,"So doe ic oec van Vranckerike,"
Onbekend,[Proloog],17,"Van Roemen, van Grieken, van Surien,"
Onbekend,[Proloog],18,Ende oec de jeesten van Lombardien;
Onbekend,[Proloog],19,"Maer, die si prisen dese Wale,"
Onbekend,[Proloog],20,Ne const icker noit eene verhalen
Onbekend,[Proloog],21,"Als Persevale ende Lanceloot,"
Onbekend,[Proloog],22,Tristram ende Galioet.
Onbekend,[Proloog],23,"Oec hebbic Aertuers jeesten ghelesen,"
Onbekend,[Proloog],24,Maer ne vant er gheene van desen;
Onbekend,[Proloog],25,"Dies stekic dese buten prise,"
Onbekend,[Proloog],26,"Ende volghe der jeesten, die de wijse"
Onbekend,[Proloog],27,Hebben bescreven over ware.
Onbekend,[Proloog],28,"Ende omdat de Bible es so clare,"
Onbekend,[Proloog],29,"Hebbicker drie in prise gheset,"
Onbekend,[Proloog],30,"Die waren in der Heydene wet,"
Onbekend,[Proloog],31,"Ende drie in dat Jootsche leven,"
Onbekend,[Proloog],32,Die auctoren hebben verheven
Onbekend,[Proloog],33,"Ende drie naer der comst Ons Heeren,"
Onbekend,[Proloog],34,Die Kerstine ridders ware met eren
Onbekend,[Proloog],35,"Ende die tGhelove metten zweerde,"
Onbekend,[Proloog],36,Hilden met wel groter weerde.
Onbekend,[Proloog],37,"Nu leert, rudders, ane desen,"
Onbekend,[Proloog],38,Die rudders met eeren willen wesen;
Onbekend,[Proloog],39,"Scaemt u der namen, ghi bastaerde,"
Onbekend,[Proloog],40,Die rudders heet sonder waerde.
Onbekend,Ector.,41,"Den besten rudder nomic voren,"
Onbekend,Ector.,42,Die gheprijst es in auctoren
Onbekend,Ector.,43,Boven alle deghuene die up deerde
Onbekend,Ector.,44,Eere bevochten metten zweerde;
Onbekend,Ector.,45,"Want so ghemate, so goedertiere,"
Onbekend,Ector.,46,"So heuesch van allen manieren,"
Onbekend,Ector.,47,"So milde ende so ghetrouwe,"
Onbekend,Ector.,48,"Noch so ghemint van allen vrouwen,"
Onbekend,Ector.,49,No so vroet van allen saken
Onbekend,Ector.,50,"Beede in wandelinghen ende in spraken,"
Onbekend,Ector.,51,"So gherechtich, so wijs van rade,"
Onbekend,Ector.,52,"No die meer haette overdade,"
Onbekend,Ector.,53,"So coene no so stout ten zweerde,"
Onbekend,Ector.,54,No die hem oec min verveerde
Onbekend,Ector.,55,"Daer hi in wighe was verladen,"
Onbekend,Ector.,56,No die houder dede ghenaden
Onbekend,Ector.,57,"Die in wighe voor hem weec,"
Onbekend,Ector.,58,"Sodat hi den leuwe gheleec,"
Onbekend,Ector.,59,"In alder redeliker manieren,"
Onbekend,Ector.,60,Ne can ic betren niet vysieren
Onbekend,Ector.,61,"Dan Ector was, Priamus sone."
Onbekend,Ector.,62,Seere wettachtich degone
Onbekend,Ector.,63,Also sijn heidenscap ghedrouch:
Onbekend,Ector.,64,IX coninghe hi verslouch
Onbekend,Ector.,65,"Voor Troyen up sijns vaders erve,"
Onbekend,Ector.,66,Omdat hi wilde dat niet bederve
Onbekend,Ector.,67,"Sijns vaders lant ende sine stat,"
Onbekend,Ector.,68,Daer al Grieken voren sat.
Onbekend,Ector.,69,"Darijs sprac, diene kende,"
Onbekend,Ector.,70,"Dat alle weelde was allende,"
Onbekend,Ector.,71,Ende alle ghenouchte dat was pine
Onbekend,Ector.,72,Sonder alleene bi Ectoren te sine.
Onbekend,Ector.,73,"Dat was Omeriusse wel anschine,"
Onbekend,Ector.,74,"Den wisen clerc, die van hem screef"
Onbekend,Ector.,75,Dat sijns ghelike noit ne bleef
Onbekend,Ector.,76,"In de weerelt na sine doot,"
Onbekend,Ector.,77,"No voor hem oec sijns ghenoet,"
Onbekend,Ector.,78,Want al der redeliker tucht
Onbekend,Ector.,79,Ende al der hovescheden vrucht
Onbekend,Ector.,80,"Dat was in Ector, den wijsen."
Onbekend,Ector.,81,"Die eenen rudder wille prisen,"
Onbekend,Ector.,82,Die moet Ectors doghet soucken.
Onbekend,Ector.,83,"Sine materie, willijs rouken,"
Onbekend,Ector.,84,"In Omerius, die scrivet dan"
Onbekend,Ector.,85,"Dat sijn vader, de coninc Prian,"
Onbekend,Ector.,86,"De doghet mercte van den sone,"
Onbekend,Ector.,87,Dies de weerelt onghewone
Onbekend,Ector.,88,"Hadde gheweest voor sinen tijt,"
Onbekend,Ector.,89,Ende hadder in so groot delijt
Onbekend,Ector.,90,"Dat hi seide : Wel lieve kint,"
Onbekend,Ector.,91,Du en hebs van mi niet een twint
Onbekend,Ector.,92,"Dese grote vulmaecthede,"
Onbekend,Ector.,93,Du ne leeres oec dine sede
Onbekend,Ector.,94,Van gheenen meester dan van Gode
Onbekend,Ector.,95,Ende van der natueren ghebode.
Onbekend,Ector.,96,Du best van allen duechden so groot
Onbekend,Ector.,97,Dattu bat schijns des hemels ghenoot
Onbekend,Ector.,98,"Dan eerdsche mensche, also du leves;"
Onbekend,Ector.,99,Want du alle vulmaectheit heves;
Onbekend,Ector.,100,In can ghepeinsen de waerheit
Onbekend,Ector.,101,Danen di comt de vulmaectheit.
Onbekend,Ector.,102,Dit selve spreect oec Aristotiles
Onbekend,Ector.,103,"Van Ectoren, ende ghewaghet des,"
Onbekend,Ector.,104,"Dat bouc, brief, no lettre mede"
Onbekend,Ector.,105,Niet ne vulbrochten de vulmaecthede.
Onbekend,Ector.,106,Noch sprect Aristotils (sic) meere
Onbekend,Ector.,107,"Van Ectoren, den jonghen heere,"
Onbekend,Ector.,108,Dat scade was ende jammer groot
Onbekend,Ector.,109,Dat hi so jonc quam ter doot;
Onbekend,Ector.,110,"Want, haddi gheleeft sinen tijt,"
Onbekend,Ector.,111,Hi ware heere der weerelt wijt.
Onbekend,Ector.,112,Met wapenen dedy sinen ende
Onbekend,Ector.,113,"Voer Troyen, der stat ghehende,"
Onbekend,Ector.,114,XIIc jaer ende XXX te voren
Onbekend,Ector.,115,Eer Jhesus Christus was gheboren;
Onbekend,Ector.,116,"Maer, al starf hi daer, de heere,"
Onbekend,Ector.,117,Sinen name leeft emmermeere;
Onbekend,Ector.,118,"Hieromme es wel dat eere groot,"
Onbekend,Ector.,119,Want so levet naer den doot.
Onbekend,Alexander.,120,Nu hoort wie dat was die ander:
Onbekend,Alexander.,121,"Dat was de grote Alexander,"
Onbekend,Alexander.,122,"Philips sone van Macedone,"
Onbekend,Alexander.,123,Die in Grieken drouch de crone.
Onbekend,Alexander.,124,Want so vromen metter hant
Onbekend,Alexander.,125,"Wanic dat men noit en vant,"
Onbekend,Alexander.,126,"So milden, hoe gheerne hi gaf,"
Onbekend,Alexander.,127,Daer vint men grote wonder af.
Onbekend,Alexander.,128,"Hem quam een arm rudder ane,"
Onbekend,Alexander.,129,Om ghifte van hem tontfane;
Onbekend,Alexander.,130,Hy gaf hem eene rike stat
Onbekend,Alexander.,131,"Die mate sprac : ""Wat soude mi dat?"
Onbekend,Alexander.,132,Dese ghifte es mi te diere!
Onbekend,Alexander.,133,"""Neen!"" sprac Alexander, de fiere,"
Onbekend,Alexander.,134,"""Al dincket u meer dan ghenouch,"
Onbekend,Alexander.,135,"Hout di altoes int ghevouch."""
Onbekend,Alexander.,136,Dus wan hi de rike stede.
Onbekend,Alexander.,137,"Persen wan hi, ende Meden mede."
Onbekend,Alexander.,138,"Hi wan Ytalen, Grieken ende Affrique"
Onbekend,Alexander.,139,Ende voer er dore moghendelike
Onbekend,Alexander.,140,"Up Darisse, diere crone in drouch;"
Onbekend,Alexander.,141,"Maer, wien hi vinc ofte slouch,"
Onbekend,Alexander.,142,"Met wapenen verwan, ende met miltheden,"
Onbekend,Alexander.,143,Met duechden ende me hovescheden.
Onbekend,Alexander.,144,"Daer hi eens naer Daerisse soude rijden,"
Onbekend,Alexander.,145,"Soude hi over eene zee lijden,"
Onbekend,Alexander.,146,Die dor tlant ghinc van Persile;
Onbekend,Alexander.,147,"Doe droechde God, ter selver wile,"
Onbekend,Alexander.,148,"De zee voor hem ter corter stont,"
Onbekend,Alexander.,149,Ende hi reet up den droeghen gront.
Onbekend,Alexander.,150,Dit scrijft Josephus over waer.
Onbekend,Alexander.,151,Noch gheviel hem meer daernaer;
Onbekend,Alexander.,152,Doe hi up de Joden was gram
Onbekend,Alexander.,153,"Ende up den berch van Caspien quam,"
Onbekend,Alexander.,154,"Vernam hi daer de Joodsche scharen,"
Onbekend,Alexander.,155,Die in den wilden berch waren
Onbekend,Alexander.,156,"Om hare dorpelike sonden,"
Onbekend,Alexander.,157,"Gode bat hi, ten selven stonde,"
Onbekend,Alexander.,158,Dat hi de ondadeghe rote
Onbekend,Alexander.,159,In den wilden berch slote
Onbekend,Alexander.,160,"Doe ghinghen die berghen tsamen,"
Onbekend,Alexander.,161,Daer si noit sindert uut ne quamen.
Onbekend,Alexander.,162,Noch negheen coninc dan hi
Onbekend,Alexander.,163,"Ne besochte tlant van Indi,"
Onbekend,Alexander.,164,Die tlant wonnen met ghewelt;
