author,chapter,line,text
Jacob van Maerlant(?),1.,1,"""Wapen Jacop, hoe salt gaen?"
Jacob van Maerlant(?),1.,2,Wilwi dese heren bestaen
Jacob van Maerlant(?),1.,3,Te werpene uten love?
Jacob van Maerlant(?),1.,4,Wat lone wanewijs ontfaen?
Jacob van Maerlant(?),1.,5,"Niet, dan men ons uut sal slaen"
Jacob van Maerlant(?),1.,6,Tote elker heren hove.
Jacob van Maerlant(?),1.,7,Nutter es smeken anevaen:
Jacob van Maerlant(?),1.,8,"Men wert daer bi gheminnet saen,"
Jacob van Maerlant(?),1.,9,Want pluckers van den stove
Jacob van Maerlant(?),1.,10,Drinken nu den rijnschen traen;
Jacob van Maerlant(?),1.,11,Waerheit hevet haer macht ghedaen;
Jacob van Maerlant(?),1.,12,"Hi vedelt vor die dove,"
Jacob van Maerlant(?),1.,13,Die heren schelt van rove.
Jacob van Maerlant(?),2.,14,Hoe langhe sal ghedoghen dit
Jacob van Maerlant(?),2.,15,"Edelheit, die die werelt besit"
Jacob van Maerlant(?),2.,16,"Met hare voghediën,"
Jacob van Maerlant(?),2.,17,"Dat een snodel ries besmit,"
Jacob van Maerlant(?),2.,18,"Die cume tusschenkent swart ende wit,"
Jacob van Maerlant(?),2.,19,Heren wille castiën ?
Jacob van Maerlant(?),2.,20,Wine hebben te pointe niet ghehit;
Jacob van Maerlant(?),2.,21,Heren werder omme verhit
Jacob van Maerlant(?),2.,22,Met al hare partiën.
Jacob van Maerlant(?),2.,23,"Lieghen, drieghen wint wat soot bit;"
Jacob van Maerlant(?),2.,24,"Smeken, striken wel voecht ende sit:"
Jacob van Maerlant(?),2.,25,"Sullen wi iet ghediën,"
Jacob van Maerlant(?),2.,26,Wi moeten hier an liën.
Jacob van Maerlant(?),3.,27,"Laet ons, Jacop, over een"
Jacob van Maerlant(?),3.,28,Hier af spreken onder ons tween
Jacob van Maerlant(?),3.,29,"In desen prologhe,"
Jacob van Maerlant(?),3.,30,"Hoe wi leren vensen ghemeen,"
Jacob van Maerlant(?),3.,31,"Vor gout vercopen keselsteen,"
Jacob van Maerlant(?),3.,32,Om te clemmene hoghe.
Jacob van Maerlant(?),3.,33,"Waerheit en wint dinc engheen,"
Jacob van Maerlant(?),3.,34,"Smekers hebben dat hogheste leen,"
Jacob van Maerlant(?),3.,35,Waersaghers nappe es droghe.
Jacob van Maerlant(?),3.,36,"Wilwi scuwen armoede ende ween,"
Jacob van Maerlant(?),3.,37,"So laet ons wisselen ja omme neen,"
Jacob van Maerlant(?),3.,38,Dat dinct mi dat ons doghe.
Jacob van Maerlant(?),3.,39,"Antwoorde van dat ic toghe."""
Jacob van Maerlant(?),4.,40,"""Antwoorden, Martijn, lieve compaen?"
Jacob van Maerlant(?),4.,41,"Ic hebbe vor waerheit verstaen,"
Jacob van Maerlant(?),4.,42,"Sint dat ics mi bedochte,"
Jacob van Maerlant(?),4.,43,"Dat wijs scade hebben ontfaen,"
Jacob van Maerlant(?),4.,44,Dat wi met waerheiden willen ommegaen;
Jacob van Maerlant(?),4.,45,Laet ons ontvallen sochte!
Jacob van Maerlant(?),4.,46,Ic wille smeken anevaen;
Jacob van Maerlant(?),4.,47,"En wan met waerheit noit een spaen,"
Jacob van Maerlant(?),4.,48,Dat mi iet te baten brochte.
Jacob van Maerlant(?),4.,49,"Waerheit heeft al te bitteren traen,"
Jacob van Maerlant(?),4.,50,Si laet haer volghers al verslaen;
Jacob van Maerlant(?),4.,51,"Waert dat si iet vermochte,"
Jacob van Maerlant(?),4.,52,"Si holpe die met haer vochte."""
Jacob van Maerlant(?),5.,53,"""Jacop, doe die werelt began"
Jacob van Maerlant(?),5.,54,"Man te heffene boven man,"
Jacob van Maerlant(?),5.,55,Doe en kende niemen die ere.
Jacob van Maerlant(?),5.,56,"Maer sider dat si heren ghewan,"
Jacob van Maerlant(?),5.,57,So maken die heren een ghespan
Jacob van Maerlant(?),5.,58,Om doghet ie lanc so mere.
Jacob van Maerlant(?),5.,59,"Dorpers, die ligghen in den dan,"
Jacob van Maerlant(?),5.,60,Die willen tale maken hiervan
Jacob van Maerlant(?),5.,61,Ende lastren eIken here.
Jacob van Maerlant(?),5.,62,"Nu sech mi, dat ic niet en can:"
Jacob van Maerlant(?),5.,63,Welc hare sal hebben der eren ban:
Jacob van Maerlant(?),5.,64,"Of die dorper sonder lere,"
Jacob van Maerlant(?),5.,65,"Of die rike es sere?"""
Jacob van Maerlant(?),6.,66,"""Martijn, mi dinct overwaer,"
Jacob van Maerlant(?),6.,67,Dat van den heren openbaer
Jacob van Maerlant(?),6.,68,Gheboren es die ere.
Jacob van Maerlant(?),6.,69,"Doe die h af: dat es waer,"
Jacob van Maerlant(?),6.,70,Van heren name so blivet daer
Jacob van Maerlant(?),6.,71,"Ere, daer stont here."
Jacob van Maerlant(?),6.,72,"Dorpers herte es so swaer,"
Jacob van Maerlant(?),6.,73,"Dademense clemmen, haer quame vaer"
Jacob van Maerlant(?),6.,74,Te valne al te sere.
Jacob van Maerlant(?),6.,75,"Laet den dorpre varen blaer,"
Jacob van Maerlant(?),6.,76,Van eren quite. Wat soudesi daer?
Jacob van Maerlant(?),6.,77,"Si waerre al buten ere,"
Jacob van Maerlant(?),6.,78,In hove so vintmer mere.
Jacob van Maerlant(?),7.,79,"Nu merc bi der sonnen lecht,"
Jacob van Maerlant(?),7.,80,"Dat here op ere niet en vecht,"
Jacob van Maerlant(?),7.,81,Want si sijn na ghebure:
Jacob van Maerlant(?),7.,82,Noch swerc noch ooc des nevels drecht
Jacob van Maerlant(?),7.,83,"Beneemt bi daghe niet haer recht,"
Jacob van Maerlant(?),7.,84,Die dach en schijnt daer dure.
Jacob van Maerlant(?),7.,85,Al wil dan somich dorper knecht
Jacob van Maerlant(?),7.,86,"Heren ere verdonkeren echt,"
Jacob van Maerlant(?),7.,87,"Hine mach, het werct nature."
Jacob van Maerlant(?),7.,88,Heren sijn so in eren ghehecht
Jacob van Maerlant(?),7.,89,Ende van herten soete ende slecht
Jacob van Maerlant(?),7.,90,Dat si sijn telker ure
Jacob van Maerlant(?),7.,91,Bedocht bet dan ter cure.
Jacob van Maerlant(?),8.,92,"Men seghet dat scalke droeghen overeen,"
Jacob van Maerlant(?),8.,93,"Dat neen wert ja, ende ja wert neen;"
Jacob van Maerlant(?),8.,94,Hi looch die dat vortbrochte.
Jacob van Maerlant(?),8.,95,"Snodel en verstaen dinc engheen,"
Jacob van Maerlant(?),8.,96,"Want nie wijsheit in hem en scheen,"
Jacob van Maerlant(?),8.,97,So donker es haer ghedochte.
Jacob van Maerlant(?),8.,98,"Wijsman spreect so tusschen tween,"
Jacob van Maerlant(?),8.,99,"Dat domme herte, hart als een steen,"
Jacob van Maerlant(?),8.,100,Ghegronden niet en mochte.
Jacob van Maerlant(?),8.,101,"Dat ware jammer ende groot ween,"
Jacob van Maerlant(?),8.,102,"Soude een snodel besitten dat leen,"
Jacob van Maerlant(?),8.,103,Dat die wijsman cochte
Jacob van Maerlant(?),8.,104,"Met pensene so onsochte."""
