author,chapter,line,text
Onbekend,Van den .vij. Vroeden van binnen Rome.,1,"Hem allen biddic, die hier sijn,"
Onbekend,Van den .vij. Vroeden van binnen Rome.,2,Mi te horen een luttelkijn.
Onbekend,Van den .vij. Vroeden van binnen Rome.,3,"Ende te maken een gestille,"
Onbekend,Van den .vij. Vroeden van binnen Rome.,4,Indien dat ment doen wille.
Onbekend,Van den .vij. Vroeden van binnen Rome.,5,Men mach verstaen in desen boec
Onbekend,Van den .vij. Vroeden van binnen Rome.,6,Some aventure scone ende goet.
Onbekend,Van den .vij. Vroeden van binnen Rome.,7,Te Romen woende wilenere
Onbekend,Van den .vij. Vroeden van binnen Rome.,8,Een keyser van groter ere
Onbekend,Van den .vij. Vroeden van binnen Rome.,9,Die hiet Dyoclesiyen;
Onbekend,Van den .vij. Vroeden van binnen Rome.,10,Ende het geviel also mettien
Onbekend,Van den .vij. Vroeden van binnen Rome.,11,"Dat de keyser, de grote here,"
Onbekend,Van den .vij. Vroeden van binnen Rome.,12,Hadde een wijf met groter ere
Onbekend,Van den .vij. Vroeden van binnen Rome.,13,"Lange, ene goede vrouwe;"
Onbekend,Van den .vij. Vroeden van binnen Rome.,14,Si sterf; dies hadde hi rouwe;
Onbekend,Van den .vij. Vroeden van binnen Rome.,15,Ende hem bleef alre kinder maer een.
Onbekend,Van den .vij. Vroeden van binnen Rome.,16,Die goede here Dyocliseen
Onbekend,Van den .vij. Vroeden van binnen Rome.,17,Hadde ontboden haestelike
Onbekend,Van den .vij. Vroeden van binnen Rome.,18,"Die seven vroede van sinen rike,"
Onbekend,Van den .vij. Vroeden van binnen Rome.,19,"Ende deed se allen niet hem somen,"
Onbekend,Van den .vij. Vroeden van binnen Rome.,20,Gemeenlike voer hem comen.
Onbekend,Van den .vij. Vroeden van binnen Rome.,21,"Ten enen, die hiet Bauxillas,"
Onbekend,Van den .vij. Vroeden van binnen Rome.,22,Diere vorbaerste was
Onbekend,Van den .vij. Vroeden van binnen Rome.,23,"Ende best geboren van geslechte,"
Onbekend,Van den .vij. Vroeden van binnen Rome.,24,"Sprac de keyser sine gedechte,"
Onbekend,Van den .vij. Vroeden van binnen Rome.,25,Die vroet was ende van herten vri:
Onbekend,Van den .vij. Vroeden van binnen Rome.,26,"""Ghi heren"", seit hi, ""ic segge u twi"
