author,chapter,line,text
Jacob van Maerlant(?),1.,1,"Maria, vrouwe uutvercoren,"
Jacob van Maerlant(?),1.,2,Ghi ontfinghet in u oren
Jacob van Maerlant(?),1.,3,Van den Heilighen Gheest u kint;
Jacob van Maerlant(?),1.,4,"Gabriël brochte u te voren,"
Jacob van Maerlant(?),1.,5,"Doe hi u twort sprac in doren,"
Jacob van Maerlant(?),1.,6,Dies ghi twifelet niet en twint.
Jacob van Maerlant(?),1.,7,"Daer ontfingdi bider tale,"
Jacob van Maerlant(?),1.,8,"Dies ghi vro waert, scone smale;"
Jacob van Maerlant(?),1.,9,Om die vroude diemen vint
Jacob van Maerlant(?),1.,10,"Die u daer bequam so wale,"
Jacob van Maerlant(?),1.,11,"Ontfaet mi ten lesten male,"
Jacob van Maerlant(?),1.,12,Eer dat mi die viant bint.
Jacob van Maerlant(?),2.,13,"Dochter, moeder ende maghet,"
Jacob van Maerlant(?),2.,14,Jeghen dat nature draghet
Jacob van Maerlant(?),2.,15,Brochti uwen vader voort.
Jacob van Maerlant(?),2.,16,"Salighe oghen, dat ghi saghet,"
Jacob van Maerlant(?),2.,17,"Salich, daer ghi binnen laghet,"
Jacob van Maerlant(?),2.,18,"Jhesus, des hoghes Vaders woort"
Jacob van Maerlant(?),2.,19,"Dor die bliscap, die ghi inne,"
Jacob van Maerlant(?),2.,20,"Edele maghet, hadt van sinne"
Jacob van Maerlant(?),2.,21,"Omme die salighe gheboort,"
Jacob van Maerlant(?),2.,22,"Helpt mi dat ic mijn leit verwinne,"
Jacob van Maerlant(?),2.,23,"Ende ic u ter noot bekinne,"
Jacob van Maerlant(?),2.,24,"Vrouwe, daer therte scoort."
Jacob van Maerlant(?),3.,25,"Vro so waerdi ooc, Marië,"
Jacob van Maerlant(?),3.,26,"Doe Jhesus, u sone vrië,"
Jacob van Maerlant(?),3.,27,Vander doot te live opstont.
Jacob van Maerlant(?),3.,28,"Recht eest dat elc kerstijn lië,"
Jacob van Maerlant(?),3.,29,Ende u love ende benedië
Jacob van Maerlant(?),3.,30,Omme dit elc ghelovich mont.
Jacob van Maerlant(?),3.,31,"Maghet vol van alre doghet,"
Jacob van Maerlant(?),3.,32,"Ghi die aldus waert verhoghet,"
Jacob van Maerlant(?),3.,33,"Als u selven wel es cont,"
Jacob van Maerlant(?),3.,34,"Helpt mi, uutvercoorne joghet,"
Jacob van Maerlant(?),3.,35,"Ter noot, want ghijt wel doen moghet,"
Jacob van Maerlant(?),3.,36,Jeghen den fellen helschen hont.
Jacob van Maerlant(?),4.,37,"Selve saegdi ane, Vrouwe,"
Jacob van Maerlant(?),4.,38,Dat u kint na sinen rouwe
Jacob van Maerlant(?),4.,39,"Ter rechter hant sijns Vader clam,"
Jacob van Maerlant(?),4.,40,Daer hi taelman es ghetrouwe
Jacob van Maerlant(?),4.,41,"Ende bidt den Vader, dat hi scouwe"
Jacob van Maerlant(?),4.,42,"Die wonden, die hi dor ons nam."
Jacob van Maerlant(?),4.,43,"Om dese opvaert, die u brochte"
Jacob van Maerlant(?),4.,44,"Bliscap groot in u ghedochte,"
Jacob van Maerlant(?),4.,45,"Want u also wel bequam,"
Jacob van Maerlant(?),4.,46,Sijt ghenadich ende sochte
Jacob van Maerlant(?),4.,47,"Mi, die also diere cochte"
Jacob van Maerlant(?),4.,48,"Jhesus, u kint, dat soete lam."
Jacob van Maerlant(?),5.,49,Ghi waert vro ter vijfter werven
Jacob van Maerlant(?),5.,50,Doe ghi ons allen te bederven
Jacob van Maerlant(?),5.,51,Gheheel bi Gode waert gheset.
Jacob van Maerlant(?),5.,52,"U verscheden was gheen sterven,"
Jacob van Maerlant(?),5.,53,Maer wissel toter hogher erven:
Jacob van Maerlant(?),5.,54,Van u nes op derde let.
Jacob van Maerlant(?),5.,55,"Omme dese opvaert sonderlanghe,"
Jacob van Maerlant(?),5.,56,Daer u omme loven met sanghe
Jacob van Maerlant(?),5.,57,"Alle dingle ombesmet,"
Jacob van Maerlant(?),5.,58,"Helpt mi, Vrouwe, dat ic ontganghe"
Jacob van Maerlant(?),5.,59,Inden lesten hartvanghe
Jacob van Maerlant(?),5.,60,Vor des onreins viants net.
Jacob van Maerlant(?),6.,61,"Spieghel boven alle wive,"
Jacob van Maerlant(?),6.,62,Ontfaet dese love vive
Jacob van Maerlant(?),6.,63,Van uwen vijf vrouden groot;
Jacob van Maerlant(?),6.,64,Laet u lief sijn datment scrive
Jacob van Maerlant(?),6.,65,"Ende dat behouden blive,"
Jacob van Maerlant(?),6.,66,"Niet omme dat ghijs hebt noot,"
Jacob van Maerlant(?),6.,67,"Maer om dattet mi, keitive,"
Jacob van Maerlant(?),6.,68,Sta te staden tenden den live
Jacob van Maerlant(?),6.,69,"Voor des viants wederstoot,"
Jacob van Maerlant(?),6.,70,Ende mine harde herte stive
Jacob van Maerlant(?),6.,71,"Daermede also dordrive,"
Jacob van Maerlant(?),6.,72,Dat si si suver vor die doot
Jacob van Maerlant(?),6.,73,AMEN.
