author,chapter,line,text
Willem,VAN DEN VOS REYNAERDE,1,"Willem, die vele bouke maecte,"
Willem,VAN DEN VOS REYNAERDE,2,"Daer hi dicken omme waecte,"
Willem,VAN DEN VOS REYNAERDE,3,Hem vernoyde so haerde
Willem,VAN DEN VOS REYNAERDE,4,Dat die avonture van Reynaerde
Willem,VAN DEN VOS REYNAERDE,5,In Dietsche onghemaket bleven
Willem,VAN DEN VOS REYNAERDE,6,- Die Willem niet hevet vulscreven -
Willem,VAN DEN VOS REYNAERDE,7,Dat hi die vijte van Reynaerde soucken
Willem,VAN DEN VOS REYNAERDE,8,Ende hise na den Walschen boucken
Willem,VAN DEN VOS REYNAERDE,9,In Dietsche dus hevet begonnen.
Willem,VAN DEN VOS REYNAERDE,10,God moete ons ziere hulpen jonnen.
Willem,VAN DEN VOS REYNAERDE,11,Nu keert hem daer toe mijn zin
Willem,VAN DEN VOS REYNAERDE,12,Dat ic bidde in dit beghin
Willem,VAN DEN VOS REYNAERDE,13,"Beede den dorpren enten doren,"
Willem,VAN DEN VOS REYNAERDE,14,Ofte si commen daer si horen
Willem,VAN DEN VOS REYNAERDE,15,"Dese rijme ende dese woort,"
Willem,VAN DEN VOS REYNAERDE,16,"Die hem onnutte sijn ghehoort,"
Willem,VAN DEN VOS REYNAERDE,17,Dat sise laten onbescaven.
Willem,VAN DEN VOS REYNAERDE,18,"Te vele slachten si den raven,"
Willem,VAN DEN VOS REYNAERDE,19,Die emmer es al even malsch.
Willem,VAN DEN VOS REYNAERDE,20,Si maken sulke rijme valsch
Willem,VAN DEN VOS REYNAERDE,21,Daer si niet meer of ne weten
Willem,VAN DEN VOS REYNAERDE,22,"Dan ic doe, hoe datsi heeten"
Willem,VAN DEN VOS REYNAERDE,23,Die nu in Babilonien leven.
Willem,VAN DEN VOS REYNAERDE,24,"Daden si wel, si soudens begheven."
Willem,VAN DEN VOS REYNAERDE,25,Dat en segghic niet dor minen wille:
Willem,VAN DEN VOS REYNAERDE,26,"Mijns dichtens ware een ghestille,"
Willem,VAN DEN VOS REYNAERDE,27,Ne hads mi eene niet ghebeden
Willem,VAN DEN VOS REYNAERDE,28,Die in groeter hovesscheden
Willem,VAN DEN VOS REYNAERDE,29,Gherne keert hare saken.
Willem,VAN DEN VOS REYNAERDE,30,Soe bat mi dat ic soude maken
Willem,VAN DEN VOS REYNAERDE,31,Dese avontuere van Reynaerde.
Willem,VAN DEN VOS REYNAERDE,32,Al begripic die grongaerde
Willem,VAN DEN VOS REYNAERDE,33,"Ende die dorpren ende die doren,"
Willem,VAN DEN VOS REYNAERDE,34,Ic wille dat die ghene horen
Willem,VAN DEN VOS REYNAERDE,35,Die gherne pleghen der eeren
Willem,VAN DEN VOS REYNAERDE,36,Ende haren zin daer toe keeren
Willem,VAN DEN VOS REYNAERDE,37,"Datsi leven hoofschelike,"
