author,chapter,line,text
Onbekend,Noch meer vanden wiven.,1,MEneghe selsene maniere
Onbekend,Noch meer vanden wiven.,2,Hebben voghele ende diere /
Onbekend,Noch meer vanden wiven.,3,Dier si pleghen in haer leven
Onbekend,Noch meer vanden wiven.,4,Die hem nature heeft ghegheven.
Onbekend,Noch meer vanden wiven.,5,Mar dat selssenste dier sekerlike
Onbekend,Noch meer vanden wiven.,6,Dat ic weet in eertrike /
Onbekend,Noch meer vanden wiven.,7,Dat dunct mi dat wijf wesen;
Onbekend,Noch meer vanden wiven.,8,Want en hebbe niet ghelesen
Onbekend,Noch meer vanden wiven.,9,Dat enich dier opter eerde
Onbekend,Noch meer vanden wiven.,10,Noyt anders yet begheerde
Onbekend,Noch meer vanden wiven.,11,Van ghedaenen of van figuren
Onbekend,Noch meer vanden wiven.,12,Dan si hadde van naturen;
Onbekend,Noch meer vanden wiven.,13,Want elc dier ende voghel / die leeft
Onbekend,Noch meer vanden wiven.,14,Nae dat sine nature in heeft /
Onbekend,Noch meer vanden wiven.,15,Wijseliker hem daer na hout / sijts vroet /
Onbekend,Noch meer vanden wiven.,16,Dan de mensche hedendaghes doet.
Onbekend,Noch meer vanden wiven.,17,Dit segghe ic al biden wiven /
Onbekend,Noch meer vanden wiven.,18,Daermen wonder af mach scriven;
Onbekend,Noch meer vanden wiven.,19,Want dat wijf es soe sot /
Onbekend,Noch meer vanden wiven.,20,Voerme / ghedaene / die haer God
Onbekend,Noch meer vanden wiven.,21,Bi naturen heeft ghegheven /
Onbekend,Noch meer vanden wiven.,22,Die versmaet si in dit leven /
Onbekend,Noch meer vanden wiven.,23,Ende nemen hem boven naturen ane
Onbekend,Noch meer vanden wiven.,24,Andre vorme ende andre ghedane;
Onbekend,Noch meer vanden wiven.,25,Want nature nae haer recht
Onbekend,Noch meer vanden wiven.,26,Gheeft hem dat hoet slecht:
Onbekend,Noch meer vanden wiven.,27,Daer maken si ane grote hoorne
Onbekend,Noch meer vanden wiven.,28,Ic wane sijt doen te Gods toorne /
Onbekend,Noch meer vanden wiven.,29,Ende comen ter kerken ende ter feesten
Onbekend,Noch meer vanden wiven.,30,Ghehorent ghelijc stommen beesten /
Onbekend,Noch meer vanden wiven.,31,Des hem nature niet en an.
Onbekend,Noch meer vanden wiven.,32,Worden si gheboren nochtan
Onbekend,Noch meer vanden wiven.,33,Met hoornen / si soudens hem scamen /
Onbekend,Noch meer vanden wiven.,34,Ende soudense decken waer si quamen.
Onbekend,Noch meer vanden wiven.,35,Maer om dat hem nature verbiedt /
Onbekend,Noch meer vanden wiven.,36,Soe eest meest dats hem gheniet;
Onbekend,Noch meer vanden wiven.,37,Want waermen twijf meest af weert /
Onbekend,Noch meer vanden wiven.,38,Die dinc si alre meest begheert.
Onbekend,Noch meer vanden wiven.,39,Ende oec soe en ghenueghet hem niet
Onbekend,Noch meer vanden wiven.,40,Die verewe / die hem beriet
Onbekend,Noch meer vanden wiven.,41,Die nature van Godes halven;
Onbekend,Noch meer vanden wiven.,42,Maer si smeren ende salven
Onbekend,Noch meer vanden wiven.,43,Haere aensichten / om dat si
Onbekend,Noch meer vanden wiven.,44,Te scoenre scinen / ende bedi
Onbekend,Noch meer vanden wiven.,45,Dat si te meer selen sijn besien
Onbekend,Noch meer vanden wiven.,46,Beide van desen ende van dien.
Onbekend,Noch meer vanden wiven.,47,Maer als een meester heeft vernist
Onbekend,Noch meer vanden wiven.,48,Een beelde met al siere list /
Onbekend,Noch meer vanden wiven.,49,Dat scone blict als gout /
Onbekend,Noch meer vanden wiven.,50,Nochtan soe eest binnen hout:
Onbekend,Noch meer vanden wiven.,51,Alsoe ghelikerwijs es .j. wijf:
Onbekend,Noch meer vanden wiven.,52,Alse si heeft vernist haer lijf /
Onbekend,Noch meer vanden wiven.,53,Dat scone blicket ende scijnt /
Onbekend,Noch meer vanden wiven.,54,Dat es al om niet ghepijnt /
Onbekend,Noch meer vanden wiven.,55,Dattere was dat moet daer bliven /
Onbekend,Noch meer vanden wiven.,56,Dat en canse niet verdriven.
Onbekend,Noch meer vanden wiven.,57,Nochtan heeftmen scande vanden meesten /
Onbekend,Noch meer vanden wiven.,58,Al over al tallen feesten /
Onbekend,Noch meer vanden wiven.,59,Gheleende cleder te draghene ane.
Onbekend,Noch meer vanden wiven.,60,En es die gheleende ghedane
Onbekend,Noch meer vanden wiven.,61,Alsoe grote scande niet?
Onbekend,Noch meer vanden wiven.,62,Iaet / diet te rechte wel besiet.
Onbekend,Noch meer vanden wiven.,63,Noch meer es selsenre haer sede;
Onbekend,Noch meer vanden wiven.,64,Want in alre wonderlichede
Onbekend,Noch meer vanden wiven.,65,Setten si al haer begheerte:
Onbekend,Noch meer vanden wiven.,66,Si sleypen na hem haer lange steerte
Onbekend,Noch meer vanden wiven.,67,Ghelijc serpenten / .ij. ellen lanc /
Onbekend,Noch meer vanden wiven.,68,Die hem volghen na haren ganc /
Onbekend,Noch meer vanden wiven.,69,Ende hebben daer ghenuechte in /
Onbekend,Noch meer vanden wiven.,70,Ende setten emmer haren sin /
Onbekend,Noch meer vanden wiven.,71,Haer ghedachte ende haren moet /
Onbekend,Noch meer vanden wiven.,72,Ieghen nature ende jeghen spoet.
Onbekend,Noch meer vanden wiven.,73,Si hebben liever beesten ghedane
Onbekend,Noch meer vanden wiven.,74,Dan menschelicheit te draghene ane.
Onbekend,Noch meer vanden wiven.,75,Dwijf mach oec onlanghe zwighen /
Onbekend,Noch meer vanden wiven.,76,Maer cnitsen / scelden ende crighen /
Onbekend,Noch meer vanden wiven.,77,Daer toe steet altoes haer moet.
Onbekend,Noch meer vanden wiven.,78,Hets lettel enech man soe vroet
Onbekend,Noch meer vanden wiven.,79,Dat hi sijn wijf / alse hi wille /
Onbekend,Noch meer vanden wiven.,80,Can ghedoene zwighen stille;
Onbekend,Noch meer vanden wiven.,81,Maer spreken dicke doet hise ghereet /
Onbekend,Noch meer vanden wiven.,82,Ia vele meer dan si weet.
Onbekend,Noch meer vanden wiven.,83,Behendech / subtijl sonderlinghe
Onbekend,Noch meer vanden wiven.,84,Soe es dwijf in allen dinghe
Onbekend,Noch meer vanden wiven.,85,Daer bedrieghenesse toe hoort /
Onbekend,Noch meer vanden wiven.,86,Want si connen ghelaet ende woort
Onbekend,Noch meer vanden wiven.,87,Ende veinsen bat dan yemen el.
Onbekend,Noch meer vanden wiven.,88,Dat hebbense ghetoent wel
Onbekend,Noch meer vanden wiven.,89,Hier te voren aen menghen man
Onbekend,Noch meer vanden wiven.,90,Die de wijste waren nochtan
Onbekend,Noch meer vanden wiven.,91,Diemen in die werelt wiste /
