author,chapter,line,text
Onbekend,Onbekend Hoofdstuk,1,MENEGE selsene maniere
Onbekend,Onbekend Hoofdstuk,2,"Hebben vogle ende diere,"
Onbekend,Onbekend Hoofdstuk,3,"Diere si plegen in hare leven,"
Onbekend,Onbekend Hoofdstuk,4,Die hem nature heeft gegheven.
Onbekend,Onbekend Hoofdstuk,5,"Maer dat selsenste dier sekerlike,"
Onbekend,Onbekend Hoofdstuk,6,"Dat ic weet op ertrike,"
Onbekend,Onbekend Hoofdstuk,7,Dat dunct mi dwijf wesen;
Onbekend,Onbekend Hoofdstuk,8,Want in hebbe niet gelesen
Onbekend,Onbekend Hoofdstuk,9,Dat enech dier op der erden
Onbekend,Onbekend Hoofdstuk,10,Noyt anders iet begherden
Onbekend,Onbekend Hoofdstuk,11,Van gedanen of van figuren
Onbekend,Onbekend Hoofdstuk,12,Dan si hadden van naturen;
Onbekend,Onbekend Hoofdstuk,13,"Want elc dier ende vogel leeft,"
Onbekend,Onbekend Hoofdstuk,14,"Na dat hem nature geeft,"
Onbekend,Onbekend Hoofdstuk,15,"Wiseliker, des sijt vroet,"
Onbekend,Onbekend Hoofdstuk,16,Dan die mensche selve doet.
Onbekend,Onbekend Hoofdstuk,17,"Dit seggic al bi den wiven,"
Onbekend,Onbekend Hoofdstuk,18,Daer men wonder af mach scriven;
Onbekend,Onbekend Hoofdstuk,19,Want die wive sijn soe sot!
Onbekend,Onbekend Hoofdstuk,20,"Vorme ende gedane die hare Got,"
Onbekend,Onbekend Hoofdstuk,21,"Van naturen heeft gegeven,"
Onbekend,Onbekend Hoofdstuk,22,"Versmaden si in dit leven,"
Onbekend,Onbekend Hoofdstuk,23,En nemen hem boven naturen ane
Onbekend,Onbekend Hoofdstuk,24,Ander vorme ende andre gedane.
Onbekend,Onbekend Hoofdstuk,25,"Want nature hier, na hare recht,"
Onbekend,Onbekend Hoofdstuk,26,Gheeft hem dat hovet slecht.
Onbekend,Onbekend Hoofdstuk,27,Daer maken si ane groete horne;
Onbekend,Onbekend Hoofdstuk,28,Ic wane sijt doene te Gods toerne
Onbekend,Onbekend Hoofdstuk,29,En comen ter kerken en ten feesten
Onbekend,Onbekend Hoofdstuk,30,"Ghehorent gelijc stommen beesten,"
Onbekend,Onbekend Hoofdstuk,31,"Dies hem nature niet en an,"
Onbekend,Onbekend Hoofdstuk,32,Worden si geboren nochtan
Onbekend,Onbekend Hoofdstuk,33,"Met hornen, si soudens hem scamen"
Onbekend,Onbekend Hoofdstuk,34,Ende deckense waer si quamen;
Onbekend,Onbekend Hoofdstuk,35,"Maer omme dat hem nature verbiedt,"
Onbekend,Onbekend Hoofdstuk,36,Soe eest dat hem meest geniedt.
Onbekend,Onbekend Hoofdstuk,37,Daer men dwijf meest af weert
Onbekend,Onbekend Hoofdstuk,38,Dats ding die sie meest gheert;
Onbekend,Onbekend Hoofdstuk,39,Want hem en genuecht niet
Onbekend,Onbekend Hoofdstuk,40,Die varwe die hem beriet
Onbekend,Onbekend Hoofdstuk,41,"Die nature, van Gods halven,"
